year,age_gr,bula_h,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Schleswig-Holstein,Never,0.89519,76,76,0.82586,0.96451
1985,17-29 y.,Hamburg,Never,0.89139,54,54,0.80762,0.97516
1985,17-29 y.,Lower Saxony,Never,0.92629,281,281,0.89568,0.95690
1985,17-29 y.,North Rhine-Westphalia,Seldom,0.09510,67,837,0.07521,0.11499
1985,17-29 y.,North Rhine-Westphalia,Never,0.86989,770,837,0.84708,0.89269
1985,17-29 y.,Hesse,Never,0.83950,290,290,0.79717,0.88182
1985,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.90737,219,219,0.86888,0.94586
1985,17-29 y.,Baden-Wuerttemberg,Never,0.94204,583,583,0.92306,0.96103
1985,17-29 y.,Bavaria,Never,0.90849,478,478,0.88261,0.93437
1985,17-29 y.,Berlin,Never,0.95033,91,91,0.90545,0.99522
1985,30-45 y.,Schleswig-Holstein,Never,0.86365,113,113,0.80010,0.92720
1985,30-45 y.,Hamburg,Never,0.92381,92,92,0.86931,0.97832
1985,30-45 y.,Lower Saxony,Never,0.85838,308,308,0.81938,0.89739
1985,30-45 y.,North Rhine-Westphalia,Seldom,0.06714,57,958,0.05129,0.08300
1985,30-45 y.,North Rhine-Westphalia,Never,0.89622,901,958,0.87690,0.91554
1985,30-45 y.,Hesse,Never,0.87536,304,304,0.83816,0.91255
1985,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.86657,149,149,0.81179,0.92135
1985,30-45 y.,Baden-Wuerttemberg,Never,0.90140,598,598,0.87749,0.92532
1985,30-45 y.,Bavaria,Seldom,0.06784,37,564,0.04707,0.08861
1985,30-45 y.,Bavaria,Never,0.86386,527,564,0.83554,0.89219
1985,30-45 y.,Berlin,Never,0.81132,103,103,0.73539,0.88725
1985,46-65 y.,Schleswig-Holstein,Never,0.82760,84,84,0.74634,0.90887
1985,46-65 y.,Hamburg,Never,0.97640,71,71,0.94084,1.01196
1985,46-65 y.,Lower Saxony,Never,0.89604,293,293,0.86103,0.93104
1985,46-65 y.,Bremen,Never,0.94069,32,32,0.85754,1.02384
1985,46-65 y.,North Rhine-Westphalia,Seldom,0.03773,34,820,0.02468,0.05078
1985,46-65 y.,North Rhine-Westphalia,Never,0.90647,786,820,0.88653,0.92642
1985,46-65 y.,Hesse,Never,0.92492,343,343,0.89699,0.95285
1985,46-65 y.,"Rhineland-Palatinate, Saarland",Never,0.88113,236,236,0.83975,0.92251
1985,46-65 y.,Baden-Wuerttemberg,Never,0.91782,563,563,0.89512,0.94053
1985,46-65 y.,Bavaria,Never,0.88951,506,506,0.86217,0.91686
1985,46-65 y.,Berlin,Never,0.93301,105,105,0.88496,0.98106
1985,66 and older,Schleswig-Holstein,Never,0.96087,37,37,0.89753,1.02421
1985,66 and older,Hamburg,Never,0.95940,42,42,0.89899,1.01981
1985,66 and older,Lower Saxony,Never,0.92779,117,117,0.88068,0.97489
1985,66 and older,Bremen,Never,0.96310,32,32,0.89674,1.02946
1985,66 and older,North Rhine-Westphalia,Never,0.96602,238,238,0.94296,0.98909
1985,66 and older,Hesse,Never,0.95093,89,89,0.90579,0.99606
1985,66 and older,"Rhineland-Palatinate, Saarland",Never,0.86702,85,85,0.79440,0.93963
1985,66 and older,Baden-Wuerttemberg,Never,0.98504,177,177,0.96710,1.00297
1985,66 and older,Bavaria,Never,0.95648,198,198,0.92798,0.98497
1985,66 and older,Berlin,Never,0.97420,37,37,0.92240,1.02599
1986,17-29 y.,Schleswig-Holstein,Never,0.87192,76,76,0.79629,0.94755
1986,17-29 y.,Hamburg,Never,0.90615,54,54,0.82764,0.98466
1986,17-29 y.,Lower Saxony,Never,0.94229,307,307,0.91617,0.96842
1986,17-29 y.,North Rhine-Westphalia,Seldom,0.07327,49,811,0.05532,0.09121
1986,17-29 y.,North Rhine-Westphalia,Never,0.90237,762,811,0.88193,0.92281
1986,17-29 y.,Hesse,Never,0.87237,280,280,0.83322,0.91153
1986,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.90318,213,213,0.86338,0.94299
1986,17-29 y.,Baden-Wuerttemberg,Never,0.94523,582,582,0.92672,0.96373
1986,17-29 y.,Bavaria,Seldom,0.07582,32,470,0.05187,0.09978
1986,17-29 y.,Bavaria,Never,0.88342,438,470,0.85437,0.91246
1986,17-29 y.,Berlin,Never,0.90363,82,82,0.83937,0.96790
1986,30-45 y.,Schleswig-Holstein,Never,0.89304,105,105,0.83364,0.95244
1986,30-45 y.,Hamburg,Never,0.84445,78,78,0.76350,0.92541
1986,30-45 y.,Lower Saxony,Never,0.86859,284,284,0.82922,0.90795
1986,30-45 y.,North Rhine-Westphalia,Seldom,0.08239,62,900,0.06442,0.10036
1986,30-45 y.,North Rhine-Westphalia,Never,0.87828,838,900,0.85691,0.89965
1986,30-45 y.,Hesse,Never,0.85340,290,290,0.81262,0.89418
1986,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.93100,167,167,0.89244,0.96955
1986,30-45 y.,Baden-Wuerttemberg,Never,0.90762,563,563,0.88368,0.93156
1986,30-45 y.,Bavaria,Seldom,0.06770,38,546,0.04661,0.08879
1986,30-45 y.,Bavaria,Never,0.89298,508,546,0.86702,0.91893
