year,pgisced97,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Never,0.91459,174,174,0.87294,0.95624
1985,Primary Level,Never,0.96540,809,809,0.95279,0.97800
1985,Lower Secondary Level,At least once per month,0.01046,31,3001,0.00682,0.01410
1985,Lower Secondary Level,Seldom,0.02728,76,3001,0.02145,0.03311
1985,Lower Secondary Level,Never,0.94166,2894,3001,0.93328,0.95005
1985,Upper Secondary Level,At least once per week,0.00802,42,5107,0.00558,0.01047
1985,Upper Secondary Level,At least once per month,0.01971,96,5107,0.01590,0.02352
1985,Upper Secondary Level,Seldom,0.04969,256,5107,0.04373,0.05565
1985,Upper Secondary Level,Never,0.90850,4713,5107,0.90059,0.91640
1985,Post-secondary Non-tertiary Level,Never,0.79385,225,225,0.74087,0.84682
1985,First Stage of Tertiary Education,Seldom,0.07408,45,578,0.05271,0.09546
1985,First Stage of Tertiary Education,Never,0.86313,533,578,0.83508,0.89117
1985,Second Stage of Tertiary Education,At least once per month,0.05050,39,723,0.03453,0.06648
1985,Second Stage of Tertiary Education,Seldom,0.11904,90,723,0.09542,0.14266
1985,Second Stage of Tertiary Education,Never,0.78761,594,723,0.75777,0.81744
1986,Pre-primary Level,Never,0.93661,177,177,0.90061,0.97261
1986,Primary Level,Never,0.97996,758,758,0.96997,0.98994
1986,Lower Secondary Level,At least once per month,0.01477,32,2860,0.01034,0.01919
1986,Lower Secondary Level,Seldom,0.02758,82,2860,0.02157,0.03358
1986,Lower Secondary Level,Never,0.94053,2746,2860,0.93186,0.94920
1986,Upper Secondary Level,At least once per week,0.00994,49,4935,0.00718,0.01271
1986,Upper Secondary Level,At least once per month,0.01873,88,4935,0.01495,0.02251
1986,Upper Secondary Level,Seldom,0.04877,234,4935,0.04276,0.05478
1986,Upper Secondary Level,Never,0.90994,4564,4935,0.90196,0.91793
1986,Post-secondary Non-tertiary Level,Never,0.84093,241,241,0.79466,0.88720
1986,First Stage of Tertiary Education,Seldom,0.09013,57,552,0.06622,0.11404
1986,First Stage of Tertiary Education,Never,0.85727,495,552,0.82806,0.88647
1986,Second Stage of Tertiary Education,Seldom,0.12723,94,696,0.10245,0.15200
1986,Second Stage of Tertiary Education,Never,0.80344,602,696,0.77390,0.83299
1988,Pre-primary Level,Never,0.92720,153,153,0.88590,0.96851
1988,Primary Level,Never,0.97316,674,674,0.96096,0.98537
