year,sex,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,male,At least once per week,0.01367,81,5339,0.01055,0.01678
1985,male,At least once per month,0.02276,129,5339,0.01876,0.02677
1985,male,Seldom,0.05541,324,5339,0.04927,0.06154
1985,male,Never,0.72322,4805,5339,0.71122,0.73523
1985,female,At least once per month,0.01101,70,5507,0.00825,0.01376
1985,female,Seldom,0.03055,191,5507,0.02601,0.03510
1985,female,Never,0.79128,5246,5507,0.78055,0.80202
1986,male,At least once per week,0.01321,77,5172,0.01010,0.01633
1986,male,At least once per month,0.02193,113,5172,0.01794,0.02592
1986,male,Seldom,0.05652,311,5172,0.05023,0.06282
1986,male,Never,0.72759,4671,5172,0.71546,0.73973
1986,female,At least once per month,0.00951,56,5265,0.00689,0.01213
1986,female,Seldom,0.03036,190,5265,0.02573,0.03500
1986,female,Never,0.78943,5019,5265,0.77841,0.80044
1988,male,At least once per week,0.01016,56,4878,0.00734,0.01297
1988,male,At least once per month,0.01826,91,4878,0.01451,0.02202
1988,male,Seldom,0.06480,336,4878,0.05789,0.07171
1988,male,Never,0.72189,4395,4878,0.70931,0.73446
1988,female,At least once per month,0.00657,33,4973,0.00432,0.00881
1988,female,Seldom,0.03061,173,4973,0.02582,0.03540
1988,female,Never,0.79311,4767,4973,0.78185,0.80437
1990,male,At least once per week,0.01643,139,6696,0.01339,0.01948
1990,male,At least once per month,0.03412,277,6696,0.02977,0.03847
1990,male,Seldom,0.12314,892,6696,0.11527,0.13101
1990,male,Never,0.63229,5388,6696,0.62074,0.64384
1990,female,At least once per week,0.00671,57,7011,0.00480,0.00862
1990,female,At least once per month,0.01727,161,7011,0.01422,0.02032
1990,female,Seldom,0.08114,659,7011,0.07475,0.08753
1990,female,Never,0.71903,6134,7011,0.70851,0.72955
1992,male,At least once per week,0.01051,88,6375,0.00801,0.01301
1992,male,At least once per month,0.01973,140,6375,0.01632,0.02315
1992,male,Seldom,0.05881,440,6375,0.05304,0.06459
1992,male,Never,0.71291,5707,6375,0.70180,0.72401
1992,female,At least once per month,0.01248,92,6702,0.00982,0.01514
1992,female,Seldom,0.03615,292,6702,0.03168,0.04062
1992,female,Never,0.76070,6318,6702,0.75048,0.77091
1994,male,At least once per week,0.01012,84,6139,0.00762,0.01262
1994,male,At least once per month,0.01520,125,6139,0.01214,0.01826
1994,male,Seldom,0.06902,473,6139,0.06267,0.07536
1994,male,Never,0.70459,5457,6139,0.69317,0.71600
1994,female,At least once per month,0.01026,85,6555,0.00782,0.01270
1994,female,Seldom,0.03801,308,6555,0.03339,0.04264
1994,female,Never,0.76595,6162,6555,0.75570,0.77620
1995,male,At least once per week,0.01343,110,6368,0.01060,0.01626
1995,male,At least once per month,0.02236,153,6368,0.01873,0.02599
1995,male,Seldom,0.08340,597,6368,0.07661,0.09019
1995,male,Never,0.68316,5508,6368,0.67173,0.69459
1995,female,At least once per week,0.00450,39,6815,0.00291,0.00609
