year,age_gr,quintil_oecd,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,1st Quintile,Seldom,0.06531,37,741,0.04751,0.08312
1985,17-29 y.,1st Quintile,Never,0.88354,704,741,0.86043,0.90665
1985,17-29 y.,2nd Quintile,Seldom,0.07312,34,574,0.05181,0.09444
1985,17-29 y.,2nd Quintile,Never,0.90541,540,574,0.88145,0.92937
1985,17-29 y.,3rd Quintile,Never,0.91217,599,599,0.88948,0.93485
1985,17-29 y.,4th Quintile,Seldom,0.06850,39,618,0.04857,0.08843
1985,17-29 y.,4th Quintile,Never,0.90839,579,618,0.88563,0.93115
1985,17-29 y.,5th Quintile,Seldom,0.06540,32,469,0.04300,0.08780
1985,17-29 y.,5th Quintile,Never,0.88701,437,469,0.85833,0.91569
1985,30-45 y.,1st Quintile,Never,0.93046,640,640,0.91074,0.95018
1985,30-45 y.,2nd Quintile,Never,0.91524,689,689,0.89442,0.93605
1985,30-45 y.,3rd Quintile,Seldom,0.08539,46,619,0.06336,0.10742
1985,30-45 y.,3rd Quintile,Never,0.85813,573,619,0.83062,0.88564
1985,30-45 y.,4th Quintile,Seldom,0.09334,53,639,0.07077,0.11591
1985,30-45 y.,4th Quintile,Never,0.85600,586,639,0.82876,0.88324
1985,30-45 y.,5th Quintile,Seldom,0.07668,51,680,0.05667,0.09670
1985,30-45 y.,5th Quintile,Never,0.85429,629,680,0.82776,0.88083
1985,46-65 y.,1st Quintile,Never,0.93789,508,508,0.91688,0.95890
1985,46-65 y.,2nd Quintile,Never,0.91308,528,528,0.88902,0.93713
1985,46-65 y.,3rd Quintile,Never,0.91152,631,631,0.88934,0.93370
1985,46-65 y.,4th Quintile,Never,0.90155,662,662,0.87884,0.92427
1985,46-65 y.,5th Quintile,Seldom,0.05698,46,733,0.04019,0.07378
1985,46-65 y.,5th Quintile,Never,0.87239,687,733,0.84822,0.89656
1985,66 and older,1st Quintile,Never,0.95286,243,243,0.92616,0.97957
1985,66 and older,2nd Quintile,Never,0.97027,246,246,0.94900,0.99154
1985,66 and older,3rd Quintile,Never,0.95678,215,215,0.92954,0.98403
1985,66 and older,4th Quintile,Never,0.94124,190,190,0.90771,0.97477
1985,66 and older,5th Quintile,Never,0.93225,158,158,0.89294,0.97156
1986,17-29 y.,1st Quintile,Seldom,0.07761,40,645,0.05694,0.09827
1986,17-29 y.,1st Quintile,Never,0.88254,605,645,0.85767,0.90741
1986,17-29 y.,2nd Quintile,Never,0.93139,577,577,0.91074,0.95203
1986,17-29 y.,3rd Quintile,Seldom,0.06658,34,599,0.04660,0.08656
1986,17-29 y.,3rd Quintile,Never,0.91271,565,599,0.89009,0.93533
1986,17-29 y.,4th Quintile,Never,0.93061,619,619,0.91058,0.95065
1986,17-29 y.,5th Quintile,Seldom,0.07927,35,478,0.05502,0.10351
1986,17-29 y.,5th Quintile,Never,0.87923,443,478,0.84999,0.90848
1986,30-45 y.,1st Quintile,Never,0.91796,561,561,0.89523,0.94069
1986,30-45 y.,2nd Quintile,Never,0.90697,636,636,0.88438,0.92956
1986,30-45 y.,3rd Quintile,Seldom,0.07477,38,628,0.05418,0.09536
1986,30-45 y.,3rd Quintile,Never,0.87822,590,628,0.85262,0.90382
1986,30-45 y.,4th Quintile,Seldom,0.07316,44,616,0.05258,0.09374
1986,30-45 y.,4th Quintile,Never,0.87897,572,616,0.85319,0.90475
1986,30-45 y.,5th Quintile,Seldom,0.10147,58,651,0.07825,0.12468
1986,30-45 y.,5th Quintile,Never,0.85319,593,651,0.82598,0.88039
1986,46-65 y.,1st Quintile,Never,0.95358,532,532,0.93569,0.97148
1986,46-65 y.,2nd Quintile,Never,0.93107,501,501,0.90886,0.95327
1986,46-65 y.,3rd Quintile,Never,0.89975,574,574,0.87516,0.92434
1986,46-65 y.,4th Quintile,Seldom,0.05820,40,715,0.04102,0.07537
1986,46-65 y.,4th Quintile,Never,0.89490,675,715,0.87240,0.91739
1986,46-65 y.,5th Quintile,Seldom,0.08492,60,716,0.06448,0.10535
1986,46-65 y.,5th Quintile,Never,0.84276,656,716,0.81608,0.86945
1986,66 and older,1st Quintile,Never,0.97046,244,244,0.94917,0.99175
1986,66 and older,2nd Quintile,Never,0.98534,244,244,0.97022,1.00045
1986,66 and older,3rd Quintile,Never,0.92164,198,198,0.88412,0.95917
1986,66 and older,4th Quintile,Never,0.95229,155,155,0.91862,0.98595
1986,66 and older,5th Quintile,Never,0.95018,144,144,0.91452,0.98584
1988,17-29 y.,1st Quintile,Never,0.93504,606,606,0.91540,0.95468
1988,17-29 y.,2nd Quintile,Never,0.92551,528,528,0.90310,0.94793
1988,17-29 y.,3rd Quintile,Never,0.93157,569,569,0.91081,0.95234
1988,17-29 y.,4th Quintile,Seldom,0.06724,31,619,0.04749,0.08698
1988,17-29 y.,4th Quintile,Never,0.92123,588,619,0.90000,0.94247
1988,17-29 y.,5th Quintile,Never,0.92435,406,406,0.89859,0.95010
1988,30-45 y.,1st Quintile,Never,0.93657,510,510,0.91540,0.95775
1988,30-45 y.,2nd Quintile,Seldom,0.06131,32,630,0.04256,0.08006
1988,30-45 y.,2nd Quintile,Never,0.90328,598,630,0.88018,0.92638
1988,30-45 y.,3rd Quintile,Seldom,0.06771,34,577,0.04719,0.08822
