year,regtyp,pli0097_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,At least once per week,0.00866,78,8540,0.00670,0.01063
1985,Urban regions,At least once per month,0.01646,151,8540,0.01376,0.01916
1985,Urban regions,Seldom,0.04134,390,8540,0.03712,0.04556
1985,Urban regions,Never,0.76388,7921,8540,0.75487,0.77289
1985,Rural regions,At least once per month,0.01706,48,2303,0.01177,0.02236
1985,Rural regions,Seldom,0.04562,125,2303,0.03709,0.05414
1985,Rural regions,Never,0.74364,2130,2303,0.72581,0.76148
1986,Urban regions,At least once per week,0.00760,72,8221,0.00572,0.00947
1986,Urban regions,At least once per month,0.01443,124,8221,0.01185,0.01701
1986,Urban regions,Seldom,0.04413,391,8221,0.03969,0.04857
1986,Urban regions,Never,0.76364,7634,8221,0.75446,0.77283
1986,Rural regions,At least once per month,0.01853,45,2211,0.01290,0.02415
1986,Rural regions,Seldom,0.03902,110,2211,0.03095,0.04710
1986,Rural regions,Never,0.74843,2056,2211,0.73034,0.76652
1988,Urban regions,At least once per week,0.00648,54,7808,0.00470,0.00827
1988,Urban regions,At least once per month,0.01070,87,7808,0.00842,0.01298
1988,Urban regions,Seldom,0.04704,388,7808,0.04234,0.05174
1988,Urban regions,Never,0.76616,7279,7808,0.75677,0.77555
1988,Rural regions,At least once per month,0.01690,37,2041,0.01131,0.02250
1988,Rural regions,Seldom,0.04721,121,2041,0.03801,0.05642
1988,Rural regions,Never,0.73577,1883,2041,0.71664,0.75490
1990,Urban regions,At least once per week,0.00948,95,8866,0.00746,0.01149
1990,Urban regions,At least once per month,0.02285,228,8866,0.01974,0.02596
1990,Urban regions,Seldom,0.10170,965,8866,0.09541,0.10799
1990,Urban regions,Never,0.69001,7578,8866,0.68038,0.69963
1990,Rural regions,At least once per week,0.01541,98,4754,0.01190,0.01891
1990,Rural regions,At least once per month,0.03086,206,4754,0.02595,0.03578
1990,Rural regions,Seldom,0.10105,575,4754,0.09248,0.10962
1990,Rural regions,Never,0.64999,3875,4754,0.63643,0.66355
1992,Urban regions,At least once per week,0.00545,55,8512,0.00388,0.00701
1992,Urban regions,At least once per month,0.01435,121,8512,0.01183,0.01688
1992,Urban regions,Seldom,0.04435,428,8512,0.03998,0.04872
1992,Urban regions,Never,0.74551,7908,8512,0.73626,0.75477
1992,Rural regions,At least once per week,0.00875,55,4472,0.00602,0.01149
1992,Rural regions,At least once per month,0.01981,110,4472,0.01572,0.02389
1992,Rural regions,Seldom,0.05325,296,4472,0.04667,0.05984
1992,Rural regions,Never,0.72165,4011,4472,0.70851,0.73478
1994,Urban regions,At least once per week,0.00552,54,8359,0.00393,0.00711
1994,Urban regions,At least once per month,0.01134,115,8359,0.00907,0.01361
1994,Urban regions,Seldom,0.04960,474,8359,0.04494,0.05425
1994,Urban regions,Never,0.74553,7716,8359,0.73619,0.75487
1994,Rural regions,At least once per week,0.00853,52,4357,0.00580,0.01126
1994,Rural regions,At least once per month,0.01555,95,4357,0.01188,0.01922
1994,Rural regions,Seldom,0.06079,307,4357,0.05369,0.06788
1994,Rural regions,Never,0.71542,3903,4357,0.70202,0.72882
1995,Urban regions,At least once per week,0.00808,89,8648,0.00620,0.00997
1995,Urban regions,At least once per month,0.01387,130,8648,0.01141,0.01634
1995,Urban regions,Seldom,0.06246,594,8648,0.05736,0.06756
1995,Urban regions,Never,0.73180,7835,8648,0.72246,0.74114
1995,Rural regions,At least once per week,0.01048,60,4535,0.00752,0.01345
1995,Rural regions,At least once per month,0.02183,107,4535,0.01758,0.02608
1995,Rural regions,Seldom,0.08319,425,4535,0.07515,0.09123
1995,Rural regions,Never,0.68825,3943,4535,0.67477,0.70173
1996,Urban regions,At least once per week,0.00502,56,8470,0.00351,0.00652
1996,Urban regions,At least once per month,0.01135,110,8470,0.00910,0.01361
1996,Urban regions,Seldom,0.06511,588,8470,0.05986,0.07037
1996,Urban regions,Never,0.73617,7716,8470,0.72678,0.74555
1996,Rural regions,At least once per week,0.00870,45,4500,0.00599,0.01142
1996,Rural regions,At least once per month,0.01450,77,4500,0.01101,0.01800
1996,Rural regions,Seldom,0.08247,402,4500,0.07443,0.09051
1996,Rural regions,Never,0.70156,3976,4500,0.68819,0.71493
1997,Urban regions,At least once per week,0.00640,56,8285,0.00468,0.00812
1997,Urban regions,At least once per month,0.01374,137,8285,0.01124,0.01625
1997,Urban regions,Seldom,0.05152,455,8285,0.04676,0.05628
1997,Urban regions,Never,0.74210,7637,8285,0.73268,0.75152
1997,Rural regions,At least once per week,0.00741,37,4415,0.00488,0.00994
1997,Rural regions,At least once per month,0.01474,77,4415,0.01118,0.01829
1997,Rural regions,Seldom,0.06746,331,4415,0.06006,0.07486
1997,Rural regions,Never,0.71577,3970,4415,0.70247,0.72908
1998,Urban regions,At least once per week,0.00759,82,9207,0.00582,0.00936
1998,Urban regions,At least once per month,0.01251,147,9207,0.01024,0.01478
1998,Urban regions,Seldom,0.07953,812,9207,0.07400,0.08505
1998,Urban regions,Never,0.72367,8166,9207,0.71453,0.73280
1998,Rural regions,At least once per week,0.00535,31,4940,0.00331,0.00738
1998,Rural regions,At least once per month,0.01626,99,4940,0.01273,0.01979
1998,Rural regions,Seldom,0.08994,510,4940,0.08196,0.09792
