,Unnamed: 0,year,bula_h,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Schleswig-Holstein,Often,0.13597,94,21915,0.1161,0.16247
1,1,2003,Schleswig-Holstein,Sometimes,0.4233,275,21915,0.39019,0.45886
2,2,2003,Schleswig-Holstein,Seldom,0.29527,188,21915,0.26706,0.31843
3,3,2003,Schleswig-Holstein,Never,0.14547,87,21915,0.12914,0.15914
4,4,2003,Hamburg,Often,0.18806,57,21915,0.14727,0.22808
5,5,2003,Hamburg,Sometimes,0.39257,117,21915,0.33683,0.45042
6,6,2003,Hamburg,Seldom,0.26994,73,21915,0.23421,0.31673
7,7,2003,Hamburg,Never,0.14944,31,21915,0.11903,0.18297
8,8,2003,Lower Saxony,Very often,0.04914,114,21915,0.04222,0.05821
9,9,2003,Lower Saxony,Often,0.17629,356,21915,0.1612,0.19455
10,10,2003,Lower Saxony,Sometimes,0.32423,656,21915,0.30705,0.34226
11,11,2003,Lower Saxony,Seldom,0.28403,524,21915,0.26753,0.30311
12,12,2003,Lower Saxony,Never,0.16631,252,21915,0.15517,0.17616
13,13,2003,Bremen,Often,0.2453,37,21915,0.18364,0.31215
14,14,2003,Bremen,Sometimes,0.46309,61,21915,0.37239,0.54867
15,15,2003,Bremen,Seldom,0.29161,40,21915,0.23929,0.35409
16,16,2003,North Rhine-Westphalia,Very often,0.04032,192,21915,0.03478,0.04512
17,17,2003,North Rhine-Westphalia,Often,0.16689,831,21915,0.15799,0.1756
18,18,2003,North Rhine-Westphalia,Sometimes,0.35755,1723,21915,0.34602,0.36851
19,19,2003,North Rhine-Westphalia,Seldom,0.24056,1126,21915,0.23156,0.25092
20,20,2003,North Rhine-Westphalia,Never,0.19468,768,21915,0.18683,0.2038
21,21,2003,Hesse,Very often,0.05905,71,21915,0.04888,0.07068
22,22,2003,Hesse,Often,0.17018,274,21915,0.15373,0.18663
23,23,2003,Hesse,Sometimes,0.33504,524,21915,0.31564,0.35493
24,24,2003,Hesse,Seldom,0.25191,382,21915,0.23397,0.272
25,25,2003,Hesse,Never,0.18381,236,21915,0.16916,0.19772
26,26,2003,"Rhineland-Palatinate, Saarland",Very often,0.03054,45,21915,0.02288,0.03841
