year,bula_h,pgisced97,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Schleswig-Holstein,Upper Secondary Level,Often,0.11087,41,347,0.07779,0.14396
2003,Schleswig-Holstein,Upper Secondary Level,Sometimes,0.40705,146,347,0.35528,0.45882
2003,Schleswig-Holstein,Upper Secondary Level,Seldom,0.31464,110,347,0.26571,0.36358
2003,Schleswig-Holstein,Upper Secondary Level,Never,0.13364,50,347,0.09779,0.16950
2003,Schleswig-Holstein,Second Stage of Tertiary Education,Sometimes,0.54618,57,57,0.41579,0.67658
2003,Hamburg,Upper Secondary Level,Sometimes,0.35437,55,91,0.25555,0.45319
2003,Hamburg,Upper Secondary Level,Seldom,0.27224,36,91,0.18028,0.36420
2003,Hamburg,Second Stage of Tertiary Education,Sometimes,0.40633,31,31,0.23057,0.58208
2003,Lower Saxony,Lower Secondary Level,Often,0.14995,38,252,0.10578,0.19412
2003,Lower Saxony,Lower Secondary Level,Sometimes,0.23399,79,252,0.18161,0.28636
2003,Lower Saxony,Lower Secondary Level,Seldom,0.26818,65,252,0.21337,0.32298
2003,Lower Saxony,Lower Secondary Level,Never,0.30887,70,252,0.25171,0.36603
2003,Lower Saxony,Upper Secondary Level,Very often,0.04451,48,991,0.03166,0.05735
2003,Lower Saxony,Upper Secondary Level,Often,0.14256,161,991,0.12078,0.16434
2003,Lower Saxony,Upper Secondary Level,Sometimes,0.33829,354,991,0.30882,0.36777
2003,Lower Saxony,Upper Secondary Level,Seldom,0.31355,300,991,0.28465,0.34245
2003,Lower Saxony,Upper Secondary Level,Never,0.16109,128,991,0.13819,0.18399
2003,Lower Saxony,Post-secondary Non-tertiary Level,Sometimes,0.35309,46,46,0.21345,0.49273
2003,Lower Saxony,First Stage of Tertiary Education,Sometimes,0.33566,44,82,0.23282,0.43850
2003,Lower Saxony,First Stage of Tertiary Education,Seldom,0.33055,38,82,0.22810,0.43299
2003,Lower Saxony,Second Stage of Tertiary Education,Often,0.26033,75,253,0.20615,0.31451
2003,Lower Saxony,Second Stage of Tertiary Education,Sometimes,0.37778,106,253,0.31792,0.43764
2003,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.21082,72,253,0.16046,0.26119
2003,North Rhine-Westphalia,Pre-primary Level,Often,0.38540,54,106,0.29231,0.47849
2003,North Rhine-Westphalia,Pre-primary Level,Sometimes,0.33289,52,106,0.24275,0.42303
2003,North Rhine-Westphalia,Primary Level,Never,0.32394,34,34,0.16427,0.48361
2003,North Rhine-Westphalia,Lower Secondary Level,Often,0.14518,91,564,0.11608,0.17428
2003,North Rhine-Westphalia,Lower Secondary Level,Sometimes,0.29591,181,564,0.25820,0.33361
2003,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.22366,133,564,0.18924,0.25808
2003,North Rhine-Westphalia,Lower Secondary Level,Never,0.30294,159,564,0.26498,0.34090
2003,North Rhine-Westphalia,Upper Secondary Level,Very often,0.03482,80,2250,0.02724,0.04240
2003,North Rhine-Westphalia,Upper Secondary Level,Often,0.13602,346,2250,0.12185,0.15019
2003,North Rhine-Westphalia,Upper Secondary Level,Sometimes,0.35080,810,2250,0.33107,0.37052
2003,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.26456,597,2250,0.24633,0.28279
2003,North Rhine-Westphalia,Upper Secondary Level,Never,0.21381,417,2250,0.19686,0.23075
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Often,0.19655,71,326,0.15335,0.23976
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Sometimes,0.43313,146,326,0.37926,0.48701
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.22619,75,326,0.18070,0.27167
2003,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.08594,34,326,0.05547,0.11641
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Often,0.18151,58,320,0.13921,0.22381
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Sometimes,0.41129,140,320,0.35729,0.46529
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.18646,77,320,0.14372,0.22920
2003,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.17319,45,320,0.13166,0.21472
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Very often,0.04035,39,845,0.02707,0.05362
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Often,0.24289,186,845,0.21396,0.27182
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Sometimes,0.38877,346,845,0.35588,0.42166
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.22985,201,845,0.20146,0.25823
2003,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.09815,73,845,0.07807,0.11822
2003,Hesse,Lower Secondary Level,Often,0.12881,32,192,0.08130,0.17631
2003,Hesse,Lower Secondary Level,Sometimes,0.24888,53,192,0.18756,0.31020
2003,Hesse,Lower Secondary Level,Seldom,0.21517,43,192,0.15689,0.27344
2003,Hesse,Lower Secondary Level,Never,0.32159,64,192,0.25535,0.38784
