year,pgisced97,quintil_oecd,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,Pre-primary Level,1st Quintile,Often,0.56797,38,21040,0.56610,0.56984
2003,Pre-primary Level,1st Quintile,Sometimes,0.43203,34,21040,0.43016,0.43390
2003,Pre-primary Level,2nd Quintile,Often,0.56422,47,21040,0.56206,0.56639
2003,Pre-primary Level,2nd Quintile,Sometimes,0.43578,35,21040,0.43361,0.43794
2003,Pre-primary Level,3rd Quintile,Often,0.46138,39,21040,0.45909,0.46366
2003,Pre-primary Level,3rd Quintile,Sometimes,0.53862,40,21040,0.53634,0.54091
2003,Pre-primary Level,4th Quintile,Often,0.51011,49,21040,0.50789,0.51233
2003,Pre-primary Level,4th Quintile,Sometimes,0.48989,43,21040,0.48767,0.49211
2003,Pre-primary Level,5th Quintile,Often,0.68415,77,21040,0.68213,0.68617
2003,Pre-primary Level,5th Quintile,Sometimes,0.31585,58,21040,0.31383,0.31787
2003,Primary Level,1st Quintile,Sometimes,0.39226,31,21040,0.39051,0.39402
2003,Primary Level,1st Quintile,Never,0.60774,53,21040,0.60598,0.60949
2003,Lower Secondary Level,1st Quintile,Often,0.10382,89,21040,0.10348,0.10415
2003,Lower Secondary Level,1st Quintile,Sometimes,0.28553,236,21040,0.28503,0.28602
2003,Lower Secondary Level,1st Quintile,Seldom,0.25387,196,21040,0.25339,0.25435
2003,Lower Secondary Level,1st Quintile,Never,0.35678,279,21040,0.35626,0.35731
2003,Lower Secondary Level,2nd Quintile,Often,0.16553,107,21040,0.16505,0.16601
2003,Lower Secondary Level,2nd Quintile,Sometimes,0.26139,192,21040,0.26083,0.26196
2003,Lower Secondary Level,2nd Quintile,Seldom,0.24297,157,21040,0.24242,0.24352
2003,Lower Secondary Level,2nd Quintile,Never,0.33011,202,21040,0.32950,0.33071
2003,Lower Secondary Level,3rd Quintile,Often,0.13882,72,21040,0.13829,0.13935
2003,Lower Secondary Level,3rd Quintile,Sometimes,0.29889,155,21040,0.29819,0.29959
2003,Lower Secondary Level,3rd Quintile,Seldom,0.25743,131,21040,0.25676,0.25810
2003,Lower Secondary Level,3rd Quintile,Never,0.30486,122,21040,0.30416,0.30556
2003,Lower Secondary Level,4th Quintile,Often,0.14344,59,21040,0.14283,0.14405
2003,Lower Secondary Level,4th Quintile,Sometimes,0.33252,134,21040,0.33170,0.33334
2003,Lower Secondary Level,4th Quintile,Seldom,0.23546,91,21040,0.23472,0.23620
2003,Lower Secondary Level,4th Quintile,Never,0.28858,104,21040,0.28779,0.28937
2003,Lower Secondary Level,5th Quintile,Often,0.16725,57,21040,0.16640,0.16810
2003,Lower Secondary Level,5th Quintile,Sometimes,0.25791,79,21040,0.25692,0.25891
2003,Lower Secondary Level,5th Quintile,Seldom,0.23576,68,21040,0.23479,0.23672
2003,Lower Secondary Level,5th Quintile,Never,0.33908,71,21040,0.33800,0.34015
2003,Upper Secondary Level,1st Quintile,Very often,0.04011,61,21040,0.03996,0.04026
2003,Upper Secondary Level,1st Quintile,Often,0.14943,247,21040,0.14915,0.14971
2003,Upper Secondary Level,1st Quintile,Sometimes,0.26904,498,21040,0.26869,0.26938
2003,Upper Secondary Level,1st Quintile,Seldom,0.25350,445,21040,0.25317,0.25384
2003,Upper Secondary Level,1st Quintile,Never,0.28792,472,21040,0.28757,0.28827
2003,Upper Secondary Level,2nd Quintile,Very often,0.03660,73,21040,0.03647,0.03673
2003,Upper Secondary Level,2nd Quintile,Often,0.13556,308,21040,0.13532,0.13580
2003,Upper Secondary Level,2nd Quintile,Sometimes,0.31050,700,21040,0.31017,0.31083
2003,Upper Secondary Level,2nd Quintile,Seldom,0.28342,662,21040,0.28310,0.28374
2003,Upper Secondary Level,2nd Quintile,Never,0.23392,507,21040,0.23362,0.23422
2003,Upper Secondary Level,3rd Quintile,Very often,0.03267,79,21040,0.03254,0.03279
2003,Upper Secondary Level,3rd Quintile,Often,0.12211,326,21040,0.12188,0.12234
2003,Upper Secondary Level,3rd Quintile,Sometimes,0.32071,787,21040,0.32039,0.32103
2003,Upper Secondary Level,3rd Quintile,Seldom,0.30632,712,21040,0.30600,0.30664
2003,Upper Secondary Level,3rd Quintile,Never,0.21819,463,21040,0.21790,0.21848
2003,Upper Secondary Level,4th Quintile,Very often,0.04313,90,21040,0.04299,0.04328
2003,Upper Secondary Level,4th Quintile,Often,0.14828,362,21040,0.14803,0.14854
2003,Upper Secondary Level,4th Quintile,Sometimes,0.36308,838,21040,0.36274,0.36343
2003,Upper Secondary Level,4th Quintile,Seldom,0.29255,668,21040,0.29222,0.29287
2003,Upper Secondary Level,4th Quintile,Never,0.15295,321,21040,0.15269,0.15321
2003,Upper Secondary Level,5th Quintile,Very often,0.04426,118,21040,0.04410,0.04443
2003,Upper Secondary Level,5th Quintile,Often,0.13775,373,21040,0.13748,0.13802
2003,Upper Secondary Level,5th Quintile,Sometimes,0.36222,893,21040,0.36184,0.36259
2003,Upper Secondary Level,5th Quintile,Seldom,0.30966,723,21040,0.30929,0.31002
2003,Upper Secondary Level,5th Quintile,Never,0.14611,307,21040,0.14583,0.14639
2003,Post-secondary Non-tertiary Level,1st Quintile,Sometimes,0.60761,58,21040,0.60611,0.60910
2003,Post-secondary Non-tertiary Level,1st Quintile,Seldom,0.39239,35,21040,0.39090,0.39389
2003,Post-secondary Non-tertiary Level,2nd Quintile,Sometimes,0.66966,60,21040,0.66803,0.67129
2003,Post-secondary Non-tertiary Level,2nd Quintile,Seldom,0.33034,37,21040,0.32871,0.33197
2003,Post-secondary Non-tertiary Level,3rd Quintile,Often,0.20899,35,21040,0.20790,0.21009
2003,Post-secondary Non-tertiary Level,3rd Quintile,Sometimes,0.43758,84,21040,0.43624,0.43892
2003,Post-secondary Non-tertiary Level,3rd Quintile,Seldom,0.35343,49,21040,0.35214,0.35472
2003,Post-secondary Non-tertiary Level,4th Quintile,Often,0.20910,45,21040,0.20824,0.20997
2003,Post-secondary Non-tertiary Level,4th Quintile,Sometimes,0.51223,120,21040,0.51116,0.51330
2003,Post-secondary Non-tertiary Level,4th Quintile,Seldom,0.27866,61,21040,0.27771,0.27962
2003,Post-secondary Non-tertiary Level,5th Quintile,Often,0.20838,90,21040,0.20752,0.20925
2003,Post-secondary Non-tertiary Level,5th Quintile,Sometimes,0.38238,142,21040,0.38135,0.38341
2003,Post-secondary Non-tertiary Level,5th Quintile,Seldom,0.29236,103,21040,0.29139,0.29332
2003,Post-secondary Non-tertiary Level,5th Quintile,Never,0.11688,42,21040,0.11620,0.11756
2003,First Stage of Tertiary Education,1st Quintile,Sometimes,0.31276,40,21040,0.31146,0.31405
2003,First Stage of Tertiary Education,1st Quintile,Seldom,0.35004,51,21040,0.34872,0.35137
2003,First Stage of Tertiary Education,1st Quintile,Never,0.33720,33,21040,0.33588,0.33852
2003,First Stage of Tertiary Education,2nd Quintile,Often,0.17592,42,21040,0.17510,0.17674
2003,First Stage of Tertiary Education,2nd Quintile,Sometimes,0.34016,82,21040,0.33913,0.34118
2003,First Stage of Tertiary Education,2nd Quintile,Seldom,0.30548,78,21040,0.30449,0.30648
2003,First Stage of Tertiary Education,2nd Quintile,Never,0.17844,41,21040,0.17761,0.17926
2003,First Stage of Tertiary Education,3rd Quintile,Often,0.13847,46,21040,0.13779,0.13915
2003,First Stage of Tertiary Education,3rd Quintile,Sometimes,0.39601,131,21040,0.39504,0.39697
2003,First Stage of Tertiary Education,3rd Quintile,Seldom,0.22674,93,21040,0.22591,0.22756
2003,First Stage of Tertiary Education,3rd Quintile,Never,0.23878,59,21040,0.23794,0.23963
2003,First Stage of Tertiary Education,4th Quintile,Often,0.22542,94,21040,0.22471,0.22613
2003,First Stage of Tertiary Education,4th Quintile,Sometimes,0.37269,165,21040,0.37187,0.37351
2003,First Stage of Tertiary Education,4th Quintile,Seldom,0.27211,114,21040,0.27135,0.27286
2003,First Stage of Tertiary Education,4th Quintile,Never,0.12979,50,21040,0.12922,0.13036
2003,First Stage of Tertiary Education,5th Quintile,Often,0.18050,84,21040,0.17982,0.18117
2003,First Stage of Tertiary Education,5th Quintile,Sometimes,0.42705,197,21040,0.42618,0.42792
2003,First Stage of Tertiary Education,5th Quintile,Seldom,0.26021,152,21040,0.25944,0.26098
2003,First Stage of Tertiary Education,5th Quintile,Never,0.13224,50,21040,0.13165,0.13284
2003,Second Stage of Tertiary Education,1st Quintile,Often,0.24106,46,21040,0.24014,0.24198
2003,Second Stage of Tertiary Education,1st Quintile,Sometimes,0.36556,75,21040,0.36453,0.36660
2003,Second Stage of Tertiary Education,1st Quintile,Seldom,0.21925,49,21040,0.21836,0.22014
2003,Second Stage of Tertiary Education,1st Quintile,Never,0.17413,34,21040,0.17332,0.17494
2003,Second Stage of Tertiary Education,2nd Quintile,Often,0.19278,44,21040,0.19192,0.19364
2003,Second Stage of Tertiary Education,2nd Quintile,Sometimes,0.38363,113,21040,0.38256,0.38469
2003,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.29602,73,21040,0.29502,0.29701
2003,Second Stage of Tertiary Education,2nd Quintile,Never,0.12757,35,21040,0.12684,0.12831
2003,Second Stage of Tertiary Education,3rd Quintile,Often,0.17947,92,21040,0.17884,0.18010
2003,Second Stage of Tertiary Education,3rd Quintile,Sometimes,0.41087,203,21040,0.41006,0.41168
2003,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.29847,154,21040,0.29772,0.29922
2003,Second Stage of Tertiary Education,3rd Quintile,Never,0.11119,49,21040,0.11067,0.11170
2003,Second Stage of Tertiary Education,4th Quintile,Very often,0.03183,31,21040,0.03161,0.03205
2003,Second Stage of Tertiary Education,4th Quintile,Often,0.21021,167,21040,0.20969,0.21072
2003,Second Stage of Tertiary Education,4th Quintile,Sometimes,0.41565,336,21040,0.41503,0.41627
2003,Second Stage of Tertiary Education,4th Quintile,Seldom,0.25011,226,21040,0.24957,0.25066
2003,Second Stage of Tertiary Education,4th Quintile,Never,0.09221,70,21040,0.09184,0.09257
2003,Second Stage of Tertiary Education,5th Quintile,Very often,0.04409,113,21040,0.04392,0.04427
2003,Second Stage of Tertiary Education,5th Quintile,Often,0.21536,508,21040,0.21500,0.21572
2003,Second Stage of Tertiary Education,5th Quintile,Sometimes,0.38732,1000,21040,0.38690,0.38775
2003,Second Stage of Tertiary Education,5th Quintile,Seldom,0.27699,708,21040,0.27660,0.27738
2003,Second Stage of Tertiary Education,5th Quintile,Never,0.07622,173,21040,0.07599,0.07646
2008,Pre-primary Level,3rd Quintile,Sometimes,1.00000,38,17977,1.00000,1.00000
2008,Primary Level,1st Quintile,Never,1.00000,49,17977,1.00000,1.00000
2008,Lower Secondary Level,1st Quintile,Often,0.11845,66,17977,0.11807,0.11883
2008,Lower Secondary Level,1st Quintile,Sometimes,0.23468,144,17977,0.23418,0.23518
2008,Lower Secondary Level,1st Quintile,Seldom,0.27805,166,17977,0.27752,0.27858
2008,Lower Secondary Level,1st Quintile,Never,0.36883,234,17977,0.36826,0.36940
2008,Lower Secondary Level,2nd Quintile,Often,0.09690,57,17977,0.09651,0.09729
2008,Lower Secondary Level,2nd Quintile,Sometimes,0.26274,139,17977,0.26216,0.26332
2008,Lower Secondary Level,2nd Quintile,Seldom,0.26366,142,17977,0.26308,0.26424
2008,Lower Secondary Level,2nd Quintile,Never,0.37670,179,17977,0.37607,0.37734
2008,Lower Secondary Level,3rd Quintile,Often,0.08529,39,17977,0.08487,0.08572
2008,Lower Secondary Level,3rd Quintile,Sometimes,0.34222,137,17977,0.34150,0.34295
2008,Lower Secondary Level,3rd Quintile,Seldom,0.26359,102,17977,0.26292,0.26426
2008,Lower Secondary Level,3rd Quintile,Never,0.30889,119,17977,0.30819,0.30960
2008,Lower Secondary Level,4th Quintile,Often,0.19294,43,17977,0.19216,0.19372
2008,Lower Secondary Level,4th Quintile,Sometimes,0.29216,84,17977,0.29126,0.29306
2008,Lower Secondary Level,4th Quintile,Seldom,0.27728,75,17977,0.27640,0.27817
2008,Lower Secondary Level,4th Quintile,Never,0.23762,61,17977,0.23678,0.23846
2008,Lower Secondary Level,5th Quintile,Sometimes,0.47797,57,17977,0.47630,0.47964
2008,Lower Secondary Level,5th Quintile,Seldom,0.52203,47,17977,0.52036,0.52370
2008,Upper Secondary Level,1st Quintile,Very often,0.02804,55,17977,0.02791,0.02816
2008,Upper Secondary Level,1st Quintile,Often,0.14670,217,17977,0.14643,0.14697
2008,Upper Secondary Level,1st Quintile,Sometimes,0.28359,457,17977,0.28325,0.28394
2008,Upper Secondary Level,1st Quintile,Seldom,0.27115,433,17977,0.27082,0.27149
2008,Upper Secondary Level,1st Quintile,Never,0.27052,448,17977,0.27018,0.27085
2008,Upper Secondary Level,2nd Quintile,Very often,0.02163,39,17977,0.02152,0.02173
2008,Upper Secondary Level,2nd Quintile,Often,0.12114,228,17977,0.12091,0.12137
2008,Upper Secondary Level,2nd Quintile,Sometimes,0.30835,616,17977,0.30802,0.30868
2008,Upper Secondary Level,2nd Quintile,Seldom,0.30285,595,17977,0.30252,0.30318
2008,Upper Secondary Level,2nd Quintile,Never,0.24603,478,17977,0.24572,0.24634
2008,Upper Secondary Level,3rd Quintile,Very often,0.02560,44,17977,0.02549,0.02572
2008,Upper Secondary Level,3rd Quintile,Often,0.12054,260,17977,0.12031,0.12078
2008,Upper Secondary Level,3rd Quintile,Sometimes,0.35883,714,17977,0.35849,0.35917
2008,Upper Secondary Level,3rd Quintile,Seldom,0.29666,655,17977,0.29633,0.29698
2008,Upper Secondary Level,3rd Quintile,Never,0.19837,396,17977,0.19808,0.19865
2008,Upper Secondary Level,4th Quintile,Very often,0.03635,67,17977,0.03622,0.03648
2008,Upper Secondary Level,4th Quintile,Often,0.13808,313,17977,0.13784,0.13832
