"pld0043","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","(noch) kein Abschluss","Schleswig-Holstein","2","","",""
"Sehr oft","2003","(noch) kein Abschluss","Hamburg","2","","",""
"Sehr oft","2003","(noch) kein Abschluss","Niedersachsen","12","","",""
"Sehr oft","2003","(noch) kein Abschluss","Bremen","1","","",""
"Sehr oft","2003","(noch) kein Abschluss","Nordrhein-Westfalen","21","","",""
"Sehr oft","2003","(noch) kein Abschluss","Hessen","6","0.156834570522345","0.0589334975477201","0.25473564349697"
"Sehr oft","2003","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","5","0.0914711260312604","0.0123532931909102","0.170588958871611"
"Sehr oft","2003","(noch) kein Abschluss","Baden-Wuerttemberg","4","0.0143029635574166","-0.00651210405781762","0.0351180311726508"
"Sehr oft","2003","(noch) kein Abschluss","Bayern","7","0.028019609737398","-0.00499242299714406","0.06103164247194"
"Sehr oft","2003","(noch) kein Abschluss","Saarland","","","",""
"Sehr oft","2003","(noch) kein Abschluss","Berlin","2","","",""
"Sehr oft","2003","(noch) kein Abschluss","Brandenburg","5","0.180494466370341","0.0472402397819727","0.313748692958709"
"Sehr oft","2003","(noch) kein Abschluss","Mecklenburg-Vorpommern","1","","",""
"Sehr oft","2003","(noch) kein Abschluss","Sachsen","3","","",""
"Sehr oft","2003","(noch) kein Abschluss","Sachsen-Anhalt","7","0.199231992500474","0.0687562621080036","0.329707722892945"
"Sehr oft","2003","(noch) kein Abschluss","Thueringen","2","","",""
"Sehr oft","2003","Hauptschule","Schleswig-Holstein","9","0.0338153573431725","0.0127188484739184","0.0549118662124265"
"Sehr oft","2003","Hauptschule","Hamburg","2","","",""
"Sehr oft","2003","Hauptschule","Niedersachsen","24","","",""
"Sehr oft","2003","Hauptschule","Bremen","2","","",""
"Sehr oft","2003","Hauptschule","Nordrhein-Westfalen","35","0.0183153302746548","0.0122685318141635","0.0243621287351461"
"Sehr oft","2003","Hauptschule","Hessen","22","","",""
"Sehr oft","2003","Hauptschule","Rheinland-Pfalz,Saarland","13","","",""
"Sehr oft","2003","Hauptschule","Baden-Wuerttemberg","22","","",""
"Sehr oft","2003","Hauptschule","Bayern","52","0.0375737693884543","0.0276515073446367","0.0474960314322718"
"Sehr oft","2003","Hauptschule","Saarland","","","",""
"Sehr oft","2003","Hauptschule","Berlin","7","0.0482394892152992","0.0145070743406406","0.0819719040899579"
"Sehr oft","2003","Hauptschule","Brandenburg","3","","",""
"Sehr oft","2003","Hauptschule","Mecklenburg-Vorpommern","3","","",""
"Sehr oft","2003","Hauptschule","Sachsen","6","0.0152166820594243","0.0034391480377464","0.0269942160811023"
"Sehr oft","2003","Hauptschule","Sachsen-Anhalt","6","0.0181997053291465","0.00273467058971608","0.033664740068577"
"Sehr oft","2003","Hauptschule","Thueringen","6","0.0172967817950884","0.00251909902678872","0.0320744645633881"
"Sehr oft","2003","Realschule","Schleswig-Holstein","3","","",""
"Sehr oft","2003","Realschule","Hamburg","4","0.0853932540943427","0.0241536915844312","0.146632816604254"
"Sehr oft","2003","Realschule","Niedersachsen","34","0.059315905031953","0.0395206131883806","0.0791111968755254"
"Sehr oft","2003","Realschule","Bremen","1","","",""
"Sehr oft","2003","Realschule","Nordrhein-Westfalen","50","0.0526731779641546","0.038347363221869","0.0669989927064401"
"Sehr oft","2003","Realschule","Hessen","15","","",""
"Sehr oft","2003","Realschule","Rheinland-Pfalz,Saarland","12","","",""
