"pld0043","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr oft","2003","17-29","(noch) kein Abschluss","79","0.111944149748605","0.0876115185030139","0.136276780994196"
"Sehr oft","2003","17-29","Hauptschule","62","0.0882709807471556","0.068141726421662","0.108400235072649"
"Sehr oft","2003","17-29","Realschule","110","0.0980950096380219","0.0813217111329566","0.114868308143087"
"Sehr oft","2003","17-29","(Fach-)Abitur","87","0.11201331923502","0.0921865013391173","0.131840137130923"
"Sehr oft","2003","17-29","AkademikerIn","18","","",""
"Sehr oft","2003","30-45","(noch) kein Abschluss","","","",""
"Sehr oft","2003","30-45","Hauptschule","74","0.0373636317673378","0.0288112360707405","0.0459160274639351"
"Sehr oft","2003","30-45","Realschule","108","0.0489861931573922","0.0405084808655568","0.0574639054492275"
"Sehr oft","2003","30-45","(Fach-)Abitur","39","0.0480046067817957","0.0336585529165947","0.0623506606469968"
"Sehr oft","2003","30-45","AkademikerIn","86","0.0536586120990122","0.0425297324279579","0.0647874917700664"
"Sehr oft","2003","46-65","(noch) kein Abschluss","","","",""
"Sehr oft","2003","46-65","Hauptschule","63","0.0209121503095454","0.0160608847944825","0.0257634158246082"
"Sehr oft","2003","46-65","Realschule","43","0.0294637911880624","0.0212945191020253","0.0376330632740995"
"Sehr oft","2003","46-65","(Fach-)Abitur","21","","",""
"Sehr oft","2003","46-65","AkademikerIn","74","0.0392671169884061","0.030735559983158","0.0477986739936542"
"Sehr oft","2003","66","(noch) kein Abschluss","","","",""
"Sehr oft","2003","66","Hauptschule","","","",""
"Sehr oft","2003","66","Realschule","","","",""
"Sehr oft","2003","66","(Fach-)Abitur","","","",""
"Sehr oft","2003","66","AkademikerIn","","","",""
"Oft","2003","17-29","(noch) kein Abschluss","255","0.406652708484773","0.368744387400659","0.444561029568887"
"Oft","2003","17-29","Hauptschule","187","0.260630739612663","0.229482799172536","0.29177868005279"
"Oft","2003","17-29","Realschule","326","0.263470060690087","0.238628695337121","0.288311426043053"
