"pld0043","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","(noch) kein Abschluss","80","0.0746281739489622","0.0573438995616792","0.0919124483362452"
"Sehr oft","2003","Hauptschule","212","0.025185385351737","0.0218302254027543","0.0285405453007196"
"Sehr oft","2003","Realschule","265","0.0494102412363175","0.0438129280916004","0.0550075543810346"
"Sehr oft","2003","(Fach-)Abitur","148","0.0707790429474308","0.0605338088345403","0.0810242770603213"
"Sehr oft","2003","AkademikerIn","179","0.0393702897218437","0.0335804578843985","0.0451601215592889"
"Oft","2003","(noch) kein Abschluss","273","0.285829605164897","0.256113209355026","0.315546000974767"
"Oft","2003","Hauptschule","886","0.103760320092976","0.0972304333560414","0.110290206829911"
"Oft","2003","Realschule","1023","0.173764684648976","0.163978640134132","0.18355072916382"
"Oft","2003","(Fach-)Abitur","607","0.239532537585803","0.222482214138386","0.25658286103322"
"Oft","2003","AkademikerIn","857","0.207310970713607","0.195242111978387","0.219379829448827"
"Manchmal","2003","(noch) kein Abschluss","278","0.301289706122428","0.271112270935708","0.331467141309149"
"Manchmal","2003","Hauptschule","2484","0.284907012729752","0.275241815024735","0.294572210434768"
"Manchmal","2003","Realschule","2171","0.374035144585487","0.361538145662371","0.386532143508603"
"Manchmal","2003","(Fach-)Abitur","932","0.378384353919493","0.359009537350083","0.397759170488903"
"Manchmal","2003","AkademikerIn","1727","0.390596116659769","0.376070980680133","0.405121252639405"
"Selten","2003","(noch) kein Abschluss","144","0.168338256749836","0.14372855315534","0.192947960344332"
"Selten","2003","Hauptschule","2446","0.286220685817732","0.276542133525866","0.295899238109598"
"Selten","2003","Realschule","1662","0.281935071271609","0.270314406815334","0.293555735727885"
"Selten","2003","(Fach-)Abitur","506","0.214974042274423","0.198562663617958","0.231385420930888"
"Selten","2003","AkademikerIn","1210","0.267473355457569","0.254295170046819","0.280651540868318"
"Nie","2003","(noch) kein Abschluss","113","0.169914258013877","0.145213061150552","0.194615454877201"
"Nie","2003","Hauptschule","2350","0.299926596007803","0.290114603864694","0.309738588150912"
"Nie","2003","Realschule","638","0.12085485825761","0.112436315952451","0.129273400562768"
"Nie","2003","(Fach-)Abitur","214","0.09633002327285","0.0845432262343064","0.108116820311394"
"Nie","2003","AkademikerIn","361","0.0952492674472118","0.0865095190266813","0.103989015867742"
"Sehr oft","2004","(noch) kein Abschluss","","","",""
"Sehr oft","2004","Hauptschule","","","",""
