"pld0043","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Sehr oft","2003","Westdeutschland","maennlich","339","0.045167876977291","0.0406270652007236","0.0497086887538584"
"Sehr oft","2003","Westdeutschland","weiblich","374","0.0383586965283063","0.0343171105330291","0.0424002825235834"
"Sehr oft","2003","Ostdeutschland","maennlich","96","0.0334965925776245","0.0265415616925295","0.0404516234627196"
"Sehr oft","2003","Ostdeutschland","weiblich","96","0.0358371527343175","0.0288846723914598","0.0427896330771753"
"Oft","2003","Westdeutschland","maennlich","1386","0.170160939964442","0.161944531431961","0.178377348496923"
"Oft","2003","Westdeutschland","weiblich","1488","0.155563328005199","0.147936384933127","0.163190271077272"
"Oft","2003","Ostdeutschland","maennlich","403","0.155433614632301","0.1414285079268","0.169438721337802"
"Oft","2003","Ostdeutschland","weiblich","443","0.148152864939452","0.134865658418985","0.161440071459918"
"Manchmal","2003","Westdeutschland","maennlich","2860","0.347663217434831","0.337250347191201","0.358076087678461"
"Manchmal","2003","Westdeutschland","weiblich","3063","0.332427520151942","0.322514384555989","0.342340655747896"
"Manchmal","2003","Ostdeutschland","maennlich","883","0.329167275240115","0.31100323316942","0.347331317310809"
"Manchmal","2003","Ostdeutschland","weiblich","878","0.299462689291521","0.282331606254637","0.316593772328406"
"Selten","2003","Westdeutschland","maennlich","2199","0.2647833649657","0.255136012151958","0.274430717779441"
"Selten","2003","Westdeutschland","weiblich","2266","0.267286059435817","0.257973507009733","0.276598611861901"
"Selten","2003","Ostdeutschland","maennlich","759","0.294148035226108","0.276534892977777","0.311761177474439"
"Selten","2003","Ostdeutschland","weiblich","798","0.278479313647502","0.261713729565755","0.295244897729248"
"Nie","2003","Westdeutschland","maennlich","1251","0.172224600657736","0.163968803738243","0.180480397577229"
"Nie","2003","Westdeutschland","weiblich","1484","0.206364395878735","0.197848285025375","0.214880506732095"
"Nie","2003","Ostdeutschland","maennlich","430","0.187754482323852","0.17265938660254","0.202849578045164"
"Nie","2003","Ostdeutschland","weiblich","531","0.238067979387208","0.222138322181319","0.253997636593098"
"Sehr oft","2004","Westdeutschland","maennlich","","","",""
"Sehr oft","2004","Westdeutschland","weiblich","","","",""
"Sehr oft","2004","Ostdeutschland","maennlich","","","",""
"Sehr oft","2004","Ostdeutschland","weiblich","","","",""
"Oft","2004","Westdeutschland","maennlich","","","",""
"Oft","2004","Westdeutschland","weiblich","","","",""
"Oft","2004","Ostdeutschland","maennlich","","","",""
"Oft","2004","Ostdeutschland","weiblich","","","",""
"Manchmal","2004","Westdeutschland","maennlich","","","",""
"Manchmal","2004","Westdeutschland","weiblich","","","",""
"Manchmal","2004","Ostdeutschland","maennlich","","","",""
"Manchmal","2004","Ostdeutschland","weiblich","","","",""
"Selten","2004","Westdeutschland","maennlich","","","",""
"Selten","2004","Westdeutschland","weiblich","","","",""
"Selten","2004","Ostdeutschland","maennlich","","","",""
"Selten","2004","Ostdeutschland","weiblich","","","",""
"Nie","2004","Westdeutschland","maennlich","","","",""
"Nie","2004","Westdeutschland","weiblich","","","",""
"Nie","2004","Ostdeutschland","maennlich","","","",""
"Nie","2004","Ostdeutschland","weiblich","","","",""
"Sehr oft","2005","Westdeutschland","maennlich","","","",""
"Sehr oft","2005","Westdeutschland","weiblich","","","",""
"Sehr oft","2005","Ostdeutschland","maennlich","","","",""
"Sehr oft","2005","Ostdeutschland","weiblich","","","",""
"Oft","2005","Westdeutschland","maennlich","","","",""
"Oft","2005","Westdeutschland","weiblich","","","",""
