,Unnamed: 0,year,bula_h,regtyp,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2003,Schleswig-Holstein,Urban regions,Sometimes,0.50438,134,21618,0.44017,0.56607
1,1,2003,Schleswig-Holstein,Urban regions,Seldom,0.33867,86,21618,0.29118,0.40547
2,2,2003,Schleswig-Holstein,Urban regions,Never,0.15695,37,21618,0.12697,0.18765
3,3,2003,Schleswig-Holstein,Rural regions,Often,0.17491,68,21618,0.14488,0.21387
4,4,2003,Schleswig-Holstein,Rural regions,Sometimes,0.39446,141,21618,0.34756,0.44356
5,5,2003,Schleswig-Holstein,Rural regions,Seldom,0.28402,102,21618,0.24736,0.32383
6,6,2003,Schleswig-Holstein,Rural regions,Never,0.14661,50,21618,0.12573,0.16875
7,7,2003,Hamburg,Urban regions,Often,0.18806,57,21618,0.14514,0.23337
8,8,2003,Hamburg,Urban regions,Sometimes,0.39257,117,21618,0.3505,0.44907
9,9,2003,Hamburg,Urban regions,Seldom,0.26994,73,21618,0.22792,0.30917
10,10,2003,Hamburg,Urban regions,Never,0.14944,31,21618,0.11796,0.18085
11,11,2003,Lower Saxony,Urban regions,Very often,0.04773,67,21618,0.03701,0.05904
12,12,2003,Lower Saxony,Urban regions,Often,0.19395,170,21618,0.17077,0.21962
13,13,2003,Lower Saxony,Urban regions,Sometimes,0.33223,321,21618,0.29981,0.36311
14,14,2003,Lower Saxony,Urban regions,Seldom,0.26514,242,21618,0.23997,0.28746
15,15,2003,Lower Saxony,Urban regions,Never,0.16095,118,21618,0.14415,0.17533
16,16,2003,Lower Saxony,Rural regions,Very often,0.05046,47,21618,0.03973,0.0635
17,17,2003,Lower Saxony,Rural regions,Often,0.15973,186,21618,0.14139,0.17788
18,18,2003,Lower Saxony,Rural regions,Sometimes,0.31672,335,21618,0.29538,0.34602
19,19,2003,Lower Saxony,Rural regions,Seldom,0.30175,282,21618,0.27829,0.32991
20,20,2003,Lower Saxony,Rural regions,Never,0.17134,134,21618,0.15388,0.18933
21,21,2003,Bremen,Urban regions,Often,0.2453,37,21618,0.17988,0.30444
22,22,2003,Bremen,Urban regions,Sometimes,0.46309,61,21618,0.38102,0.54411
23,23,2003,Bremen,Urban regions,Seldom,0.29161,40,21618,0.22796,0.35057
24,24,2003,North Rhine-Westphalia,Urban regions,Very often,0.04158,192,21618,0.03656,0.04656
25,25,2003,North Rhine-Westphalia,Urban regions,Often,0.16895,821,21618,0.16084,0.17896
26,26,2003,North Rhine-Westphalia,Urban regions,Sometimes,0.35496,1675,21618,0.34331,0.36695
27,27,2003,North Rhine-Westphalia,Urban regions,Seldom,0.23853,1092,21618,0.2281,0.24942
28,28,2003,North Rhine-Westphalia,Urban regions,Never,0.19597,752,21618,0.18838,0.20457
29,29,2003,North Rhine-Westphalia,Rural regions,Sometimes,0.59054,48,21618,0.47453,0.69455
30,30,2003,North Rhine-Westphalia,Rural regions,Seldom,0.40946,34,21618,0.35056,0.48048
31,31,2003,Hesse,Urban regions,Very often,0.06125,61,21618,0.04974,0.07204
32,32,2003,Hesse,Urban regions,Often,0.17146,239,21618,0.15406,0.18956
33,33,2003,Hesse,Urban regions,Sometimes,0.3434,428,21618,0.32087,0.36433
