year,sex,pld0043,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2003,male,Very often,0.04292,435,22027,0.04285,0.04299
2003,male,Often,0.16736,1789,22027,0.16724,0.16749
2003,male,Sometimes,0.34409,3743,22027,0.34392,0.34425
2003,male,Seldom,0.27042,2958,22027,0.27027,0.27057
2003,male,Never,0.17521,1681,22027,0.17508,0.17534
2003,female,Very often,0.03789,470,22027,0.03782,0.03795
2003,female,Often,0.15421,1931,22027,0.15409,0.15433
2003,female,Sometimes,0.32631,3941,22027,0.32616,0.32647
2003,female,Seldom,0.26936,3064,22027,0.26921,0.26950
2003,female,Never,0.21224,2015,22027,0.21210,0.21237
2008,male,Very often,0.02818,242,19174,0.02812,0.02824
2008,male,Often,0.15217,1377,19174,0.15205,0.15229
2008,male,Sometimes,0.33749,3098,19174,0.33733,0.33765
2008,male,Seldom,0.30596,2899,19174,0.30580,0.30612
2008,male,Never,0.17620,1527,19174,0.17607,0.17633
2008,female,Very often,0.03421,366,19174,0.03415,0.03427
2008,female,Often,0.15193,1635,19174,0.15181,0.15205
2008,female,Sometimes,0.33482,3462,19174,0.33466,0.33497
2008,female,Seldom,0.27880,2765,19174,0.27865,0.27895
2008,female,Never,0.20025,1803,19174,0.20012,0.20038
2013,male,Very often,0.02187,270,25410,0.02182,0.02193
2013,male,Often,0.14458,1686,25410,0.14445,0.14471
2013,male,Sometimes,0.34008,3934,25410,0.33991,0.34025
2013,male,Seldom,0.33367,3840,25410,0.33350,0.33384
2013,male,Never,0.15980,1757,25410,0.15966,0.15993
2013,female,Very often,0.02630,403,25410,0.02624,0.02635
2013,female,Often,0.14878,2341,25410,0.14866,0.14891
2013,female,Sometimes,0.33117,4840,25410,0.33100,0.33133
2013,female,Seldom,0.31120,4211,25410,0.31103,0.31136
2013,female,Never,0.18256,2128,25410,0.18242,0.18269
2018,male,Very often,0.03432,407,25559,0.03426,0.03438
2018,male,Often,0.15641,1813,25559,0.15628,0.15653
2018,male,Sometimes,0.35009,4112,25559,0.34993,0.35025
2018,male,Seldom,0.31606,3724,25559,0.31590,0.31622
2018,male,Never,0.14312,1716,25559,0.14300,0.14324
2018,female,Very often,0.03829,571,25559,0.03823,0.03835
2018,female,Often,0.17975,2477,25559,0.17962,0.17987
2018,female,Sometimes,0.33601,4819,25559,0.33585,0.33617
2018,female,Seldom,0.28017,3809,25559,0.28002,0.28032
2018,female,Never,0.16578,2111,25559,0.16566,0.16590
