year,regtyp,sampreg,pld0043,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2003,Urban regions,West,Very often,0.03545,565,12910,0.03226,0.03864
2003,Urban regions,West,Often,0.13703,2256,12910,0.13109,0.14296
2003,Urban regions,West,Sometimes,0.28214,4584,12910,0.27437,0.28990
2003,Urban regions,West,Seldom,0.21271,3375,12910,0.20565,0.21977
2003,Urban regions,West,Never,0.15458,2130,12910,0.14834,0.16082
2003,Urban regions,East,Very often,0.03387,75,1751,0.02540,0.04235
2003,Urban regions,East,Often,0.15382,338,1751,0.13691,0.17072
2003,Urban regions,East,Sometimes,0.28855,594,1751,0.26732,0.30978
2003,Urban regions,East,Seldom,0.23879,494,1751,0.21881,0.25877
2003,Urban regions,East,Never,0.14994,250,1751,0.13321,0.16667
2003,Rural regions,West,Very often,0.02980,148,3800,0.02439,0.03521
2003,Rural regions,West,Often,0.12098,618,3800,0.11061,0.13135
2003,Rural regions,West,Sometimes,0.26626,1339,3800,0.25221,0.28032
2003,Rural regions,West,Seldom,0.23514,1090,3800,0.22166,0.24863
2003,Rural regions,West,Never,0.15878,605,3800,0.14716,0.17040
2003,Rural regions,East,Very often,0.02802,117,3566,0.02261,0.03344
2003,Rural regions,East,Often,0.11993,508,3566,0.10927,0.13060
2003,Rural regions,East,Sometimes,0.26247,1167,3566,0.24802,0.27691
2003,Rural regions,East,Seldom,0.25078,1063,3566,0.23655,0.26501
2003,Rural regions,East,Never,0.20010,711,3566,0.18697,0.21323
2008,Urban regions,West,Very often,0.02765,384,11001,0.02459,0.03071
2008,Urban regions,West,Often,0.13086,1838,11001,0.12456,0.13716
2008,Urban regions,West,Sometimes,0.28527,3837,11001,0.27683,0.29371
2008,Urban regions,West,Seldom,0.23041,3108,11001,0.22254,0.23828
2008,Urban regions,West,Never,0.15076,1834,11001,0.14407,0.15744
2008,Urban regions,East,Very often,0.02578,52,1608,0.01803,0.03353
2008,Urban regions,East,Often,0.14798,265,1608,0.13062,0.16534
2008,Urban regions,East,Sometimes,0.29153,571,1608,0.26931,0.31375
2008,Urban regions,East,Seldom,0.26727,488,1608,0.24563,0.28890
2008,Urban regions,East,Never,0.13870,232,1608,0.12180,0.15559
2008,Rural regions,West,Very often,0.02449,93,3435,0.01932,0.02966
2008,Rural regions,West,Often,0.11365,487,3435,0.10303,0.12427
2008,Rural regions,West,Sometimes,0.25536,1109,3435,0.24077,0.26994
2008,Rural regions,West,Seldom,0.25656,1087,3435,0.24195,0.27117
2008,Rural regions,West,Never,0.17364,659,3435,0.16097,0.18631
2008,Rural regions,East,Very often,0.02020,79,3130,0.01527,0.02513
2008,Rural regions,East,Often,0.11450,422,3130,0.10334,0.12565
2008,Rural regions,East,Sometimes,0.28626,1043,3130,0.27042,0.30210
2008,Rural regions,East,Seldom,0.27505,981,3130,0.25940,0.29069
2008,Rural regions,East,Never,0.17099,605,3130,0.15780,0.18418
2013,Urban regions,West,Very often,0.02004,420,14207,0.01774,0.02235
2013,Urban regions,West,Often,0.11680,2465,14207,0.11152,0.12208
2013,Urban regions,West,Sometimes,0.24802,5023,14207,0.24092,0.25512
2013,Urban regions,West,Seldom,0.23263,4329,14207,0.22568,0.23958
2013,Urban regions,West,Never,0.11740,1970,14207,0.11210,0.12269
2013,Urban regions,East,Very often,0.01514,55,1951,0.00972,0.02055
2013,Urban regions,East,Often,0.10721,297,1951,0.09347,0.12094
2013,Urban regions,East,Sometimes,0.28427,638,1951,0.26425,0.30429
2013,Urban regions,East,Seldom,0.27187,641,1951,0.25212,0.29162
2013,Urban regions,East,Never,0.15168,320,1951,0.13575,0.16760
2013,Rural regions,West,Very often,0.01711,132,5505,0.01368,0.02053
2013,Rural regions,West,Often,0.10970,858,5505,0.10145,0.11796
2013,Rural regions,West,Sometimes,0.26051,1930,5505,0.24891,0.27210
2013,Rural regions,West,Seldom,0.25346,1799,5505,0.24197,0.26496
2013,Rural regions,West,Never,0.13157,786,5505,0.12264,0.14050
2013,Rural regions,East,Very often,0.01276,66,3747,0.00917,0.01636
2013,Rural regions,East,Often,0.08991,407,3747,0.08075,0.09907
2013,Rural regions,East,Sometimes,0.27002,1183,3747,0.25580,0.28424
2013,Rural regions,East,Seldom,0.28276,1282,3747,0.26834,0.29718
2013,Rural regions,East,Never,0.18687,809,3747,0.17439,0.19935
2018,Urban regions,West,Very often,0.03571,665,14711,0.03271,0.03871
2018,Urban regions,West,Often,0.14656,2717,14711,0.14085,0.15228
2018,Urban regions,West,Sometimes,0.28709,5225,14711,0.27978,0.29440
2018,Urban regions,West,Seldom,0.23803,4099,14711,0.23114,0.24491
2018,Urban regions,West,Never,0.12256,2005,14711,0.11726,0.12786
2018,Urban regions,East,Very often,0.01748,60,1924,0.01163,0.02334
2018,Urban regions,East,Often,0.13912,318,1924,0.12365,0.15459
2018,Urban regions,East,Sometimes,0.27734,639,1924,0.25733,0.29735
2018,Urban regions,East,Seldom,0.26925,595,1924,0.24943,0.28908
2018,Urban regions,East,Never,0.14661,312,1924,0.13080,0.16242
2018,Rural regions,West,Very often,0.02321,155,5367,0.01918,0.02724
2018,Rural regions,West,Often,0.13851,831,5367,0.12926,0.14775
2018,Rural regions,West,Sometimes,0.29152,1922,5367,0.27936,0.30368
2018,Rural regions,West,Seldom,0.26407,1666,5367,0.25228,0.27587
2018,Rural regions,West,Never,0.12367,793,5367,0.11486,0.13247
2018,Rural regions,East,Very often,0.01956,98,3557,0.01500,0.02411
2018,Rural regions,East,Often,0.10438,424,3557,0.09433,0.11443
2018,Rural regions,East,Sometimes,0.27347,1145,3557,0.25882,0.28812
2018,Rural regions,East,Seldom,0.26725,1173,3557,0.25271,0.28180
2018,Rural regions,East,Never,0.16415,717,3557,0.15198,0.17633
