year,bula_h,regtyp,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Urban regions,Yes,0.48830,91,153,0.40883,0.56776
2005,Schleswig-Holstein,Urban regions,No,0.51170,62,153,0.43224,0.59117
2005,Schleswig-Holstein,Rural regions,Yes,0.52684,117,203,0.45798,0.59569
2005,Schleswig-Holstein,Rural regions,No,0.47316,86,203,0.40431,0.54202
2005,Hamburg,Urban regions,Yes,0.51410,107,174,0.43963,0.58858
2005,Hamburg,Urban regions,No,0.48590,67,174,0.41142,0.56037
2005,Lower Saxony,Urban regions,Yes,0.54874,283,459,0.50317,0.59432
2005,Lower Saxony,Urban regions,No,0.45126,176,459,0.40568,0.49683
2005,Lower Saxony,Rural regions,Yes,0.50154,279,475,0.45653,0.54655
2005,Lower Saxony,Rural regions,No,0.49846,196,475,0.45345,0.54347
2005,Bremen,Urban regions,Yes,0.43919,43,85,0.33306,0.54532
2005,Bremen,Urban regions,No,0.56081,42,85,0.45468,0.66694
2005,North Rhine-Westphalia,Urban regions,Yes,0.47484,1285,2294,0.45440,0.49528
2005,North Rhine-Westphalia,Urban regions,No,0.52516,1009,2294,0.50472,0.54560
2005,Hesse,Urban regions,Yes,0.52621,381,629,0.48715,0.56526
2005,Hesse,Urban regions,No,0.47379,248,629,0.43474,0.51285
2005,Hesse,Rural regions,Yes,0.58859,75,132,0.50432,0.67286
2005,Hesse,Rural regions,No,0.41141,57,132,0.32714,0.49568
2005,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.36182,226,517,0.32036,0.40328
2005,"Rhineland-Palatinate, Saarland",Urban regions,No,0.63818,291,517,0.59672,0.67964
2005,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.44113,76,156,0.36296,0.51930
2005,"Rhineland-Palatinate, Saarland",Rural regions,No,0.55887,80,156,0.48070,0.63704
2005,Baden-Wuerttemberg,Urban regions,Yes,0.47916,643,1203,0.45092,0.50740
2005,Baden-Wuerttemberg,Urban regions,No,0.52084,560,1203,0.49260,0.54908
2005,Baden-Wuerttemberg,Rural regions,Yes,0.50135,62,108,0.40661,0.59609
2005,Baden-Wuerttemberg,Rural regions,No,0.49865,46,108,0.40391,0.59339
2005,Bavaria,Urban regions,Yes,0.50185,482,792,0.46701,0.53670
2005,Bavaria,Urban regions,No,0.49815,310,792,0.46330,0.53299
2005,Bavaria,Rural regions,Yes,0.44630,395,750,0.41070,0.48190
2005,Bavaria,Rural regions,No,0.55370,355,750,0.51810,0.58930
2005,Berlin,Urban regions,Yes,0.47789,255,458,0.43209,0.52369
2005,Berlin,Urban regions,No,0.52211,203,458,0.47631,0.56791
2005,Brandenburg,Rural regions,Yes,0.40618,197,423,0.35932,0.45303
2005,Brandenburg,Rural regions,No,0.59382,226,423,0.54697,0.64068
2005,Mecklenburg-Western Pomerania,Rural regions,Yes,0.37049,106,233,0.30835,0.43264
2005,Mecklenburg-Western Pomerania,Rural regions,No,0.62951,127,233,0.56736,0.69165
2005,Saxony,Urban regions,Yes,0.44743,215,409,0.39919,0.49568
2005,Saxony,Urban regions,No,0.55257,194,409,0.50432,0.60081
2005,Saxony,Rural regions,Yes,0.40605,179,390,0.35725,0.45485
2005,Saxony,Rural regions,No,0.59395,211,390,0.54515,0.64275
2005,Saxony-Anhalt,Urban regions,Yes,0.37811,50,102,0.28354,0.47269
2005,Saxony-Anhalt,Urban regions,No,0.62189,52,102,0.52731,0.71646
2005,Saxony-Anhalt,Rural regions,Yes,0.34064,151,363,0.29182,0.38946
2005,Saxony-Anhalt,Rural regions,No,0.65936,212,363,0.61054,0.70818
2005,Thuringa,Urban regions,Yes,0.36003,62,137,0.27936,0.44071
2005,Thuringa,Urban regions,No,0.63997,75,137,0.55929,0.72064
2005,Thuringa,Rural regions,Yes,0.32917,132,322,0.27776,0.38058
2005,Thuringa,Rural regions,No,0.67083,190,322,0.61942,0.72224
2007,Schleswig-Holstein,Urban regions,Yes,0.61657,96,144,0.53687,0.69626
2007,Schleswig-Holstein,Urban regions,No,0.38343,48,144,0.30374,0.46313
2007,Schleswig-Holstein,Rural regions,Yes,0.53805,129,215,0.47126,0.60485
2007,Schleswig-Holstein,Rural regions,No,0.46195,86,215,0.39515,0.52874
2007,Hamburg,Urban regions,Yes,0.56346,127,187,0.49218,0.63473
2007,Hamburg,Urban regions,No,0.43654,60,187,0.36527,0.50782
2007,Lower Saxony,Urban regions,Yes,0.61196,325,486,0.56859,0.65533
