year,rentown,sampreg,hlf0178_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Owner,West,Yes,0.53777,2643,4244,0.52276,0.55277
2005,Owner,West,No,0.46223,1601,4244,0.44723,0.47724
2005,Owner,East,Yes,0.48936,604,1091,0.45968,0.51903
2005,Owner,East,No,0.51064,487,1091,0.48097,0.54032
2005,Tenant,West,Yes,0.43887,2074,4198,0.42385,0.45388
2005,Tenant,West,No,0.56113,2124,4198,0.54612,0.57615
2005,Tenant,East,Yes,0.34899,637,1567,0.32539,0.37260
2005,Tenant,East,No,0.65101,930,1567,0.62740,0.67461
2007,Owner,West,Yes,0.62900,3127,4443,0.61480,0.64321
2007,Owner,West,No,0.37100,1316,4443,0.35679,0.38520
2007,Owner,East,Yes,0.53681,703,1132,0.50775,0.56587
2007,Owner,East,No,0.46319,429,1132,0.43413,0.49225
2007,Tenant,West,Yes,0.51745,2411,4185,0.50231,0.53259
2007,Tenant,West,No,0.48255,1774,4185,0.46741,0.49769
2007,Tenant,East,Yes,0.39484,734,1606,0.37092,0.41875
2007,Tenant,East,No,0.60516,872,1606,0.58125,0.62908
2011,Owner,West,Yes,0.72084,3731,4761,0.70809,0.73358
2011,Owner,West,No,0.27916,1030,4761,0.26642,0.29191
2011,Owner,East,Yes,0.66423,829,1151,0.63694,0.69153
2011,Owner,East,No,0.33577,322,1151,0.30847,0.36306
2011,Tenant,West,Yes,0.65293,3161,4387,0.63884,0.66701
2011,Tenant,West,No,0.34707,1226,4387,0.33299,0.36116
2011,Tenant,East,Yes,0.54041,1047,1723,0.51687,0.56395
2011,Tenant,East,No,0.45959,676,1723,0.43605,0.48313
2013,Owner,West,Yes,0.77998,4205,4964,0.76846,0.79151
2013,Owner,West,No,0.22002,759,4964,0.20849,0.23154
2013,Owner,East,Yes,0.70819,842,1098,0.68129,0.73509
2013,Owner,East,No,0.29181,256,1098,0.26491,0.31871
2013,Tenant,West,Yes,0.71626,4850,6039,0.70489,0.72763
2013,Tenant,West,No,0.28374,1189,6039,0.27237,0.29511
2013,Tenant,East,Yes,0.59635,1178,1771,0.57349,0.61921
2013,Tenant,East,No,0.40365,593,1771,0.38079,0.42651
2014,Owner,West,Yes,0.78345,5043,5804,0.77285,0.79404
2014,Owner,West,No,0.21655,761,5804,0.20596,0.22715
2014,Owner,East,Yes,0.73307,990,1231,0.70834,0.75779
2014,Owner,East,No,0.26693,241,1231,0.24221,0.29166
2014,Tenant,West,Yes,0.73473,5491,6608,0.72408,0.74537
2014,Tenant,West,No,0.26527,1117,6608,0.25463,0.27592
2014,Tenant,East,Yes,0.61501,1526,2133,0.59436,0.63567
2014,Tenant,East,No,0.38499,607,2133,0.36433,0.40564
2015,Owner,West,Yes,0.80814,4901,5537,0.79777,0.81852
2015,Owner,West,No,0.19186,636,5537,0.18148,0.20223
2015,Owner,East,Yes,0.74256,963,1185,0.71766,0.76746
2015,Owner,East,No,0.25744,222,1185,0.23254,0.28234
2015,Tenant,West,Yes,0.76119,5896,6925,0.75115,0.77123
2015,Tenant,West,No,0.23881,1029,6925,0.22877,0.24885
2015,Tenant,East,Yes,0.65974,1543,2074,0.63934,0.68014
2015,Tenant,East,No,0.34026,531,2074,0.31986,0.36066
2016,Not included in this version of the questionnaire,West,Yes,0.69133,1309,1709,0.66942,0.71324
2016,Not included in this version of the questionnaire,West,No,0.30867,400,1709,0.28676,0.33058
2016,Not included in this version of the questionnaire,East,Yes,0.62833,267,389,0.58024,0.67641
2016,Not included in this version of the questionnaire,East,No,0.37167,122,389,0.32359,0.41976
2016,Owner,West,Yes,0.82685,4628,5141,0.81651,0.83720
2016,Owner,West,No,0.17315,513,5141,0.16280,0.18349
2016,Owner,East,Yes,0.78801,958,1155,0.76443,0.81159
2016,Owner,East,No,0.21199,197,1155,0.18841,0.23557
2016,Tenant,West,Yes,0.77934,5237,6073,0.76891,0.78977
2016,Tenant,West,No,0.22066,836,6073,0.21023,0.23109
2016,Tenant,East,Yes,0.69908,1448,1913,0.67852,0.71964
2016,Tenant,East,No,0.30092,465,1913,0.28036,0.32148
2017,Not included in this version of the questionnaire,West,Yes,0.73332,572,718,0.70095,0.76569
2017,Not included in this version of the questionnaire,West,No,0.26668,146,718,0.23431,0.29905
2017,Not included in this version of the questionnaire,East,Yes,0.78681,63,63,0.68486,0.88876
2017,Owner,West,Yes,0.85031,5293,5743,0.84108,0.85954
2017,Owner,West,No,0.14969,450,5743,0.14046,0.15892
2017,Owner,East,Yes,0.80949,1126,1311,0.78822,0.83075
2017,Owner,East,No,0.19051,185,1311,0.16925,0.21178
2017,Tenant,West,Yes,0.79872,7089,7999,0.78993,0.80750
2017,Tenant,West,No,0.20128,910,7999,0.19250,0.21007
2017,Tenant,East,Yes,0.72055,1913,2403,0.70260,0.73849
2017,Tenant,East,No,0.27945,490,2403,0.26151,0.29740
2018,Owner,West,Yes,0.85692,5103,5501,0.84766,0.86617
2018,Owner,West,No,0.14308,398,5501,0.13383,0.15234
2018,Owner,East,Yes,0.83720,1109,1253,0.81675,0.85765
2018,Owner,East,No,0.16280,144,1253,0.14235,0.18325
2018,Tenant,West,Yes,0.81013,7678,8587,0.80184,0.81843
2018,Tenant,West,No,0.18987,909,8587,0.18157,0.19816
2018,Tenant,East,Yes,0.74453,2067,2521,0.72750,0.76156
2018,Tenant,East,No,0.25547,454,2521,0.23844,0.27250
2019,Owner,West,Yes,0.87682,5977,6316,0.86872,0.88493
2019,Owner,West,No,0.12318,339,6316,0.11507,0.13128
2019,Owner,East,Yes,0.85636,1419,1548,0.83888,0.87384
2019,Owner,East,No,0.14364,129,1548,0.12616,0.16112
2019,Tenant,Does not apply,Yes,0.97142,47,47,0.92327,1.01957
2019,Tenant,West,Yes,0.84276,7444,8133,0.83484,0.85067
2019,Tenant,West,No,0.15724,689,8133,0.14933,0.16516
2019,Tenant,East,Yes,0.76512,1998,2356,0.74800,0.78225
2019,Tenant,East,No,0.23488,358,2356,0.21775,0.25200
2020,Tenant,West,Yes,0.92101,2441,2584,0.91060,0.93141
2020,Tenant,West,No,0.07899,143,2584,0.06859,0.08940
2020,Tenant,East,Yes,0.90277,366,366,0.87238,0.93317
2021,Owner,West,Yes,0.90913,3964,4143,0.90038,0.91789
2021,Owner,West,No,0.09087,179,4143,0.08211,0.09962
2021,Owner,East,Yes,0.92148,902,954,0.90440,0.93856
