"year","alter_gr","sampreg","mean","median","n","lower_confidence","upper_confidence"
"1990","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1990","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1990","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1990","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","","","","",""
"1990","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","7.05","8","425","6.82","7.28"
"1990","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1991","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1991","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.74","8","3583","7.69","7.79"
"1991","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1991","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","7.08","7","4669","7.03","7.13"
"1991","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","6.99","7","395","6.76","7.22"
"1991","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","6.47","7","999","6.33","6.61"
"1992","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1992","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.63","8","3555","7.57","7.69"
"1992","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1992","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.88","7","4612","6.82","6.94"
"1992","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","6.68","7","383","6.47","6.89"
"1992","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1993","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1993","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.5","8","3537","7.44","7.56"
"1993","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1993","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.67","7","4575","6.61","6.73"
"1993","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","6.39","7","385","6.16","6.62"
"1993","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1994","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1994","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.59","8","3487","7.54","7.64"
"1994","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1994","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.77","7","4443","6.71","6.83"
"1994","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","6.01","6","398","5.78","6.24"
"1994","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1995","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1995","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.61","8","3684","7.56","7.66"
"1995","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1995","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.82","7","4708","6.77","6.87"
"1995","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","5.89","6","408","5.67","6.11"
"1995","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1996","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1996","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.56","8","3557","7.51","7.61"
"1996","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1996","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.7","7","4631","6.64","6.76"
"1996","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","5.96","6","416","5.75","6.17"
"1996","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1997","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1997","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.39","8","3442","7.33","7.45"
"1997","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1997","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.53","7","4575","6.47","6.59"
"1997","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","5.66","6","433","5.47","5.85"
"1997","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1998","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1998","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.66","8","3648","7.61","7.71"
"1998","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1998","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6.93","7","5300","6.88","6.98"
"1998","66 und Ã¤lter","Ostdeutschland, neue Bundeslaender","5.76","6","473","5.56","5.96"
"1998","66 und Ã¤lter","Westdeutschland, alte Bundeslaender","","","","",""
"1999","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
"1999","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","7.79","8","3414","7.74","7.84"
"1999","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","","","","",""
