"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1990","16-34 J.","Laendlicher Raum","7.65","7.5","1094","7.54","7.76"
"1990","16-34 J.","Staedtischer Raum","7.44","7.5","549","7.28","7.6"
"1990","35-65 J.","Laendlicher Raum","7.51","7.5","1476","7.41","7.61"
"1990","35-65 J.","Staedtischer Raum","7.28","7.5","770","7.13","7.43"
"1990","66 und älter","Laendlicher Raum","7.29","7.5","287","7.02","7.56"
"1990","66 und älter","Staedtischer Raum","6.54","6.5","118","6.09","6.99"
"1991","16-34 J.","Laendlicher Raum","7.62","7.5","1759","7.54","7.7"
"1991","16-34 J.","Staedtischer Raum","7.74","7.5","3256","7.69","7.79"
"1991","35-65 J.","Laendlicher Raum","7.02","6.5","2400","6.95","7.09"
"1991","35-65 J.","Staedtischer Raum","7.12","7.5","4413","7.07","7.17"
"1991","66 und älter","Laendlicher Raum","6.69","6.5","504","6.5","6.88"
"1991","66 und älter","Staedtischer Raum","6.56","6.5","851","6.41","6.71"
"1992","16-34 J.","Laendlicher Raum","7.4","7.5","1661","7.32","7.48"
"1992","16-34 J.","Staedtischer Raum","7.66","7.5","3191","7.6","7.72"
"1992","35-65 J.","Laendlicher Raum","6.67","6.5","2328","6.59","6.75"
"1992","35-65 J.","Staedtischer Raum","6.92","6.5","4388","6.86","6.98"
"1992","66 und älter","Laendlicher Raum","6.38","6.5","490","6.19","6.57"
"1992","66 und älter","Staedtischer Raum","6.28","5.5","871","6.13","6.43"
"1993","16-34 J.","Laendlicher Raum","7.29","7.5","1644","7.2","7.38"
"1993","16-34 J.","Staedtischer Raum","7.52","7.5","3186","7.46","7.58"
"1993","35-65 J.","Laendlicher Raum","6.48","6.5","2311","6.4","6.56"
"1993","35-65 J.","Staedtischer Raum","6.67","6.5","4345","6.61","6.73"
"1993","66 und älter","Laendlicher Raum","6.31","5.5","515","6.12","6.5"
"1993","66 und älter","Staedtischer Raum","6.21","6.5","893","6.06","6.36"
"1994","16-34 J.","Laendlicher Raum","7.37","7.5","1577","7.29","7.45"
"1994","16-34 J.","Staedtischer Raum","7.55","7.5","3155","7.49","7.61"
"1994","35-65 J.","Laendlicher Raum","6.41","6.5","2284","6.33","6.49"
"1994","35-65 J.","Staedtischer Raum","6.75","6.5","4229","6.69","6.81"
"1994","66 und älter","Laendlicher Raum","6.2","5.5","504","6.01","6.39"
"1994","66 und älter","Staedtischer Raum","6.2","5.5","920","6.05","6.35"
"1995","16-34 J.","Laendlicher Raum","7.43","7.5","1637","7.35","7.51"
"1995","16-34 J.","Staedtischer Raum","7.6","7.5","3233","7.54","7.66"
"1995","35-65 J.","Laendlicher Raum","6.56","6.5","2392","6.48","6.64"
"1995","35-65 J.","Staedtischer Raum","6.81","6.5","4348","6.75","6.87"
"1995","66 und älter","Laendlicher Raum","6.24","5.5","500","6.04","6.44"
"1995","66 und älter","Staedtischer Raum","6.14","5.5","971","6","6.28"
"1996","16-34 J.","Laendlicher Raum","7.2","7.5","1588","7.11","7.29"
"1996","16-34 J.","Staedtischer Raum","7.58","7.5","3133","7.52","7.64"
"1996","35-65 J.","Laendlicher Raum","6.34","6.5","2411","6.26","6.42"
"1996","35-65 J.","Staedtischer Raum","6.68","6.5","4271","6.62","6.74"
"1996","66 und älter","Laendlicher Raum","6.07","5.5","509","5.88","6.26"
"1996","66 und älter","Staedtischer Raum","6.15","5.5","1001","6.01","6.29"
"1997","16-34 J.","Laendlicher Raum","7.12","7.5","1539","7.03","7.21"
"1997","16-34 J.","Staedtischer Raum","7.34","7.5","3032","7.28","7.4"
"1997","35-65 J.","Laendlicher Raum","6.19","5.5","2374","6.11","6.27"
"1997","35-65 J.","Staedtischer Raum","6.5","6.5","4204","6.44","6.56"
"1997","66 und älter","Laendlicher Raum","5.79","5.5","518","5.61","5.97"
"1997","66 und älter","Staedtischer Raum","6.03","5.5","1018","5.89","6.17"
"1998","16-34 J.","Laendlicher Raum","7.29","7.5","1629","7.2","7.38"
