"year","age_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1990","17-34","(Fach-)Abitur","7.36","7.5","100","7.07","7.65"
"1990","17-34","(noch) kein Abschluss","7.98","7.5","35","7.27","8.69"
"1990","17-34","AkademikerIn","7.48","7.5","317","7.27","7.69"
"1990","17-34","Hauptschule","7.2","7.5","182","6.88","7.52"
"1990","17-34","Realschule","7.68","7.5","1046","7.57","7.79"
"1990","35-65","(Fach-)Abitur","","","","",""
"1990","35-65","(noch) kein Abschluss","","","","",""
"1990","35-65","AkademikerIn","7.14","7.5","625","6.99","7.29"
"1990","35-65","Hauptschule","7.44","7.5","1144","7.32","7.56"
"1990","35-65","Realschule","7.72","7.5","479","7.55","7.89"
"1990","66 +","(Fach-)Abitur","","","","",""
"1990","66 +","(noch) kein Abschluss","","","","",""
"1990","66 +","AkademikerIn","6.91","7.5","45","6.12","7.7"
"1990","66 +","Hauptschule","7.05","6.5","325","6.79","7.31"
"1990","66 +","Realschule","7.81","7.5","33","7.15","8.47"
"1991","17-34","(Fach-)Abitur","7.78","7.5","595","7.67","7.89"
"1991","17-34","(noch) kein Abschluss","7.83","7.5","349","7.66","8"
"1991","17-34","AkademikerIn","7.78","7.5","469","7.64","7.92"
"1991","17-34","Hauptschule","7.58","7.5","1676","7.5","7.66"
"1991","17-34","Realschule","7.76","7.5","1817","7.69","7.83"
"1991","35-65","(Fach-)Abitur","7.23","7.5","232","6.98","7.48"
"1991","35-65","(noch) kein Abschluss","6.97","6.5","490","6.8","7.14"
"1991","35-65","AkademikerIn","7.23","7.5","1079","7.13","7.33"
"1991","35-65","Hauptschule","6.99","6.5","3896","6.93","7.05"
"1991","35-65","Realschule","7.29","7.5","1100","7.19","7.39"
"1991","66 +","(Fach-)Abitur","6.2","6.5","41","5.42","6.98"
"1991","66 +","(noch) kein Abschluss","","","","",""
"1991","66 +","AkademikerIn","7.08","7.5","106","6.7","7.46"
"1991","66 +","Hauptschule","6.62","6.5","1009","6.48","6.76"
"1991","66 +","Realschule","6.52","6.5","176","6.2","6.84"
"1992","17-34","(Fach-)Abitur","7.79","7.5","596","7.67","7.91"
"1992","17-34","(noch) kein Abschluss","7.7","7.5","353","7.51","7.89"
"1992","17-34","AkademikerIn","7.77","7.5","437","7.64","7.9"
"1992","17-34","Hauptschule","7.39","7.5","1614","7.3","7.48"
"1992","17-34","Realschule","7.59","7.5","1748","7.51","7.67"
"1992","35-65","(Fach-)Abitur","7.22","7.5","244","6.98","7.46"
