"year","bildungsniveau","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median","NA"
"1990","(Fach-)Abitur","7.46","7.5","128","5","7","9","9","10","7.2","7.72","2","10","7","8",""
"1990","(noch) kein Abschluss","8.37","7.5","45","6","8","10","10","10","7.78","8.96","0","10","8","9",""
"1990","AkademikerIn","7.23","7.5","987","5","6","9","9","10","7.11","7.35","0","10","8","8",""
"1990","Hauptschule","7.3","7.5","1651","5","6","9","10","10","7.2","7.4","0","10","8","8",""
"1990","Realschule","7.69","7.5","1558","5","7","9","10","10","7.6","7.78","0","10","8","8",""
"1991","(Fach-)Abitur","7.52","7.5","868","5","7","9","9","10","7.41","7.63","0","10","8","8",""
"1991","(noch) kein Abschluss","7.4","7.5","861","5","6","9","9","10","7.28","7.52","0","10","7","8",""
"1991","AkademikerIn","7.36","7.5","1654","5","7","8","9","10","7.28","7.44","0","10","8","8",""
"1991","Hauptschule","7.02","6.5","6581","5","6","8","9","10","6.97","7.07","0","10","8","8",""
"1991","Realschule","7.45","7.5","3093","5","7","9","9","10","7.39","7.51","0","10","8","8",""
"1992","(Fach-)Abitur","7.52","7.5","882","5","7","9","9","10","7.41","7.63","0","10","8","8",""
"1992","(noch) kein Abschluss","7.18","7.5","853","5","6","9","9","10","7.05","7.31","0","10","7","8",""
"1992","AkademikerIn","7.23","7.5","1628","5","6","8","9","10","7.14","7.32","0","10","7","8",""
"1992","Hauptschule","6.73","6.5","6392","4","5","8","9","10","6.68","6.78","0","10","7","7",""
"1992","Realschule","7.22","7.5","3059","5","6","8","9","10","7.16","7.28","0","10","8","8",""
"1993","(Fach-)Abitur","7.37","7.5","896","5","7","9","9","10","7.26","7.48","0","10","8","8",""
"1993","(noch) kein Abschluss","6.95","6.5","835","4","5","8","9","10","6.82","7.08","0","10","7","7",""
"1993","AkademikerIn","6.96","6.5","1618","5","6","8","9","10","6.87","7.05","0","10","7","7",""
"1993","Hauptschule","6.54","6.5","6239","4","5","8","9","10","6.49","6.59","0","10","7","7",""
"1993","Realschule","7.11","7.5","3052","5","6","8","9","10","7.04","7.18","0","10","8","8",""
"1994","(Fach-)Abitur","7.46","7.5","908","5","7","8","9","10","7.35","7.57","0","10","8","8",""
"1994","(noch) kein Abschluss","7.08","6.5","835","4","6","9","9","10","6.95","7.21","0","10","7","8",""
"1994","AkademikerIn","7.02","6.5","1632","5","6","8","9","10","6.93","7.11","0","10","7","8",""
"1994","Hauptschule","6.56","6.5","6002","4","5","8","9","10","6.51","6.61","0","10","7","7",""
"1994","Realschule","7.04","6.5","2999","5","6","8","9","10","6.97","7.11","0","10","7","8",""
"1995","(Fach-)Abitur","7.54","7.5","1051","5","7","9","9","10","7.44","7.64","0","10","8","8",""
"1995","(noch) kein Abschluss","7.17","7.5","871","5","6","8","9","10","7.05","7.29","0","10","7","8",""
"1995","AkademikerIn","7.13","7.5","1730","5","6","8","9","10","7.05","7.21","0","10","7","8",""
"1995","Hauptschule","6.55","6.5","6013","4","5","8","9","10","6.5","6.6","0","10","7","7",""
