year,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,West,Yes,0.12017,592,4793,0.11096,0.12937
1996,West,No,0.87983,4201,4793,0.87063,0.88904
1996,East,Yes,0.17807,353,1838,0.16058,0.19557
1996,East,No,0.82193,1485,1838,0.80443,0.83942
2001,West,Yes,0.13518,1296,8837,0.12805,0.14231
2001,West,No,0.86482,7541,8837,0.85769,0.87195
2001,East,Yes,0.21308,664,2843,0.19803,0.22814
2001,East,No,0.78692,2179,2843,0.77186,0.80197
2006,West,Yes,0.14028,1440,9337,0.13324,0.14733
2006,West,No,0.85972,7897,9337,0.85267,0.86676
2006,East,Yes,0.19610,654,2928,0.18172,0.21049
2006,East,No,0.80390,2274,2928,0.78951,0.81828
2011,West,Yes,0.14360,1489,9192,0.13643,0.15077
2011,West,No,0.85640,7703,9192,0.84923,0.86357
2011,East,Yes,0.19126,619,2892,0.17693,0.20560
2011,East,No,0.80874,2273,2892,0.79440,0.82307
2016,West,Yes,0.14382,1877,11228,0.13733,0.15031
2016,West,No,0.85618,9351,11228,0.84969,0.86267
2016,East,Yes,0.21238,722,3074,0.19792,0.22685
2016,East,No,0.78762,2352,3074,0.77315,0.80208
2021,West,Yes,0.15698,1542,8665,0.14932,0.16464
2021,West,No,0.84302,7123,8665,0.83536,0.85068
2021,East,Yes,0.20161,558,2391,0.18552,0.21769
2021,East,No,0.79839,1833,2391,0.78231,0.81448
