year,rentown,sampreg,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,West,Yes,0.13372,281,1811,0.11804,0.14940
1996,Owner,West,No,0.86628,1530,1811,0.85060,0.88196
1996,Owner,East,Yes,0.38869,231,584,0.34912,0.42826
1996,Owner,East,No,0.61131,353,584,0.57174,0.65088
1996,Tenant,West,Yes,0.11000,311,2982,0.09877,0.12123
1996,Tenant,West,No,0.89000,2671,2982,0.87877,0.90123
1996,Tenant,East,Yes,0.09657,122,1254,0.08022,0.11293
1996,Tenant,East,No,0.90343,1132,1254,0.88707,0.91978
2001,Owner,West,Yes,0.16374,744,4164,0.15250,0.17498
2001,Owner,West,No,0.83626,3420,4164,0.82502,0.84750
2001,Owner,East,Yes,0.37048,423,1103,0.34196,0.39899
2001,Owner,East,No,0.62952,680,1103,0.60101,0.65804
2001,Tenant,West,Yes,0.11257,552,4673,0.10350,0.12163
2001,Tenant,West,No,0.88743,4121,4673,0.87837,0.89650
2001,Tenant,East,Yes,0.13474,241,1740,0.11870,0.15079
2001,Tenant,East,No,0.86526,1499,1740,0.84921,0.88130
2006,Owner,West,Yes,0.15729,817,4794,0.14698,0.16759
2006,Owner,West,No,0.84271,3977,4794,0.83241,0.85302
2006,Owner,East,Yes,0.31183,387,1209,0.28570,0.33795
2006,Owner,East,No,0.68817,822,1209,0.66205,0.71430
2006,Tenant,West,Yes,0.12718,623,4542,0.11749,0.13687
2006,Tenant,West,No,0.87282,3919,4542,0.86313,0.88251
2006,Tenant,East,Yes,0.14062,267,1718,0.12418,0.15707
2006,Tenant,East,No,0.85938,1451,1718,0.84293,0.87582
2011,Owner,West,Yes,0.15912,833,4782,0.14875,0.16949
2011,Owner,West,No,0.84088,3949,4782,0.83051,0.85125
2011,Owner,East,Yes,0.30418,364,1162,0.27771,0.33064
2011,Owner,East,No,0.69582,798,1162,0.66936,0.72229
2011,Tenant,West,Yes,0.12877,656,4410,0.11888,0.13866
2011,Tenant,West,No,0.87123,3754,4410,0.86134,0.88112
2011,Tenant,East,Yes,0.12926,255,1730,0.11344,0.14507
2011,Tenant,East,No,0.87074,1475,1730,0.85493,0.88656
2016,Owner,West,Yes,0.15369,953,5146,0.14383,0.16354
2016,Owner,West,No,0.84631,4193,5146,0.83646,0.85617
2016,Owner,East,Yes,0.32209,376,1156,0.29515,0.34904
2016,Owner,East,No,0.67791,780,1156,0.65096,0.70485
2016,Tenant,West,Yes,0.13460,924,6081,0.12602,0.14318
2016,Tenant,West,No,0.86540,5157,6081,0.85682,0.87398
2016,Tenant,East,Yes,0.14950,346,1918,0.13353,0.16546
2016,Tenant,East,No,0.85050,1572,1918,0.83454,0.86647
2021,Owner,West,Yes,0.16703,792,4127,0.15565,0.17841
2021,Owner,West,No,0.83297,3335,4127,0.82159,0.84435
2021,Owner,East,Yes,0.28491,310,953,0.25624,0.31359
2021,Owner,East,No,0.71509,643,953,0.68641,0.74376
2021,Tenant,West,Yes,0.14759,750,4534,0.13726,0.15791
2021,Tenant,West,No,0.85241,3784,4534,0.84209,0.86274
2021,Tenant,East,Yes,0.15034,248,1437,0.13185,0.16883
2021,Tenant,East,No,0.84966,1189,1437,0.83117,0.86815
