year,hhtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Single-person household,Yes,0.08244,136,1433,0.06819,0.09668
1996,Single-person household,No,0.91756,1297,1433,0.90332,0.93181
1996,Couple without children,Yes,0.14180,259,1841,0.12586,0.15774
1996,Couple without children,No,0.85820,1582,1841,0.84226,0.87414
1996,Single parent,Yes,0.18164,67,387,0.14318,0.22010
1996,Single parent,No,0.81836,320,387,0.77990,0.85682
1996,Couple with children,Yes,0.15760,424,2686,0.14382,0.17138
1996,Couple with children,No,0.84240,2262,2686,0.82862,0.85618
1996,Multi-generational household,No,0.80006,100,100,0.72127,0.87884
1996,Other Combinations,Yes,0.27072,35,160,0.20166,0.33979
1996,Other Combinations,No,0.72928,125,160,0.66021,0.79834
2001,Single-person household,Yes,0.10901,342,2926,0.09772,0.12031
2001,Single-person household,No,0.89099,2584,2926,0.87969,0.90228
2001,Couple without children,Yes,0.14402,550,3589,0.13253,0.15551
2001,Couple without children,No,0.85598,3039,3589,0.84449,0.86747
2001,Single parent,Yes,0.17241,133,706,0.14452,0.20029
2001,Single parent,No,0.82759,573,706,0.79971,0.85548
2001,Couple with children,Yes,0.19858,862,4175,0.18647,0.21068
2001,Couple with children,No,0.80142,3313,4175,0.78932,0.81353
2001,Multi-generational household,Yes,0.27375,41,159,0.20422,0.34328
2001,Multi-generational household,No,0.72625,118,159,0.65672,0.79578
2001,Other Combinations,Yes,0.26641,32,125,0.18860,0.34423
2001,Other Combinations,No,0.73359,93,125,0.65577,0.81140
2006,Single-person household,Yes,0.09969,349,3288,0.08945,0.10993
2006,Single-person household,No,0.90031,2939,3288,0.89007,0.91055
2006,Couple without children,Yes,0.14864,654,4158,0.13783,0.15946
2006,Couple without children,No,0.85136,3504,4158,0.84054,0.86217
2006,Single parent,Yes,0.21230,171,772,0.18343,0.24117
2006,Single parent,No,0.78770,601,772,0.75883,0.81657
2006,Couple with children,Yes,0.21576,870,3837,0.20274,0.22878
2006,Couple with children,No,0.78424,2967,3837,0.77122,0.79726
2006,Multi-generational household,Yes,0.28872,33,105,0.20162,0.37581
2006,Multi-generational household,No,0.71128,72,105,0.62419,0.79838
2006,Other Combinations,No,0.85363,88,88,0.77936,0.92791
2011,Single-person household,Yes,0.10013,375,3510,0.09020,0.11007
2011,Single-person household,No,0.89987,3135,3510,0.88993,0.90980
2011,Couple without children,Yes,0.15660,731,4371,0.14582,0.16737
2011,Couple without children,No,0.84340,3640,4371,0.83263,0.85418
2011,Single parent,Yes,0.23693,179,784,0.20715,0.26672
2011,Single parent,No,0.76307,605,784,0.73328,0.79285
2011,Couple with children,Yes,0.24426,781,3240,0.22947,0.25906
2011,Couple with children,No,0.75574,2459,3240,0.74094,0.77053
2011,Multi-generational household,No,0.78177,60,60,0.67638,0.88717
2011,Other Combinations,No,0.80776,77,77,0.71917,0.89636
2016,Single-person household,Yes,0.10535,376,3388,0.09501,0.11569
2016,Single-person household,No,0.89465,3012,3388,0.88431,0.90499
2016,Couple without children,Yes,0.15790,668,4097,0.14674,0.16907
2016,Couple without children,No,0.84210,3429,4097,0.83093,0.85326
2016,Single parent,Yes,0.23660,385,1524,0.21525,0.25794
2016,Single parent,No,0.76340,1139,1524,0.74206,0.78475
2016,Couple with children,Yes,0.22320,1116,4990,0.21165,0.23476
2016,Couple with children,No,0.77680,3874,4990,0.76524,0.78835
2016,Multi-generational household,No,0.67568,78,78,0.57112,0.78024
2016,Other Combinations,No,0.81748,171,171,0.75942,0.87555
2021,No answer / don't know,No,0.82509,48,48,0.71649,0.93370
2021,Single-person household,Yes,0.11527,369,3188,0.10419,0.12636
2021,Single-person household,No,0.88473,2819,3188,0.87364,0.89581
2021,Couple without children,Yes,0.17110,590,3414,0.15846,0.18373
2021,Couple without children,No,0.82890,2824,3414,0.81627,0.84154
2021,Single parent,Yes,0.28076,264,896,0.25132,0.31020
2021,Single parent,No,0.71924,632,896,0.68980,0.74868
2021,Couple with children,Yes,0.22368,785,3162,0.20915,0.23821
2021,Couple with children,No,0.77632,2377,3162,0.76179,0.79085
2021,Multi-generational household,No,0.77762,48,48,0.65873,0.89651
2021,Other Combinations,Yes,0.18744,55,263,0.14018,0.23469
2021,Other Combinations,No,0.81256,208,263,0.76531,0.85982
