year,quintil_oecd_hh,regtyp,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,1st Quintile,Urban regions,Yes,0.09829,89,908,0.07892,0.11767
1996,1st Quintile,Urban regions,No,0.90171,819,908,0.88233,0.92108
1996,1st Quintile,Rural regions,Yes,0.15480,81,503,0.12316,0.18644
1996,1st Quintile,Rural regions,No,0.84520,422,503,0.81356,0.87684
1996,2nd Quintile,Urban regions,Yes,0.10628,100,890,0.08602,0.12654
1996,2nd Quintile,Urban regions,No,0.89372,790,890,0.87346,0.91398
1996,2nd Quintile,Rural regions,Yes,0.17555,102,511,0.14253,0.20857
1996,2nd Quintile,Rural regions,No,0.82445,409,511,0.79143,0.85747
1996,3rd Quintile,Urban regions,Yes,0.11139,93,850,0.09023,0.13256
1996,3rd Quintile,Urban regions,No,0.88861,757,850,0.86744,0.90977
1996,3rd Quintile,Rural regions,Yes,0.17173,114,544,0.14001,0.20346
1996,3rd Quintile,Rural regions,No,0.82827,430,544,0.79654,0.85999
1996,4th Quintile,Urban regions,Yes,0.14267,126,906,0.11988,0.16546
1996,4th Quintile,Urban regions,No,0.85733,780,906,0.83454,0.88012
1996,4th Quintile,Rural regions,Yes,0.19704,92,392,0.15762,0.23647
1996,4th Quintile,Rural regions,No,0.80296,300,392,0.76353,0.84238
1996,5th Quintile,Urban regions,Yes,0.10993,100,850,0.08889,0.13097
1996,5th Quintile,Urban regions,No,0.89007,750,850,0.86903,0.91111
1996,5th Quintile,Rural regions,Yes,0.15074,48,272,0.10814,0.19334
1996,5th Quintile,Rural regions,No,0.84926,224,272,0.80666,0.89186
2001,1st Quintile,Urban regions,Yes,0.12026,183,1434,0.10342,0.13710
2001,1st Quintile,Urban regions,No,0.87974,1251,1434,0.86290,0.89658
2001,1st Quintile,Rural regions,Yes,0.21571,173,797,0.18714,0.24429
2001,1st Quintile,Rural regions,No,0.78429,624,797,0.75571,0.81286
2001,2nd Quintile,Urban regions,Yes,0.12923,212,1494,0.11221,0.14625
2001,2nd Quintile,Urban regions,No,0.87077,1282,1494,0.85375,0.88779
2001,2nd Quintile,Rural regions,Yes,0.18790,223,966,0.16325,0.21254
2001,2nd Quintile,Rural regions,No,0.81210,743,966,0.78746,0.83675
2001,3rd Quintile,Urban regions,Yes,0.12268,210,1555,0.10637,0.13899
2001,3rd Quintile,Urban regions,No,0.87732,1345,1555,0.86101,0.89363
2001,3rd Quintile,Rural regions,Yes,0.22312,218,881,0.19561,0.25063
2001,3rd Quintile,Rural regions,No,0.77688,663,881,0.74937,0.80439
2001,4th Quintile,Urban regions,Yes,0.12795,217,1615,0.11165,0.14424
2001,4th Quintile,Urban regions,No,0.87205,1398,1615,0.85576,0.88835
2001,4th Quintile,Rural regions,Yes,0.19662,178,754,0.16823,0.22501
2001,4th Quintile,Rural regions,No,0.80338,576,754,0.77499,0.83177
2001,5th Quintile,Urban regions,Yes,0.12585,225,1682,0.10999,0.14171
2001,5th Quintile,Urban regions,No,0.87415,1457,1682,0.85829,0.89001
2001,5th Quintile,Rural regions,Yes,0.21142,121,499,0.17556,0.24728
2001,5th Quintile,Rural regions,No,0.78858,378,499,0.75272,0.82444
2006,1st Quintile,Urban regions,Yes,0.12409,179,1331,0.10637,0.14181
2006,1st Quintile,Urban regions,No,0.87591,1152,1331,0.85819,0.89363
2006,1st Quintile,Rural regions,Yes,0.20752,163,765,0.17876,0.23627
2006,1st Quintile,Rural regions,No,0.79248,602,765,0.76373,0.82124
2006,2nd Quintile,Urban regions,Yes,0.12410,188,1331,0.10638,0.14182
2006,2nd Quintile,Urban regions,No,0.87590,1143,1331,0.85818,0.89362
2006,2nd Quintile,Rural regions,Yes,0.20932,215,891,0.18259,0.23604
2006,2nd Quintile,Rural regions,No,0.79068,676,891,0.76396,0.81741
2006,3rd Quintile,Urban regions,Yes,0.13329,217,1498,0.11607,0.15051
2006,3rd Quintile,Urban regions,No,0.86671,1281,1498,0.84949,0.88393
2006,3rd Quintile,Rural regions,Yes,0.20707,207,889,0.18042,0.23372
2006,3rd Quintile,Rural regions,No,0.79293,682,889,0.76628,0.81958
2006,4th Quintile,Urban regions,Yes,0.12626,237,1686,0.11040,0.14212
2006,4th Quintile,Urban regions,No,0.87374,1449,1686,0.85788,0.88960
2006,4th Quintile,Rural regions,Yes,0.19444,182,807,0.16711,0.22176
2006,4th Quintile,Rural regions,No,0.80556,625,807,0.77824,0.83289
2006,5th Quintile,Urban regions,Yes,0.11023,320,2318,0.09748,0.12299
2006,5th Quintile,Urban regions,No,0.88977,1998,2318,0.87701,0.90252
2006,5th Quintile,Rural regions,Yes,0.24764,185,743,0.21658,0.27869
2006,5th Quintile,Rural regions,No,0.75236,558,743,0.72131,0.78342
2011,1st Quintile,Urban regions,Yes,0.10604,188,1387,0.08983,0.12225
2011,1st Quintile,Urban regions,No,0.89396,1199,1387,0.87775,0.91017
2011,1st Quintile,Rural regions,Yes,0.16887,166,868,0.14393,0.19381
2011,1st Quintile,Rural regions,No,0.83113,702,868,0.80619,0.85607
2011,2nd Quintile,Urban regions,Yes,0.12944,187,1332,0.11140,0.14747
2011,2nd Quintile,Urban regions,No,0.87056,1145,1332,0.85253,0.88860
2011,2nd Quintile,Rural regions,Yes,0.17735,191,907,0.15248,0.20222
2011,2nd Quintile,Rural regions,No,0.82265,716,907,0.79778,0.84752
2011,3rd Quintile,Urban regions,Yes,0.13144,237,1450,0.11404,0.14884
2011,3rd Quintile,Urban regions,No,0.86856,1213,1450,0.85116,0.88596
2011,3rd Quintile,Rural regions,Yes,0.22789,221,925,0.20085,0.25494
2011,3rd Quintile,Rural regions,No,0.77211,704,925,0.74506,0.79915
2011,4th Quintile,Urban regions,Yes,0.14439,240,1637,0.12736,0.16142
2011,4th Quintile,Urban regions,No,0.85561,1397,1637,0.83858,0.87264
2011,4th Quintile,Rural regions,Yes,0.18624,172,799,0.15923,0.21325
2011,4th Quintile,Rural regions,No,0.81376,627,799,0.78675,0.84077
2011,5th Quintile,Urban regions,Yes,0.14255,335,2064,0.12746,0.15764
