"year","hhtyp","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2010","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","65.05","59.96","2118","63.75","66.35"
"2010","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","62.79","58.25","4200","61.84","63.74"
"2010","1-Pers.- Haushalt","Laendlicher Raum","45.35","39.58","756","43.03","47.67"
"2010","1-Pers.- Haushalt","Staedtischer Raum","42.38","37.75","1712","41.32","43.44"
"2010","Alleinerziehende","Laendlicher Raum","65.36","59.58","1603","63.69","67.03"
"2010","Alleinerziehende","Staedtischer Raum","65.55","59.5","2987","64.48","66.62"
"2010","Paar mit Kind(ern)","Laendlicher Raum","82.59","74.58","7520","81.72","83.46"
"2010","Paar mit Kind(ern)","Staedtischer Raum","82.37","79.79","13820","81.75","82.99"
"2010","Sonstige","Laendlicher Raum","89.79","82.17","255","85.66","93.92"
"2010","Sonstige","Staedtischer Raum","61.2","49","316","53.47","68.93"
"2011","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","67.36","60.46","3038","66.32","68.4"
"2011","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","65.92","59.79","5320","64.96","66.88"
"2011","1-Pers.- Haushalt","Laendlicher Raum","46.25","39.96","1044","44.69","47.81"
"2011","1-Pers.- Haushalt","Staedtischer Raum","45.17","39.71","2271","44.22","46.12"
"2011","Alleinerziehende","Laendlicher Raum","66.73","59.5","1993","65.39","68.07"
"2011","Alleinerziehende","Staedtischer Raum","67.1","62.25","3716","66.14","68.06"
"2011","Paar mit Kind(ern)","Laendlicher Raum","87.13","82.29","8641","86.31","87.95"
"2011","Paar mit Kind(ern)","Staedtischer Raum","86.04","79.62","15344","85.37","86.71"
"2011","Sonstige","Laendlicher Raum","91.72","84.17","317","87.83","95.61"
"2011","Sonstige","Staedtischer Raum","80.58","81.67","425","75.15","86.01"
"2012","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","70.62","65.96","3168","69.59","71.65"
"2012","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","69.33","63.88","5272","68.37","70.29"
"2012","1-Pers.- Haushalt","Laendlicher Raum","47.73","39.83","1132","46.09","49.37"
"2012","1-Pers.- Haushalt","Staedtischer Raum","46.06","39.58","2349","44.91","47.21"
"2012","Alleinerziehende","Laendlicher Raum","69.05","65.5","1961","67.69","70.41"
"2012","Alleinerziehende","Staedtischer Raum","71.47","64.5","3481","70.4","72.54"
"2012","Paar mit Kind(ern)","Laendlicher Raum","89.33","83.29","8063","88.5","90.16"
"2012","Paar mit Kind(ern)","Staedtischer Raum","87.69","83.29","14391","87.06","88.32"
"2012","Sonstige","Laendlicher Raum","106.31","98.33","334","101.46","111.16"
"2012","Sonstige","Staedtischer Raum","92.39","83.29","384","86","98.78"
"2013","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","75","66.54","3178","73.81","76.19"
