"year","hhtyp","sampreg","mean","median","n","lower_confidence","upper_confidence"
"2016","Paar mit Kind(ern)","West","93.58","89.75","16524","92.93","94.23"
"2016","Sonstige","Ost","83.38","84.75","171","78.7","88.06"
"2016","Sonstige","West","96.13","92.5","916","93.05","99.21"
"2017","(Ehe-)Paar ohne Kind(er)","Ost","68.98","63.67","2244","67.68","70.28"
"2017","(Ehe-)Paar ohne Kind(er)","West","76.46","70.75","6808","75.56","77.36"
"2017","1-Pers.-HH","Ost","42.08","37.75","966","40.54","43.62"
"2017","1-Pers.-HH","West","51.45","47.67","2830","50.27","52.63"
"2017","Alleinerziehende","Ost","68.94","62.25","889","66.99","70.89"
"2017","Alleinerziehende","West","79.68","71.83","3070","78.22","81.14"
"2017","Paar mit Kind(ern)","Ost","81.23","74.67","3502","79.82","82.64"
"2017","Paar mit Kind(ern)","West","93.92","85.33","17207","93.28","94.56"
"2017","Sonstige","Ost","88.71","83.17","187","82.95","94.47"
"2017","Sonstige","West","98.94","99","1059","95.51","102.37"
"2018","(Ehe-)Paar ohne Kind(er)","Ost","69.53","61.46","2228","68.18","70.88"
"2018","(Ehe-)Paar ohne Kind(er)","West","75.55","70.62","6692","74.69","76.41"
"2018","1-Pers.-HH","Ost","44.06","39.67","1017","42.11","46.01"
"2018","1-Pers.-HH","West","50.46","45.46","2958","49.46","51.46"
"2018","Alleinerziehende","Ost","63.7","58.67","878","61.86","65.54"
"2018","Alleinerziehende","West","80.54","74.5","3000","78.92","82.16"
"2018","Paar mit Kind(ern)","Ost","84.08","79.79","3407","82.64","85.52"
"2018","Paar mit Kind(ern)","West","92.92","89.92","16194","92.3","93.54"
"2018","Sonstige","Ost","91.62","88.75","172","85.72","97.52"
"2018","Sonstige","West","96.52","89","1028","93.49","99.55"
"2019","(Ehe-)Paar ohne Kind(er)","Ost","70.08","66.33","2449","68.54","71.62"
"2019","(Ehe-)Paar ohne Kind(er)","West","76.03","69.92","7396","75.01","77.05"
"2019","1-Pers.-HH","Ost","44.86","39.75","1004","43.1","46.62"
"2019","1-Pers.-HH","West","50.47","47.67","3083","49.46","51.48"
"2019","Alleinerziehende","Ost","62.74","59.5","855","60.84","64.64"
"2019","Alleinerziehende","West","81.98","74.5","2785","80.42","83.54"
"2019","Paar mit Kind(ern)","Ost","83.19","77.5","3518","81.59","84.79"
"2019","Paar mit Kind(ern)","West","92.69","88.96","16038","91.98","93.4"
"2019","Sonstige","Ost","96.82","97.92","175","89.94","103.7"
"2019","Sonstige","West","91.76","82.17","874","87.96","95.56"
"2020","(Ehe-)Paar ohne Kind(er)","Ost","68.8","64.83","2335","67.14","70.46"
"2020","(Ehe-)Paar ohne Kind(er)","West","77.31","70.62","7784","76.35","78.27"
"2020","1-Pers.-HH","Ost","44.76","39.67","1149","43.07","46.45"
"2020","1-Pers.-HH","West","53.61","48.96","4219","52.66","54.56"
"2020","Alleinerziehende","Ost","67.53","64.58","931","65.18","69.88"
"2020","Alleinerziehende","West","83.14","79.58","3313","81.7","84.58"
"2020","Paar mit Kind(ern)","Ost","82.08","74.5","4307","80.75","83.41"
"2020","Paar mit Kind(ern)","West","95.33","89.79","22491","94.66","96"
"2020","Sonstige","Ost","97.69","92.25","256","91.74","103.64"
"2020","Sonstige","West","92.7","90.83","2031","90.13","95.27"
