"year","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2010","Laendlicher Raum","69.73","62.25","12252","69.06","70.4"
"2010","Staedtischer Raum","66.82","59.92","23035","66.34","67.3"
"2011","Laendlicher Raum","72.52","66.58","15033","71.92","73.12"
"2011","Staedtischer Raum","70.31","64.96","27076","69.83","70.79"
"2012","Laendlicher Raum","74.81","69.88","14658","74.2","75.42"
"2012","Staedtischer Raum","72.69","66.62","25877","72.21","73.17"
"2013","Laendlicher Raum","79.12","70.79","15364","78.47","79.77"
"2013","Staedtischer Raum","74.82","69.96","30469","74.37","75.27"
"2014","Laendlicher Raum","78.96","73.17","13942","78.27","79.65"
"2014","Staedtischer Raum","77.41","70.79","26101","76.89","77.93"
"2015","Laendlicher Raum","68.08","59.5","6404","67.06","69.1"
"2015","Staedtischer Raum","67.74","59.5","15441","67.08","68.4"
"2016","Laendlicher Raum","78.41","71.58","12533","77.63","79.19"
"2016","Staedtischer Raum","75.95","69.88","23541","75.42","76.48"
"2017","Laendlicher Raum","78.68","74.25","13547","77.94","79.42"
"2017","Staedtischer Raum","76.57","69.58","25215","76.04","77.1"
"2018","Laendlicher Raum","77.68","74.38","12969","76.95","78.41"
"2018","Staedtischer Raum","76.1","69.92","24605","75.59","76.61"
"2019","Laendlicher Raum","77.4","72.96","12978","76.59","78.21"
"2019","Staedtischer Raum","76.26","69.92","24536","75.68","76.84"
"2020","Laendlicher Raum","79.77","74.79","15285","78.99","80.55"
"2020","Staedtischer Raum","78.25","70.71","33531","77.72","78.78"
