"year","regtyp","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2010","Laendlicher Raum","Ostdeutschland","63.8","58.17","4892","62.8","64.8"
"2010","Laendlicher Raum","Westdeutschland","73.04","66.58","7360","72.16","73.92"
"2010","Staedtischer Raum","Ostdeutschland","50.75","43.67","2661","49.53","51.97"
"2010","Staedtischer Raum","Westdeutschland","68.45","62.33","20374","67.94","68.96"
"2011","Laendlicher Raum","Ostdeutschland","65.78","59.92","5643","64.86","66.7"
"2011","Laendlicher Raum","Westdeutschland","76.06","69.58","9390","75.28","76.84"
"2011","Staedtischer Raum","Ostdeutschland","52.57","47.71","3134","51.48","53.66"
"2011","Staedtischer Raum","Westdeutschland","72.06","66.58","23942","71.54","72.58"
"2012","Laendlicher Raum","Ostdeutschland","67.45","59.5","5520","66.51","68.39"
"2012","Laendlicher Raum","Westdeutschland","78.66","74.58","9138","77.88","79.44"
"2012","Staedtischer Raum","Ostdeutschland","55.77","49.88","3003","54.53","57.01"
"2012","Staedtischer Raum","Westdeutschland","74.32","69.83","22874","73.81","74.83"
"2013","Laendlicher Raum","Ostdeutschland","70.86","65.21","5458","69.88","71.84"
"2013","Laendlicher Raum","Westdeutschland","83.46","79.08","9906","82.62","84.3"
"2013","Staedtischer Raum","Ostdeutschland","57.31","49.5","3079","56.07","58.55"
"2013","Staedtischer Raum","Westdeutschland","76.47","69.96","27390","76","76.94"
"2014","Laendlicher Raum","Ostdeutschland","72.27","66.46","5109","71.16","73.38"
"2014","Laendlicher Raum","Westdeutschland","82.56","75.96","8833","81.7","83.42"
"2014","Staedtischer Raum","Ostdeutschland","60.03","49.5","2780","58.75","61.31"
"2014","Staedtischer Raum","Westdeutschland","79.12","74.92","23321","78.57","79.67"
"2015","Laendlicher Raum","Ostdeutschland","60.33","52.5","2478","58.79","61.87"
"2015","Laendlicher Raum","Westdeutschland","73.13","64.5","3926","71.81","74.45"
"2015","Staedtischer Raum","Ostdeutschland","52.61","46.5","2072","51.23","53.99"
"2015","Staedtischer Raum","Westdeutschland","69.91","60.5","13369","69.19","70.63"
"2016","Laendlicher Raum","Ostdeutschland","71.27","65.92","4548","70.08","72.46"
"2016","Laendlicher Raum","Westdeutschland","82.14","79.58","7985","81.13","83.15"
"2016","Staedtischer Raum","Ostdeutschland","56.81","49.58","2530","55.54","58.08"
"2016","Staedtischer Raum","Westdeutschland","77.81","74.83","21011","77.24","78.38"
"2017","Laendlicher Raum","Ostdeutschland","71.63","66.58","5035","70.5","72.76"
"2017","Laendlicher Raum","Westdeutschland","82.4","77.96","8512","81.43","83.37"
"2017","Staedtischer Raum","Ostdeutschland","58.03","49.5","2753","56.79","59.27"
"2017","Staedtischer Raum","Westdeutschland","78.32","71.12","22462","77.75","78.89"
"2018","Laendlicher Raum","Ostdeutschland","73.63","66.33","4973","72.47","74.79"
"2018","Laendlicher Raum","Westdeutschland","79.81","75.92","7996","78.87","80.75"
"2018","Staedtischer Raum","Ostdeutschland","58.14","51.83","2729","56.84","59.44"
"2018","Staedtischer Raum","Westdeutschland","77.82","71.83","21876","77.27","78.37"
"2019","Laendlicher Raum","Ostdeutschland","73.72","68.17","5167","72.47","74.97"
"2019","Laendlicher Raum","Westdeutschland","79.35","74.88","7811","78.29","80.41"
"2019","Staedtischer Raum","Ostdeutschland","57.45","49.5","2723","55.99","58.91"
"2019","Staedtischer Raum","Westdeutschland","77.99","70.42","21813","77.38","78.6"
"2020","Laendlicher Raum","Ostdeutschland","73.87","69.62","5501","72.68","75.06"
"2020","Laendlicher Raum","Westdeutschland","82.8","79.08","9784","81.79","83.81"
"2020","Staedtischer Raum","Ostdeutschland","57.16","49.88","3477","55.87","58.45"
"2020","Staedtischer Raum","Westdeutschland","80.27","74.96","30054","79.7","80.84"
