"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2010","Ostdeutschland","51.71","44.96","2988","23","30","66","87","150","50.56","52.86","0","416.67","50","50.8333320617676"
"2010","Westdeutschland","61.13","53.92","9945","28","39","76.67","100","167","60.43","61.83","0","500","60","61.1666679382324"
"2011","Ostdeutschland","53.57","46.83","3575","25","32","67","91.67","154.17","52.54","54.6","0","300","50","54"
"2011","Westdeutschland","64.27","58.21","12256","30","40","80","104.17","177","63.6","64.94","0","950","65","66.6666641235352"
"2012","Ostdeutschland","55.53","49.88","3558","25","34","70","95.83","158.33","54.45","56.61","0","416.67","54","56"
"2012","Westdeutschland","66.41","59.88","11984","30","40.83","83.33","108.33","200","65.73","67.09","0","833.25","66.6666641235352","68.3333358764648"
"2013","Ostdeutschland","57.98","49.58","3519","27","35","71.67","100","166.67","56.87","59.09","0","416.67","57","60"
"2013","Westdeutschland","68.69","59.96","13594","30","42","84.42","110","200","68.03","69.35","0","580","70","70"
"2014","Ostdeutschland","58.94","49.75","3327","25","35","74","100","175","57.71","60.17","0","416.67","58.3333320617676","60"
"2014","Westdeutschland","70.62","64.92","11941","30","45","89.17","116.67","200","69.88","71.36","0","600","71","75"
"2015","Ostdeutschland","","","","","","","","","","","","","",""
"2015","Westdeutschland","","","","","","","","","","","","","",""
"2016","Ostdeutschland","57.69","49.83","3047","26","35","73","100","174","56.44","58.94","0","416.67","57","60"
"2016","Westdeutschland","69.65","62.33","10996","30","42","88","116.67","200","68.86","70.44","0","828","70","72.5"
"2017","Ostdeutschland","58.17","49.5","3386","25","35","75","100","170","56.98","59.36","0","400","58.3333320617676","60"
"2017","Westdeutschland","69.79","62.96","12006","30","44.17","87.5","116.67","200","69.04","70.54","0","840","70","70"
"2018","Ostdeutschland","59.76","51.83","3393","27","37","75.83","100","166.67","58.51","61.01","0","583.33","58.3333320617676","60"
"2018","Westdeutschland","68.72","62.42","11778","30","43","86","113.33","200","68.01","69.43","0","450","70","70"
"2019","Ostdeutschland","60.04","51.96","3521","28","36","76","100","166.67","58.69","61.39","0","500","60","60.3333320617676"
"2019","Westdeutschland","68.84","62.38","12163","30","45","84.17","116.67","200","68.05","69.63","0","666.67","70","70.8333358764648"
"2020","Ostdeutschland","59.72","49.88","3801","27","37","75","100","170","58.41","61.03","0","541.67","58.3333320617676","60"
"2020","Westdeutschland","71.66","65.96","15230","30","45","90","116.67","208.33","70.92","72.4","0","1250","70","70"
