year,sampreg,hlf0192,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.9059799909049568,11680,0.9006869640498281,0.9112730177600856
2001,West,No,0.0940200090950432,11680,0.08872698223991447,0.09931303595017192
2001,East,Yes,0.8871252204585538,11680,0.881386361246496,0.8928640796706115
2001,East,No,0.1128747795414462,11680,0.10713592032938848,0.11861363875350392
2003,West,Yes,0.9158222915042868,11804,0.910813353855664,0.9208312291529097
2003,West,No,0.08417770849571317,11804,0.07916877084709026,0.08918664614433608
2003,East,Yes,0.8836545324768023,11804,0.8778701438944834,0.8894389210591211
2003,East,No,0.11634546752319772,11804,0.11056107894087887,0.12212985610551656
2005,West,Yes,0.9171681415929204,11199,0.9120632134647091,0.9222730697211317
2005,West,No,0.08283185840707964,11199,0.07772693027886837,0.08793678653529091
2005,East,Yes,0.8866517524235645,11199,0.8807802344796631,0.8925232703674659
2005,East,No,0.1133482475764355,11199,0.10747672963253414,0.11921976552033685
2007,West,Yes,0.9199491740787802,11453,0.9149791182584665,0.9249192298990939
2007,West,No,0.08005082592121983,11453,0.07508077010090607,0.08502088174153359
2007,East,Yes,0.8791727140783745,11453,0.8732035151604981,0.8851419129962509
2007,East,No,0.12082728592162555,11453,0.1148580870037491,0.12679648483950198
2011,West,Yes,0.9104087193460491,16603,0.9060644788072344,0.9147529598848637
2011,West,No,0.08959128065395096,16603,0.08524704011513626,0.09393552119276566
2011,East,Yes,0.8888119154832006,16603,0.8840300556070205,0.8935937753593807
2011,East,No,0.11118808451679944,16603,0.10640622464061934,0.11596994439297954
2013,West,Yes,0.9118073161897863,17870,0.9076495351844672,0.9159650971951053
2013,West,No,0.0881926838102137,17870,0.08403490280489469,0.0923504648155327
2013,East,Yes,0.8995497055767232,17870,0.8951423104716979,0.9039571006817485
2013,East,No,0.10045029442327676,17870,0.09604289931825145,0.10485768952830206
2015,West,Yes,0.9077046548956661,15764,0.9031862511133901,0.9122230586779421
2015,West,No,0.09229534510433386,15764,0.08777694132205793,0.09681374888660979
2015,East,Yes,0.8817237163814181,15764,0.8766824696374342,0.886764963125402
2015,East,No,0.1182762836185819,15764,0.11323503687459806,0.12331753036256575
2016,West,Yes,0.8955397243301843,16419,0.8908612879160178,0.9002181607443507
2016,West,No,0.10446027566981571,16419,0.09978183925564928,0.10913871208398214
2016,East,Yes,0.8817577334489737,16419,0.876818679936372,0.8866967869615754
2016,East,No,0.1182422665510263,16419,0.11330321303842465,0.12318132006362796
2017,West,Yes,0.9105190311418685,18279,0.906381038561415,0.9146570237223219
2017,West,No,0.08948096885813149,18279,0.0853429762776781,0.09361896143858488
2017,East,Yes,0.8889767932489452,18279,0.8844223850729025,0.8935312014249879
2017,East,No,0.11102320675105486,18279,0.10646879857501217,0.11557761492709755
2018,West,Yes,0.9128427333428044,17878,0.9087080106544504,0.9169774560311584
2018,West,No,0.08715726665719563,17878,0.0830225439688416,0.09129198934554966
2018,East,Yes,0.8914482393433942,17878,0.88688825757154,0.8960082211152485
2018,East,No,0.10855176065660577,17878,0.10399177888475152,0.11311174242846002
2019,West,Yes,0.912168123846956,18428,0.9080813510378691,0.9162548966560429
2019,West,No,0.08783187615304404,18428,0.08374510334395714,0.09191864896213094
2019,East,Yes,0.8894150417827298,18428,0.8848869290182123,0.8939431545472473
2019,East,No,0.1105849582172702,18428,0.10605684545275271,0.11511307098178769
2021,West,Yes,0.8186476439264543,12568,0.8119111628435043,0.8253841250094043
2021,West,No,0.18135235607354566,12568,0.17461587499059567,0.18808883715649566
2021,East,Yes,0.8289473684210527,12568,0.822363951734173,0.8355307851079323
2021,East,No,0.17105263157894737,12568,0.16446921489206776,0.177636048265827
