year,regtyp,sampreg,hlf0192,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,West,Yes,0.9017554211535624,11680,0.8963574155812515,0.9071534267258734
2001,Urban regions,West,No,0.09824457884643753,11680,0.09284657327412658,0.10364258441874848
2001,Urban regions,East,Yes,0.8601472134595163,11680,0.8538571271400717,0.8664372997789609
2001,Urban regions,East,No,0.1398527865404837,11680,0.1335627002210391,0.14614287285992827
2001,Rural regions,West,Yes,0.9201784828953892,11680,0.9152634019365852,0.9250935638541932
2001,Rural regions,West,No,0.07982151710461081,11680,0.07490643614580683,0.0847365980634148
2001,Rural regions,East,Yes,0.9007430997876857,11680,0.8953204010699023,0.9061657985054692
2001,Rural regions,East,No,0.09925690021231423,11680,0.09383420149453076,0.1046795989300977
2003,Urban regions,West,Yes,0.9136402630826422,11804,0.9085728682834634,0.9187076578818211
2003,Urban regions,West,No,0.08635973691735774,11804,0.08129234211817887,0.0914271317165366
2003,Urban regions,East,Yes,0.8590814196242171,11804,0.8528045549771948,0.8653582842712395
2003,Urban regions,East,No,0.1409185803757829,11804,0.13464171572876052,0.14719544502280527
2003,Rural regions,West,Yes,0.9235027679919476,11804,0.9187078251769042,0.9282977108069911
2003,Rural regions,West,No,0.07649723200805233,11804,0.07170228919300888,0.0812921748230958
2003,Rural regions,East,Yes,0.8964208242950108,11804,0.8909237239511318,0.9019179246388898
2003,Rural regions,East,No,0.10357917570498916,11804,0.09808207536111019,0.10907627604886813
2005,Urban regions,West,Yes,0.9152465003043213,11199,0.9100881087148073,0.9204048918938353
2005,Urban regions,West,No,0.08475349969567864,11199,0.07959510810616457,0.0899118912851927
2005,Urban regions,East,Yes,0.8632478632478633,11199,0.8568842868044222,0.8696114396913044
2005,Urban regions,East,No,0.13675213675213677,11199,0.1303885603086956,0.14311571319557792
2005,Rural regions,West,Yes,0.9238045191802418,11199,0.9188906782076277,0.9287183601528558
2005,Rural regions,West,No,0.07619548081975827,11199,0.07128163984714425,0.08110932179237229
2005,Rural regions,East,Yes,0.8991981672394044,11199,0.8936220952791785,0.9047742391996303
2005,Rural regions,East,No,0.10080183276059565,11199,0.09522576080036978,0.10637790472082152
2007,Urban regions,West,Yes,0.9186942723288499,11453,0.9136888293782531,0.9236997152794467
2007,Urban regions,West,No,0.08130572767115007,11453,0.07630028472055322,0.08631117062174692
2007,Urban regions,East,Yes,0.8662420382165605,11453,0.8600079077029009,0.8724761687302202
2007,Urban regions,East,No,0.1337579617834395,11453,0.12752383126977987,0.1399920922970991
2007,Rural regions,West,Yes,0.9240196078431373,11453,0.9191668591654191,0.9288723565208555
2007,Rural regions,West,No,0.07598039215686274,11453,0.07112764347914445,0.08083314083458103
2007,Rural regions,East,Yes,0.8858875413450937,11453,0.8800644678787678,0.8917106148114197
2007,Rural regions,East,No,0.11411245865490628,11453,0.10828938518858033,0.11993553212123223
2011,Urban regions,West,Yes,0.9060530558405393,16603,0.9016151209000276,0.910490990781051
2011,Urban regions,West,No,0.09394694415946064,16603,0.0895090092189489,0.09838487909997239
2011,Urban regions,East,Yes,0.8765915768854065,16603,0.8715885384936725,0.8815946152771404
2011,Urban regions,East,No,0.12340842311459353,16603,0.11840538472285958,0.12841146150632748
2011,Rural regions,West,Yes,0.9230442176870748,16603,0.9189901157062286,0.927098319667921
2011,Rural regions,West,No,0.07695578231292517,16603,0.07290168033207899,0.08100988429377136
2011,Rural regions,East,Yes,0.8954983922829582,16603,0.8908451391478456,0.9001516454180709
2011,Rural regions,East,No,0.1045016077170418,16603,0.09984835458192916,0.10915486085215444
2013,Urban regions,West,Yes,0.9108410540247864,17870,0.9066627738666052,0.9150193341829677
2013,Urban regions,West,No,0.08915894597521357,17870,0.08498066581703233,0.0933372261333948
2013,Urban regions,East,Yes,0.8815028901734104,17870,0.8767641865802475,0.8862415937665734
2013,Urban regions,East,No,0.11849710982658959,17870,0.11375840623342658,0.12323581341975261
2013,Rural regions,West,Yes,0.9147457006952068,17870,0.9106511888837747,0.9188402125066388
2013,Rural regions,West,No,0.08525429930479327,17870,0.08115978749336124,0.0893488111162253
2013,Rural regions,East,Yes,0.9096809085992429,17870,0.9054782112580908,0.913883605940395
2013,Rural regions,East,No,0.09031909140075717,17870,0.08611639405960506,0.09452178874190928
2015,Urban regions,West,Yes,0.9015192917258716,15764,0.8968678674804504,0.9061707159712928
2015,Urban regions,West,No,0.09848070827412832,15764,0.09382928402870715,0.10313213251954949
2015,Urban regions,East,Yes,0.8569051580698835,15764,0.8514387603520718,0.8623715557876953
2015,Urban regions,East,No,0.14309484193011648,15764,0.13762844421230466,0.1485612396479283
2015,Rural regions,West,Yes,0.9247961340984597,15764,0.9206792755599646,0.9289129926369548
2015,Rural regions,West,No,0.07520386590154032,15764,0.07108700736304528,0.07932072444003536
2015,Rural regions,East,Yes,0.8961352657004831,15764,0.8913726701735882,0.9008978612273779
2015,Rural regions,East,No,0.10386473429951691,15764,0.0991021387726221,0.10862732982641173
2016,Urban regions,West,Yes,0.8869191230462603,16419,0.8820749537429105,0.8917632923496102
2016,Urban regions,West,No,0.11308087695373964,16419,0.1082367076503898,0.11792504625708948
2016,Urban regions,East,Yes,0.8637083993660856,16419,0.8584603146438208,0.8689564840883504
2016,Urban regions,East,No,0.13629160063391443,16419,0.13104351591164967,0.1415396853561792
2016,Rural regions,West,Yes,0.9198461993493049,16419,0.9156928124461572,0.9239995862524526
2016,Rural regions,West,No,0.08015380065069506,16419,0.07600041374754739,0.08430718755384274
2016,Rural regions,East,Yes,0.8921256258534365,16419,0.8873804220297101,0.8968708296771628
2016,Rural regions,East,No,0.10787437414656349,16419,0.10312917032283721,0.11261957797028978
2017,Urban regions,West,Yes,0.9033811862485833,18279,0.8990982044739986,0.9076641680231681
2017,Urban regions,West,No,0.0966188137514167,18279,0.092335831976832,0.10090179552600141
2017,Urban regions,East,Yes,0.8561253561253561,18279,0.8510374315371445,0.8612132807135677
2017,Urban regions,East,No,0.14387464387464388,18279,0.13878671928643233,0.14896256846285544
2017,Rural regions,West,Yes,0.9300880372863801,18279,0.9263913081407358,0.9337847664320245
2017,Rural regions,West,No,0.06991196271361988,18279,0.06621523356797557,0.07360869185926419
2017,Rural regions,East,Yes,0.9082914572864321,18279,0.9041074024680881,0.9124755121047762
2017,Rural regions,East,No,0.09170854271356783,18279,0.08752448789522382,0.09589259753191184
2018,Urban regions,West,Yes,0.9043668954996186,17878,0.9000559447595923,0.9086778462396449
2018,Urban regions,West,No,0.09563310450038139,17878,0.09132215376035509,0.09994405524040768
2018,Urban regions,East,Yes,0.8681241184767278,17878,0.8631642495028644,0.8730839874505911
2018,Urban regions,East,No,0.1318758815232722,17878,0.12691601254940882,0.1368357504971356
2018,Rural regions,West,Yes,0.9376044568245125,17878,0.9340589100326118,0.9411500036164133
2018,Rural regions,West,No,0.06239554317548746,17878,0.05884999638358668,0.06594108996738825
2018,Rural regions,East,Yes,0.9054684188215345,17878,0.9011797578097182,0.9097570798333509
2018,Rural regions,East,No,0.09453158117846545,17878,0.09024292016664912,0.09882024219028179
2019,Urban regions,West,Yes,0.9059554175446379,18428,0.901741002787061,0.9101698323022148
2019,Urban regions,West,No,0.0940445824553621,18428,0.08983016769778521,0.09825899721293899
2019,Urban regions,East,Yes,0.8582677165354331,18428,0.8532319828994572,0.863303450171409
2019,Urban regions,East,No,0.14173228346456693,18428,0.13669654982859103,0.14676801710054282
2019,Rural regions,West,Yes,0.9405335904853744,18428,0.9371189893251846,0.9439481916455643
2019,Rural regions,West,No,0.05946640951462552,18428,0.05605180835443568,0.06288101067481537
2019,Rural regions,East,Yes,0.9082039911308204,18428,0.9040350998232646,0.9123728824383762
2019,Rural regions,East,No,0.0917960088691796,18428,0.08762711756162384,0.09596490017673537
2021,Urban regions,West,Yes,0.8080941674381695,12568,0.8012092607496472,0.8149790741266919
