"hlf0192","year","quintil","n","percent","lower_confidence","upper_confidence"
"Ja","2001","1","6527","0.889176665363789","0.881944831559065","0.896408499168513"
"Ja","2001","2","6999","0.916763165550617","0.910564871472613","0.92296145962862"
"Ja","2001","3","5788","0.91642110173263","0.909578971891493","0.923263231573767"
"Ja","2001","4","4200","0.906563597445369","0.898169416640465","0.914957778250272"
"Ja","2001","5","2587","0.910408209926086","0.899930332915726","0.920886086936445"
"Nein","2001","1","711","0.110823334636211","0.103591500831487","0.118055168440935"
"Nein","2001","2","631","0.0832368344493834","0.0770385403713799","0.089435128527387"
"Nein","2001","3","497","0.0835788982673701","0.0767367684262329","0.0904210281085072"
"Nein","2001","4","418","0.0934364025546311","0.0850422217497276","0.101830583359535"
"Nein","2001","5","267","0.0895917900739145","0.0791139130635549","0.100069667084274"
"Ja","2002","1","","","",""
"Ja","2002","2","","","",""
"Ja","2002","3","","","",""
"Ja","2002","4","","","",""
"Ja","2002","5","","","",""
"Nein","2002","1","","","",""
"Nein","2002","2","","","",""
"Nein","2002","3","","","",""
"Nein","2002","4","","","",""
"Nein","2002","5","","","",""
"Ja","2003","1","5176","0.887700073043401","0.879546279439464","0.895853866647339"
"Ja","2003","2","5624","0.911435965104732","0.904314954403635","0.918556975805829"
"Ja","2003","3","5654","0.926153528928663","0.919599849157429","0.932707208699897"
"Ja","2003","4","5336","0.91191744795947","0.904644883390365","0.919190012528575"
"Ja","2003","5","4515","0.917122136815099","0.90941139813956","0.924832875490638"
"Nein","2003","1","584","0.112299926956599","0.104146133352661","0.120453720560536"
"Nein","2003","2","491","0.0885640348952679","0.0814430241941713","0.0956850455963645"
"Nein","2003","3","463","0.0738464710713373","0.0672927913001031","0.0804001508425714"
"Nein","2003","4","498","0.08808255204053","0.080809987471425","0.0953551166096351"
"Nein","2003","5","396","0.0828778631849012","0.0751671245093623","0.0905886018604401"
"Ja","2004","1","","","",""
"Ja","2004","2","","","",""
"Ja","2004","3","","","",""
"Ja","2004","4","","","",""
"Ja","2004","5","","","",""
"Nein","2004","1","","","",""
"Nein","2004","2","","","",""
"Nein","2004","3","","","",""
"Nein","2004","4","","","",""
"Nein","2004","5","","","",""
"Ja","2005","1","4750","0.866014941725934","0.856894043417073","0.875135840034795"
"Ja","2005","2","5036","0.917377761762097","0.910078556278313","0.92467696724588"
"Ja","2005","3","5094","0.918129535073561","0.910900213267911","0.925358856879211"
"Ja","2005","4","5085","0.920460947366065","0.913276678490647","0.927645216241482"
"Ja","2005","5","4478","0.931657117624764","0.92453204341598","0.938782191833547"
"Nein","2005","1","608","0.133985058274066","0.124864159965205","0.143105956582927"
"Nein","2005","2","429","0.0826222382379033","0.07532303275412","0.0899214437216866"
"Nein","2005","3","431","0.0818704649264391","0.0746411431207893","0.0890997867320888"
"Nein","2005","4","364","0.0795390526339354","0.0723547837585179","0.0867233215093529"
"Nein","2005","5","340","0.0683428823752363","0.0612178081664528","0.0754679565840198"
"Ja","2006","1","","","",""
"Ja","2006","2","","","",""
"Ja","2006","3","","","",""
"Ja","2006","4","","","",""
"Ja","2006","5","","","",""
"Nein","2006","1","","","",""
"Nein","2006","2","","","",""
"Nein","2006","3","","","",""
"Nein","2006","4","","","",""
"Nein","2006","5","","","",""
"Ja","2007","1","4327","0.879661438034283","0.870514196599084","0.888808679469482"
"Ja","2007","2","5058","0.926020695803022","0.919038418088852","0.933002973517191"
"Ja","2007","3","5156","0.918265598256926","0.91108323051654","0.925447965997312"
"Ja","2007","4","5241","0.914599971060526","0.907357368110453","0.921842574010598"
"Ja","2007","5","4630","0.937962181414864","0.931249679837951","0.944674682991776"
"Nein","2007","1","533","0.120338561965717","0.111191320530518","0.129485803400916"
"Nein","2007","2","340","0.0739793041969785","0.0669970264828087","0.0809615819111484"
