year,regtyp,hlf0192,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Yes,0.8966364812419146,11680,0.8911153700313346,0.9021575924524947
2001,Urban regions,No,0.10336351875808539,11680,0.09784240754750535,0.10888462996866542
2001,Rural regions,Yes,0.9107921045885671,11680,0.9056226357068994,0.9159615734702348
2001,Rural regions,No,0.08920789541143297,11680,0.08403842652976522,0.09437736429310072
2003,Urban regions,Yes,0.9070674044265593,11804,0.9018296481633762,0.9123051606897424
2003,Urban regions,No,0.09293259557344065,11804,0.08769483931025754,0.09817035183662376
2003,Rural regions,Yes,0.9104672409292612,11804,0.9053165603585882,0.9156179214999343
2003,Rural regions,No,0.08953275907073871,11804,0.08438207850006565,0.09468343964141177
2005,Urban regions,Yes,0.9087639850825786,11199,0.9034309412096888,0.9140970289554684
2005,Urban regions,No,0.09123601491742142,11199,0.08590297104453157,0.09656905879031127
2005,Rural regions,Yes,0.9120306933406412,11199,0.9067845909739847,0.9172767957072978
2005,Rural regions,No,0.08796930665935873,11199,0.0827232042927022,0.09321540902601526
2007,Urban regions,Yes,0.9121576928165102,11453,0.9069734746379111,0.9173419109951092
2007,Urban regions,No,0.08784230718348988,11453,0.08265808900489088,0.09302652536208889
2007,Rural regions,Yes,0.9060716139076285,11453,0.9007287251318706,0.9114145026833863
2007,Rural regions,No,0.09392838609237156,11453,0.08858549731661376,0.09927127486812935
2011,Urban regions,Yes,0.9022182559918409,16603,0.8977002429296961,0.9067362690539857
2011,Urban regions,No,0.0977817440081591,16603,0.09326373094601424,0.10229975707030396
2011,Rural regions,Yes,0.9108582266477003,16603,0.9065238283739075,0.9151926249214931
2011,Rural regions,No,0.08914177335229967,16603,0.08480737507850683,0.09347617162609251
2013,Urban regions,Yes,0.9075836987913146,17870,0.9033373913977623,0.911830006184867
2013,Urban regions,No,0.09241630120868542,17870,0.08816999381513312,0.09666260860223773
2013,Rural regions,Yes,0.9127018769096464,17870,0.9085632076608238,0.9168405461584691
2013,Rural regions,No,0.08729812309035356,17870,0.08315945384153094,0.09143679233917619
2015,Urban regions,Yes,0.8963385180175828,15764,0.8915800451784318,0.9010969908567338
2015,Urban regions,No,0.10366148198241716,15764,0.09890300914326618,0.10841995482156815
2015,Rural regions,Yes,0.9137706745958001,15764,0.9093887090284414,0.9181526401631588
2015,Rural regions,No,0.08622932540419996,15764,0.08184735983684122,0.0906112909715587
2016,Urban regions,Yes,0.8842056507642427,16419,0.8793112103452239,0.8891000911832616
2016,Urban regions,No,0.1157943492357573,16419,0.11089990881673836,0.12068878965477622
2016,Rural regions,Yes,0.9089279311581212,16419,0.9045270458978074,0.913328816418435
2016,Rural regions,No,0.09107206884187881,16419,0.08667118358156503,0.09547295410219259
2017,Urban regions,Yes,0.8978485657104737,18279,0.8934581702972463,0.902238961123701
2017,Urban regions,No,0.10215143428952635,18279,0.09776103887629897,0.10654182970275372
2017,Rural regions,Yes,0.92176,18279,0.9178668314644457,0.9256531685355543
2017,Rural regions,No,0.07824,18279,0.07434683146444569,0.08213316853555432
2018,Urban regions,Yes,0.9000503947589451,17878,0.8956537582708454,0.9044470312470448
2018,Urban regions,No,0.09994960524105494,17878,0.09555296875295523,0.10434624172915465
2018,Rural regions,Yes,0.9248613212304589,17878,0.9209970581066264,0.9287255843542915
2018,Rural regions,No,0.0751386787695411,17878,0.07127441564570848,0.07900294189337372
2019,Urban regions,Yes,0.9000680470496744,18428,0.8957378582823152,0.9043982358170335
2019,Urban regions,No,0.09993195295032566,18428,0.09560176418296654,0.10426214171768478
2019,Rural regions,Yes,0.9269474468878122,18428,0.9231902649555808,0.9307046288200436
2019,Rural regions,No,0.07305255311218785,18428,0.06929537117995647,0.07680973504441922
2021,Urban regions,Yes,0.8035153067163311,12568,0.7965685126582208,0.8104621007744414
2021,Urban regions,No,0.19648469328366897,12568,0.1895378992255587,0.20343148734177924
2021,Rural regions,Yes,0.8585551330798479,12568,0.852462561004786,0.8646477051549097
2021,Rural regions,No,0.1414448669201521,12568,0.13535229484509023,0.14753743899521396
