"ple0097","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Gesetzliche KV","1999","(noch) kein Abschluss","Staedtischer Raum","563","0.89301775907006","0.868469237730804","0.917566280409316"
"Gesetzliche KV","1999","(noch) kein Abschluss","Laendlicher Raum","171","0.909049393282508","0.867275116689401","0.950823669875615"
"Gesetzliche KV","1999","Hauptschule","Staedtischer Raum","3747","0.935834607907394","0.928205284379239","0.943463931435549"
"Gesetzliche KV","1999","Hauptschule","Laendlicher Raum","1971","0.952097077346067","0.942874844090079","0.961319310602055"
"Gesetzliche KV","1999","Realschule","Staedtischer Raum","1686","0.88179974879375","0.867275483527295","0.896324014060204"
"Gesetzliche KV","1999","Realschule","Laendlicher Raum","1384","0.910483250189747","0.895953249044888","0.925013251334606"
"Gesetzliche KV","1999","(Fach-)Abitur","Staedtischer Raum","730","0.809718301600727","0.783710146176351","0.835726457025102"
"Gesetzliche KV","1999","(Fach-)Abitur","Laendlicher Raum","230","0.889275318136286","0.851133467869051","0.927417168403521"
"Gesetzliche KV","1999","AkademikerIn","Staedtischer Raum","927","0.708074515002581","0.682779340066094","0.733369689939069"
"Gesetzliche KV","1999","AkademikerIn","Laendlicher Raum","592","0.784469252060521","0.754392672160953","0.814545831960089"
"Private KV","1999","(noch) kein Abschluss","Staedtischer Raum","44","0.103751571588079","0.0795328625166337","0.127970280659525"
"Private KV","1999","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Private KV","1999","Hauptschule","Staedtischer Raum","196","0.0587913274556084","0.0514675414165636","0.0661151134946532"
"Private KV","1999","Hauptschule","Laendlicher Raum","76","0.0409851970783624","0.0324238786564525","0.0495465155002724"
"Private KV","1999","Realschule","Staedtischer Raum","187","0.103933382026779","0.0902041050704706","0.117662658983088"
"Private KV","1999","Realschule","Laendlicher Raum","88","0.082484023440277","0.0684826947313904","0.0964853521491636"
"Private KV","1999","(Fach-)Abitur","Staedtischer Raum","131","0.170587532166198","0.145664378943039","0.195510685389357"
"Private KV","1999","(Fach-)Abitur","Laendlicher Raum","24","","",""
"Private KV","1999","AkademikerIn","Staedtischer Raum","307","0.287988077097747","0.262794311327205","0.313181842868288"
"Private KV","1999","AkademikerIn","Laendlicher Raum","119","0.204129198818274","0.174647010208132","0.233611387428417"
"Weder-noch","1999","(noch) kein Abschluss","Staedtischer Raum","2","","",""
"Weder-noch","1999","(noch) kein Abschluss","Laendlicher Raum","1","","",""
"Weder-noch","1999","Hauptschule","Staedtischer Raum","20","","",""
