"ple0097","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gesetzliche KV","1999","17-29","(noch) kein Abschluss","314","0.809575969009016","0.769350860006256","0.849801078011776"
"Gesetzliche KV","1999","17-29","Hauptschule","765","0.97196994918436","0.960416054058435","0.983523844310286"
"Gesetzliche KV","1999","17-29","Realschule","925","0.948934133390023","0.935081076701308","0.962787190078737"
"Gesetzliche KV","1999","17-29","(Fach-)Abitur","441","0.857851315804364","0.827394826940308","0.88830780466842"
"Gesetzliche KV","1999","17-29","AkademikerIn","108","0.789206109778093","0.721643206746162","0.856769012810024"
"Gesetzliche KV","1999","30-45","(noch) kein Abschluss","122","0.998031453069596","0.990198229249144","1.00586467689005"
"Gesetzliche KV","1999","30-45","Hauptschule","1447","0.922485330398712","0.909164408031968","0.935806252765455"
"Gesetzliche KV","1999","30-45","Realschule","1413","0.890195609665161","0.874705892187219","0.905685327143104"
"Gesetzliche KV","1999","30-45","(Fach-)Abitur","381","0.822745016682117","0.787655753422566","0.857834279941669"
"Gesetzliche KV","1999","30-45","AkademikerIn","720","0.756139810735976","0.728194048940898","0.784085572531054"
"Gesetzliche KV","1999","46-65","(noch) kein Abschluss","236","0.989401856199468","0.976419593142353","1.00238411925658"
"Gesetzliche KV","1999","46-65","Hauptschule","2276","0.930869628654265","0.920748048810189","0.94099120849834"
"Gesetzliche KV","1999","46-65","Realschule","564","0.847979510281577","0.820441329714405","0.87551769084875"
"Gesetzliche KV","1999","46-65","(Fach-)Abitur","96","0.765009760715745","0.689773608644859","0.840245912786631"
"Gesetzliche KV","1999","46-65","AkademikerIn","538","0.694706998547975","0.66097431895755","0.7284396781384"
"Gesetzliche KV","1999","66","(noch) kein Abschluss","","","",""
"Gesetzliche KV","1999","66","Hauptschule","","","",""
"Gesetzliche KV","1999","66","Realschule","","","",""
"Gesetzliche KV","1999","66","(Fach-)Abitur","","","",""
"Gesetzliche KV","1999","66","AkademikerIn","","","",""
"Private KV","1999","17-29","(noch) kein Abschluss","51","0.188445322025629","0.148380877896044","0.228509766155214"
"Private KV","1999","17-29","Hauptschule","11","","",""
