"ple0097","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Gesetzliche KV","1999","(noch) kein Abschluss","maennlich","324","0.867868607192858","0.832790465842896","0.90294674854282"
"Gesetzliche KV","1999","(noch) kein Abschluss","weiblich","410","0.921222124608893","0.895848152706138","0.946596096511648"
"Gesetzliche KV","1999","Hauptschule","maennlich","2761","0.921932273392652","0.91226105586722","0.931603490918085"
"Gesetzliche KV","1999","Hauptschule","weiblich","2957","0.95825148142435","0.951172814343106","0.965330148505595"
"Gesetzliche KV","1999","Realschule","maennlich","1322","0.853045478001651","0.835151712455364","0.870939243547938"
"Gesetzliche KV","1999","Realschule","weiblich","1748","0.924411691671905","0.912453211645284","0.936370171698525"
"Gesetzliche KV","1999","(Fach-)Abitur","maennlich","436","0.78775399602517","0.753266133414703","0.822241858635636"
"Gesetzliche KV","1999","(Fach-)Abitur","weiblich","524","0.860919341368733","0.833115537910665","0.888723144826801"
"Gesetzliche KV","1999","AkademikerIn","maennlich","786","0.694292236028416","0.666790310657895","0.721794161398938"
"Gesetzliche KV","1999","AkademikerIn","weiblich","733","0.782397645660688","0.755151460780387","0.809643830540989"
"Private KV","1999","(noch) kein Abschluss","maennlich","33","0.130437611355402","0.0955510335307936","0.16532418918001"
"Private KV","1999","(noch) kein Abschluss","weiblich","","","",""
"Private KV","1999","Hauptschule","maennlich","176","0.0706167804198116","0.0613815604074368","0.0798520004321863"
"Private KV","1999","Hauptschule","weiblich","96","0.0373238908001102","0.0306154011341171","0.0440323804661032"
"Private KV","1999","Realschule","maennlich","150","0.124879557469506","0.108172353954761","0.141586760984251"
"Private KV","1999","Realschule","weiblich","125","0.0725157519747174","0.0607833913579093","0.0842481125915254"
"Private KV","1999","(Fach-)Abitur","maennlich","87","0.175702526970373","0.143604214600237","0.207800839340508"
"Private KV","1999","(Fach-)Abitur","weiblich","68","0.135832906329779","0.10830387264605","0.163361940013509"
"Private KV","1999","AkademikerIn","maennlich","282","0.297904319384604","0.270603526433708","0.325205112335501"
"Private KV","1999","AkademikerIn","weiblich","144","0.213743755655183","0.186673714962359","0.240813796348008"
"Weder-noch","1999","(noch) kein Abschluss","maennlich","","","",""
"Weder-noch","1999","(noch) kein Abschluss","weiblich","","","",""
"Weder-noch","1999","Hauptschule","maennlich","","","",""
"Weder-noch","1999","Hauptschule","weiblich","","","",""
"Weder-noch","1999","Realschule","maennlich","32","0.0220749645288426","0.0146494429871346","0.0295004860705506"
"Weder-noch","1999","Realschule","weiblich","","","",""
"Weder-noch","1999","(Fach-)Abitur","maennlich","","","",""
"Weder-noch","1999","(Fach-)Abitur","weiblich","","","",""
"Weder-noch","1999","AkademikerIn","maennlich","","","",""
"Weder-noch","1999","AkademikerIn","weiblich","","","",""
"Gesetzliche KV","2000","(noch) kein Abschluss","maennlich","375","0.891208583375784","0.861394045937357","0.92102312081421"
"Gesetzliche KV","2000","(noch) kein Abschluss","weiblich","451","0.901140891900735","0.874926601127768","0.927355182673702"
"Gesetzliche KV","2000","Hauptschule","maennlich","4800","0.927795875826611","0.92072629171139","0.934865459941833"
"Gesetzliche KV","2000","Hauptschule","weiblich","5321","0.963205207226547","0.958241624754197","0.968168789698898"
"Gesetzliche KV","2000","Realschule","maennlich","2341","0.850227059875631","0.83680165757396","0.863652462177302"
"Gesetzliche KV","2000","Realschule","weiblich","3312","0.927754625460905","0.919260935491628","0.936248315430181"
"Gesetzliche KV","2000","(Fach-)Abitur","maennlich","918","0.817388015090932","0.794680246032188","0.840095784149676"
