"ple0097","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Gesetzliche KV","1999","(noch) kein Abschluss","Westdeutschland","619","0.898365761031807","0.875399839115467","0.921331682948146"
"Gesetzliche KV","1999","(noch) kein Abschluss","Ostdeutschland","115","0.883484660059744","0.827463270308938","0.939506049810551"
"Gesetzliche KV","1999","Hauptschule","Westdeutschland","4568","0.931761735052227","0.924679103868627","0.938844366235827"
"Gesetzliche KV","1999","Hauptschule","Ostdeutschland","1150","0.998625726987377","0.99648834044399","1.00076311353076"
"Gesetzliche KV","1999","Realschule","Westdeutschland","1741","0.870257853965438","0.855475882833743","0.885039825097133"
"Gesetzliche KV","1999","Realschule","Ostdeutschland","1329","0.948442977184245","0.936843059433574","0.960042894934916"
"Gesetzliche KV","1999","(Fach-)Abitur","Westdeutschland","790","0.817751810022938","0.793125209659275","0.842378410386602"
"Gesetzliche KV","1999","(Fach-)Abitur","Ostdeutschland","170","0.890443986645848","0.84614917898349","0.934738794308206"
"Gesetzliche KV","1999","AkademikerIn","Westdeutschland","737","0.654089637555951","0.626005718386974","0.682173556724929"
"Gesetzliche KV","1999","AkademikerIn","Ostdeutschland","782","0.914364058730224","0.895629421360267","0.933098696100181"
"Private KV","1999","(noch) kein Abschluss","Westdeutschland","44","0.0990269025969925","0.0763246068158943","0.121729198378091"
"Private KV","1999","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Private KV","1999","Hauptschule","Westdeutschland","269","0.0614951407701995","0.0547472682939783","0.0682430132464208"
"Private KV","1999","Hauptschule","Ostdeutschland","3","","",""
"Private KV","1999","Realschule","Westdeutschland","218","0.116156063945241","0.102060690963452","0.130251436927031"
"Private KV","1999","Realschule","Ostdeutschland","57","0.0451186257213437","0.0342303772138991","0.0560068742287882"
"Private KV","1999","(Fach-)Abitur","Westdeutschland","138","0.163221038577793","0.139645830281615","0.186796246873971"
"Private KV","1999","(Fach-)Abitur","Ostdeutschland","17","","",""
"Private KV","1999","AkademikerIn","Westdeutschland","354","0.338476553470119","0.310538624449913","0.366414482490325"
"Private KV","1999","AkademikerIn","Ostdeutschland","72","0.0825015374118956","0.0640814632881699","0.100921611535621"
"Weder-noch","1999","(noch) kein Abschluss","Westdeutschland","2","","",""
"Weder-noch","1999","(noch) kein Abschluss","Ostdeutschland","1","","",""
"Weder-noch","1999","Hauptschule","Westdeutschland","32","0.00674312417757368","0.0044443856618689","0.00904186269327845"
"Weder-noch","1999","Hauptschule","Ostdeutschland","1","","",""
"Weder-noch","1999","Realschule","Westdeutschland","26","","",""
"Weder-noch","1999","Realschule","Ostdeutschland","10","","",""
"Weder-noch","1999","(Fach-)Abitur","Westdeutschland","16","","",""
"Weder-noch","1999","(Fach-)Abitur","Ostdeutschland","4","","",""
"Weder-noch","1999","AkademikerIn","Westdeutschland","11","","",""
"Weder-noch","1999","AkademikerIn","Ostdeutschland","3","","",""
"Gesetzliche KV","2000","(noch) kein Abschluss","Westdeutschland","674","0.887615862508893","0.865101884935706","0.91012984008208"
"Gesetzliche KV","2000","(noch) kein Abschluss","Ostdeutschland","152","0.950359151860588","0.916808680184623","0.983909623536552"
"Gesetzliche KV","2000","Hauptschule","Westdeutschland","8356","0.938345564267364","0.933348199460735","0.943342929073994"
"Gesetzliche KV","2000","Hauptschule","Ostdeutschland","1765","0.995881108916234","0.992902451810273","0.998859766022196"
"Gesetzliche KV","2000","Realschule","Westdeutschland","3517","0.873987575103093","0.863732652464022","0.884242497742164"
"Gesetzliche KV","2000","Realschule","Ostdeutschland","2136","0.943466599632084","0.933945004946454","0.952988194317713"
"Gesetzliche KV","2000","(Fach-)Abitur","Westdeutschland","1690","0.842750868871067","0.826748523745272","0.858753213996862"
