"ple0097","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Gesetzliche KV","1999","(noch) kein Abschluss","734","0.896512666612255","0.875286006668412","0.917739326556098"
"Gesetzliche KV","1999","Hauptschule","5718","0.940987348013494","0.935036126474728","0.94693856955226"
"Gesetzliche KV","1999","Realschule","3070","0.892596401178209","0.882159718282142","0.903033084074277"
"Gesetzliche KV","1999","(Fach-)Abitur","960","0.824766672775462","0.802649782383275","0.846883563167649"
"Gesetzliche KV","1999","AkademikerIn","1519","","",""
"Private KV","1999","(noch) kein Abschluss","54","0.100176516201655","0.0792536357751226","0.121099396628187"
"Private KV","1999","Hauptschule","272","","",""
"Private KV","1999","Realschule","275","","",""
"Private KV","1999","(Fach-)Abitur","155","","",""
"Private KV","1999","AkademikerIn","426","0.262957140326271","0.243462297923606","0.282451982728936"
"Weder-noch","1999","(noch) kein Abschluss","3","","",""
"Weder-noch","1999","Hauptschule","33","0.00586317139033529","0.00393506481519988","0.0077912779654707"
"Weder-noch","1999","Realschule","36","0.0115438918087738","0.00794324664791366","0.015144536969634"
"Weder-noch","1999","(Fach-)Abitur","20","","",""
"Weder-noch","1999","AkademikerIn","14","","",""
"Gesetzliche KV","2000","(noch) kein Abschluss","826","0.896380919129065","0.876655347720055","0.916106490538076"
"Gesetzliche KV","2000","Hauptschule","10121","","",""
"Gesetzliche KV","2000","Realschule","5653","0.893939190889905","0.886325486377605","0.901552895402205"
"Gesetzliche KV","2000","(Fach-)Abitur","2017","","",""
"Gesetzliche KV","2000","AkademikerIn","2761","","",""
"Private KV","2000","(noch) kein Abschluss","84","0.093873516253938","0.0749966726365915","0.112750359871285"
"Private KV","2000","Hauptschule","505","0.0488906165377659","0.0447999682622119","0.0529812648133199"
"Private KV","2000","Realschule","590","0.100074343662844","0.0926539105775892","0.107494776748098"
"Private KV","2000","(Fach-)Abitur","305","0.14212819164925","0.127992384857303","0.156263998441198"
"Private KV","2000","AkademikerIn","1033","","",""
"Weder-noch","2000","(noch) kein Abschluss","7","0.00974556461699658","0.00338727473512046","0.0161038544988727"
"Weder-noch","2000","Hauptschule","49","0.00467348057448279","0.00337968054150035","0.00596728060746522"
"Weder-noch","2000","Realschule","40","0.0059864654472515","0.00407904712454188","0.00789388376996112"
"Weder-noch","2000","(Fach-)Abitur","22","","",""
"Weder-noch","2000","AkademikerIn","20","","",""
"Gesetzliche KV","2001","(noch) kein Abschluss","768","0.880042110278575","0.858452012949558","0.901632207607593"
"Gesetzliche KV","2001","Hauptschule","8926","0.948551858919557","0.944083440792206","0.953020277046907"
"Gesetzliche KV","2001","Realschule","5194","0.890988975043373","0.882951754690507","0.89902619539624"
"Gesetzliche KV","2001","(Fach-)Abitur","1908","","",""
"Gesetzliche KV","2001","AkademikerIn","2562","","",""
"Private KV","2001","(noch) kein Abschluss","97","0.110689960003757","0.0898417305760693","0.131538189431445"
"Private KV","2001","Hauptschule","422","0.0465099537047074","0.0422503474413549","0.0507695599680598"
"Private KV","2001","Realschule","540","0.101738160659741","0.0939420514425791","0.109534269876902"
"Private KV","2001","(Fach-)Abitur","293","","",""
"Private KV","2001","AkademikerIn","969","0.291723848130168","0.276771094046149","0.306676602214187"
"Weder-noch","2001","(noch) kein Abschluss","5","0.0092679297176674","0.00290059117540983","0.015635268259925"
"Weder-noch","2001","Hauptschule","41","0.00493818737573617","0.0035202820499217","0.00635609270155065"
"Weder-noch","2001","Realschule","42","0.00727286429688596","0.00508156253720658","0.00946416605656535"
