year,quintil_oecd,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,male,Yes,0.54573,1476,1615,0.52144,0.57002
2012,1st Quintile,male,No,0.04456,139,1615,0.03450,0.05463
2012,1st Quintile,female,Yes,0.60950,2455,2656,0.59094,0.62806
2012,1st Quintile,female,No,0.04715,201,2656,0.03909,0.05522
2012,2nd Quintile,male,Yes,0.60975,1709,1833,0.58741,0.63209
2012,2nd Quintile,male,No,0.04302,124,1833,0.03373,0.05231
2012,2nd Quintile,female,Yes,0.63498,2223,2414,0.61577,0.65419
2012,2nd Quintile,female,No,0.04884,191,2414,0.04024,0.05744
2012,3rd Quintile,male,Yes,0.69482,1940,2070,0.67498,0.71467
2012,3rd Quintile,male,No,0.04788,130,2070,0.03868,0.05708
2012,3rd Quintile,female,Yes,0.65867,2171,2324,0.63939,0.67795
2012,3rd Quintile,female,No,0.05853,153,2324,0.04899,0.06808
2012,4th Quintile,male,Yes,0.73673,2043,2152,0.71811,0.75534
2012,4th Quintile,male,No,0.03986,109,2152,0.03159,0.04813
2012,4th Quintile,female,Yes,0.74010,2167,2295,0.72215,0.75805
2012,4th Quintile,female,No,0.03815,128,2295,0.03031,0.04599
2012,5th Quintile,male,Yes,0.77223,2328,2453,0.75563,0.78883
2012,5th Quintile,male,No,0.04918,125,2453,0.04062,0.05774
2012,5th Quintile,female,Yes,0.75602,2352,2476,0.73910,0.77294
2012,5th Quintile,female,No,0.04857,124,2476,0.04010,0.05704
2013,1st Quintile,male,Yes,0.62900,1448,1577,0.60515,0.65285
2013,1st Quintile,male,No,0.04087,129,1577,0.03109,0.05064
2013,1st Quintile,female,Yes,0.67375,2413,2612,0.65577,0.69174
2013,1st Quintile,female,No,0.03678,199,2612,0.02956,0.04400
2013,2nd Quintile,male,Yes,0.67444,1837,1962,0.65370,0.69518
2013,2nd Quintile,male,No,0.03002,125,1962,0.02247,0.03757
2013,2nd Quintile,female,Yes,0.73509,2420,2585,0.71807,0.75210
2013,2nd Quintile,female,No,0.02819,165,2585,0.02181,0.03457
2013,3rd Quintile,male,Yes,0.73728,1985,2093,0.71842,0.75614
2013,3rd Quintile,male,No,0.03280,108,2093,0.02517,0.04044
2013,3rd Quintile,female,Yes,0.73762,2219,2368,0.71990,0.75535
2013,3rd Quintile,female,No,0.04892,149,2368,0.04023,0.05761
2013,4th Quintile,male,Yes,0.78826,2063,2175,0.77108,0.80543
2013,4th Quintile,male,No,0.03824,112,2175,0.03018,0.04630
2013,4th Quintile,female,Yes,0.77761,2235,2352,0.76080,0.79442
2013,4th Quintile,female,No,0.03656,117,2352,0.02897,0.04415
2013,5th Quintile,male,Yes,0.81131,2450,2579,0.79621,0.82641
2013,5th Quintile,male,No,0.03807,129,2579,0.03069,0.04546
2013,5th Quintile,female,Yes,0.79664,2450,2583,0.78111,0.81216
2013,5th Quintile,female,No,0.03861,133,2583,0.03118,0.04604
2014,1st Quintile,male,Yes,0.48275,1275,1394,0.45651,0.50900
2014,1st Quintile,male,No,0.03495,119,1394,0.02531,0.04460
2014,1st Quintile,female,Yes,0.57058,2040,2221,0.54999,0.59118
2014,1st Quintile,female,No,0.03450,181,2221,0.02691,0.04209
2014,2nd Quintile,male,Yes,0.59638,1634,1739,0.57332,0.61945
2014,2nd Quintile,male,No,0.03012,105,1739,0.02209,0.03816
2014,2nd Quintile,female,Yes,0.64515,2133,2284,0.62552,0.66478
2014,2nd Quintile,female,No,0.03400,151,2284,0.02657,0.04144
2014,3rd Quintile,male,Yes,0.68072,1825,1918,0.65985,0.70158
2014,3rd Quintile,male,No,0.02831,93,1918,0.02089,0.03574
2014,3rd Quintile,female,Yes,0.69329,2108,2238,0.67418,0.71240
2014,3rd Quintile,female,No,0.03638,130,2238,0.02862,0.04414
2014,4th Quintile,male,Yes,0.75548,2045,2146,0.73729,0.77367
2014,4th Quintile,male,No,0.02980,101,2146,0.02260,0.03700
2014,4th Quintile,female,Yes,0.74387,2182,2290,0.72599,0.76176
2014,4th Quintile,female,No,0.02920,108,2290,0.02230,0.03610
2014,5th Quintile,male,Yes,0.78260,2303,2400,0.76610,0.79911
