year,bula_h,regtyp,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Schleswig-Holstein,Urban regions,Yes,0.96723,232,232,0.94427,0.99019
2012,Schleswig-Holstein,Rural regions,Yes,0.95414,611,643,0.93796,0.97032
2012,Schleswig-Holstein,Rural regions,No,0.04586,32,643,0.02968,0.06204
2012,Hamburg,Urban regions,Yes,0.95681,365,365,0.93593,0.97769
2012,Lower Saxony,Urban regions,Yes,0.96387,905,945,0.95196,0.97577
2012,Lower Saxony,Urban regions,No,0.03613,40,945,0.02423,0.04804
2012,Lower Saxony,Rural regions,Yes,0.94607,1303,1364,0.93408,0.95806
2012,Lower Saxony,Rural regions,No,0.05393,61,1364,0.04194,0.06592
2012,Bremen,Urban regions,Yes,0.92335,153,153,0.88105,0.96564
2012,North Rhine-Westphalia,Urban regions,Yes,0.93365,4154,4488,0.92637,0.94093
2012,North Rhine-Westphalia,Urban regions,No,0.06635,334,4488,0.05907,0.07363
2012,North Rhine-Westphalia,Rural regions,Yes,0.88215,116,116,0.82322,0.94108
2012,Hesse,Urban regions,Yes,0.92577,1138,1239,0.91117,0.94038
2012,Hesse,Urban regions,No,0.07423,101,1239,0.05962,0.08883
2012,Hesse,Rural regions,Yes,0.93950,320,320,0.91333,0.96566
2012,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.93095,937,1001,0.91524,0.94667
2012,"Rhineland-Palatinate, Saarland",Urban regions,No,0.06905,64,1001,0.05333,0.08476
2012,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.93941,352,352,0.91445,0.96437
2012,Baden-Wuerttemberg,Urban regions,Yes,0.88655,2228,2462,0.87402,0.89908
2012,Baden-Wuerttemberg,Urban regions,No,0.11345,234,2462,0.10092,0.12598
2012,Baden-Wuerttemberg,Rural regions,Yes,0.93277,295,295,0.90414,0.96139
2012,Bavaria,Urban regions,Yes,0.90451,1454,1623,0.89021,0.91881
2012,Bavaria,Urban regions,No,0.09549,169,1623,0.08119,0.10979
2012,Bavaria,Rural regions,Yes,0.92897,2022,2188,0.91820,0.93973
2012,Bavaria,Rural regions,No,0.07103,166,2188,0.06027,0.08180
2012,Berlin,Urban regions,Yes,0.94081,899,951,0.92581,0.95582
2012,Berlin,Urban regions,No,0.05919,52,951,0.04418,0.07419
2012,Brandenburg,Urban regions,Yes,0.92550,79,79,0.86722,0.98377
2012,Brandenburg,Rural regions,Yes,0.96121,949,984,0.94914,0.97328
2012,Brandenburg,Rural regions,No,0.03879,35,984,0.02672,0.05086
2012,Mecklenburg-Western Pomerania,Urban regions,Yes,0.93675,52,52,0.86995,1.00356
2012,Mecklenburg-Western Pomerania,Rural regions,Yes,0.93840,538,570,0.91865,0.95816
2012,Mecklenburg-Western Pomerania,Rural regions,No,0.06160,32,570,0.04184,0.08135
2012,Saxony,Urban regions,Yes,0.97511,895,895,0.96490,0.98532
2012,Saxony,Rural regions,Yes,0.95943,849,849,0.94615,0.97271
2012,Saxony-Anhalt,Urban regions,Yes,0.93078,187,187,0.89431,0.96726
2012,Saxony-Anhalt,Rural regions,Yes,0.97496,794,794,0.96408,0.98583
2012,Thuringa,Urban regions,Yes,0.95283,309,309,0.92915,0.97650
2012,Thuringa,Rural regions,Yes,0.95438,723,723,0.93916,0.96960
2013,Schleswig-Holstein,Urban regions,Yes,0.91947,213,213,0.88284,0.95610
2013,Schleswig-Holstein,Rural regions,Yes,0.95916,583,628,0.94367,0.97465
2013,Schleswig-Holstein,Rural regions,No,0.04084,45,628,0.02535,0.05633
2013,Hamburg,Urban regions,Yes,0.92955,342,388,0.90405,0.95504
2013,Hamburg,Urban regions,No,0.07045,46,388,0.04496,0.09595
2013,Lower Saxony,Urban regions,Yes,0.94723,883,957,0.93305,0.96140
2013,Lower Saxony,Urban regions,No,0.05277,74,957,0.03860,0.06695
2013,Lower Saxony,Rural regions,Yes,0.94568,1285,1365,0.93365,0.95771
2013,Lower Saxony,Rural regions,No,0.05432,80,1365,0.04229,0.06635
2013,Bremen,Urban regions,Yes,0.85694,140,140,0.79873,0.91515
2013,North Rhine-Westphalia,Urban regions,Yes,0.92582,4001,4602,0.91825,0.93339
2013,North Rhine-Westphalia,Urban regions,No,0.07418,601,4602,0.06661,0.08175
2013,North Rhine-Westphalia,Rural regions,Yes,0.96780,100,100,0.93303,1.00258
2013,Hesse,Urban regions,Yes,0.90301,1084,1268,0.88671,0.91931
2013,Hesse,Urban regions,No,0.09699,184,1268,0.08069,0.11329
2013,Hesse,Rural regions,Yes,0.94245,288,288,0.91551,0.96940
2013,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.92663,883,987,0.91036,0.94291
2013,"Rhineland-Palatinate, Saarland",Urban regions,No,0.07337,104,987,0.05709,0.08964
2013,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.95355,325,325,0.93064,0.97647
2013,Baden-Wuerttemberg,Urban regions,Yes,0.87959,2104,2466,0.86674,0.89243
2013,Baden-Wuerttemberg,Urban regions,No,0.12041,362,2466,0.10757,0.13326
2013,Baden-Wuerttemberg,Rural regions,Yes,0.94315,283,283,0.91613,0.97018
2013,Bavaria,Urban regions,Yes,0.90209,1438,1658,0.88778,0.91640
2013,Bavaria,Urban regions,No,0.09791,220,1658,0.08360,0.11222
2013,Bavaria,Rural regions,Yes,0.93239,1925,2109,0.92167,0.94310
2013,Bavaria,Rural regions,No,0.06761,184,2109,0.05690,0.07833
2013,Berlin,Urban regions,Yes,0.94012,878,956,0.92508,0.95517
2013,Berlin,Urban regions,No,0.05988,78,956,0.04483,0.07492
2013,Brandenburg,Urban regions,Yes,0.94403,79,79,0.89301,0.99504
2013,Brandenburg,Rural regions,Yes,0.97682,897,897,0.96697,0.98667
2013,Mecklenburg-Western Pomerania,Urban regions,Yes,0.94214,58,58,0.88153,1.00275
2013,Mecklenburg-Western Pomerania,Rural regions,Yes,0.95673,492,492,0.93873,0.97473
2013,Saxony,Urban regions,Yes,0.97507,848,848,0.96458,0.98557
2013,Saxony,Rural regions,Yes,0.94896,790,828,0.93396,0.96396
2013,Saxony,Rural regions,No,0.05104,38,828,0.03604,0.06604
2013,Saxony-Anhalt,Urban regions,Yes,0.93919,192,192,0.90529,0.97308
2013,Saxony-Anhalt,Rural regions,Yes,0.97393,746,746,0.96249,0.98537
2013,Thuringa,Urban regions,Yes,0.97895,291,291,0.96243,0.99547
2013,Thuringa,Rural regions,Yes,0.98380,684,684,0.97433,0.99327
2014,Schleswig-Holstein,Urban regions,Yes,0.97314,177,177,0.94925,0.99702
2014,Schleswig-Holstein,Rural regions,Yes,0.98111,510,510,0.96928,0.99293
2014,Hamburg,Urban regions,Yes,0.96889,294,294,0.94901,0.98877
2014,Lower Saxony,Urban regions,Yes,0.97812,794,830,0.96817,0.98808
2014,Lower Saxony,Urban regions,No,0.02188,36,830,0.01192,0.03183
2014,Lower Saxony,Rural regions,Yes,0.96285,1194,1246,0.95234,0.97335
2014,Lower Saxony,Rural regions,No,0.03715,52,1246,0.02665,0.04766
2014,Bremen,Urban regions,Yes,0.90367,128,128,0.85235,0.95498
2014,North Rhine-Westphalia,Urban regions,Yes,0.95464,3637,3876,0.94809,0.96119
2014,North Rhine-Westphalia,Urban regions,No,0.04536,239,3876,0.03881,0.05191
2014,North Rhine-Westphalia,Rural regions,Yes,0.95583,89,89,0.91290,0.99876
2014,Hesse,Urban regions,Yes,0.93112,987,1071,0.91594,0.94629
2014,Hesse,Urban regions,No,0.06888,84,1071,0.05371,0.08406
2014,Hesse,Rural regions,Yes,0.96862,251,251,0.94701,0.99023
2014,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.95216,785,839,0.93771,0.96661
2014,"Rhineland-Palatinate, Saarland",Urban regions,No,0.04784,54,839,0.03339,0.06229
2014,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.95218,292,292,0.92766,0.97670
2014,Baden-Wuerttemberg,Urban regions,Yes,0.91893,1857,2029,0.90705,0.93081
2014,Baden-Wuerttemberg,Urban regions,No,0.08107,172,2029,0.06919,0.09295
2014,Baden-Wuerttemberg,Rural regions,Yes,0.96469,257,257,0.94208,0.98730
2014,Bavaria,Urban regions,Yes,0.93057,1346,1479,0.91761,0.94353
2014,Bavaria,Urban regions,No,0.06943,133,1479,0.05647,0.08239
2014,Bavaria,Rural regions,Yes,0.96056,1763,1870,0.95174,0.96939
2014,Bavaria,Rural regions,No,0.03944,107,1870,0.03061,0.04826
2014,Berlin,Urban regions,Yes,0.95662,775,824,0.94271,0.97054
2014,Berlin,Urban regions,No,0.04338,49,824,0.02946,0.05729
2014,Brandenburg,Urban regions,Yes,0.94166,78,78,0.88931,0.99401
2014,Brandenburg,Rural regions,Yes,0.97537,820,820,0.96475,0.98598
2014,Mecklenburg-Western Pomerania,Urban regions,Yes,0.95498,50,50,0.89692,1.01304
2014,Mecklenburg-Western Pomerania,Rural regions,Yes,0.97173,470,470,0.95673,0.98673
2014,Saxony,Urban regions,Yes,0.98978,781,781,0.98273,0.99684
2014,Saxony,Rural regions,Yes,0.95941,714,714,0.94492,0.97389
2014,Saxony-Anhalt,Urban regions,Yes,0.97703,183,183,0.95526,0.99879
2014,Saxony-Anhalt,Rural regions,Yes,0.98917,680,680,0.98139,0.99696
2014,Thuringa,Urban regions,Yes,0.96650,270,270,0.94500,0.98801
2014,Thuringa,Rural regions,Yes,0.96421,646,646,0.94987,0.97855
2015,Schleswig-Holstein,Urban regions,Yes,0.95692,174,174,0.92666,0.98717
2015,Schleswig-Holstein,Rural regions,Yes,0.95510,500,533,0.93750,0.97270
2015,Schleswig-Holstein,Rural regions,No,0.04490,33,533,0.02730,0.06250
2015,Hamburg,Urban regions,Yes,0.92082,295,327,0.89151,0.95013
2015,Hamburg,Urban regions,No,0.07918,32,327,0.04987,0.10849
2015,Lower Saxony,Urban regions,Yes,0.97429,744,790,0.96325,0.98534
2015,Lower Saxony,Urban regions,No,0.02571,46,790,0.01466,0.03675
2015,Lower Saxony,Rural regions,Yes,0.95905,1145,1210,0.94788,0.97022
2015,Lower Saxony,Rural regions,No,0.04095,65,1210,0.02978,0.05212
2015,Bremen,Urban regions,Yes,0.88801,106,106,0.82769,0.94833
2015,North Rhine-Westphalia,Urban regions,Yes,0.93653,3447,3804,0.92878,0.94428
2015,North Rhine-Westphalia,Urban regions,No,0.06347,357,3804,0.05572,0.07122
2015,North Rhine-Westphalia,Rural regions,Yes,0.89998,84,84,0.83543,0.96452
2015,Hesse,Urban regions,Yes,0.93021,943,1039,0.91471,0.94571
2015,Hesse,Urban regions,No,0.06979,96,1039,0.05429,0.08529
2015,Hesse,Rural regions,Yes,0.94769,243,243,0.91964,0.97574
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.93687,761,821,0.92023,0.95352
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.06313,60,821,0.04648,0.07977
2015,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.92520,295,295,0.89513,0.95527
2015,Baden-Wuerttemberg,Urban regions,Yes,0.90799,1793,1990,0.89529,0.92070
2015,Baden-Wuerttemberg,Urban regions,No,0.09201,197,1990,0.07930,0.10471
2015,Baden-Wuerttemberg,Rural regions,Yes,0.96274,244,244,0.93893,0.98656
2015,Bavaria,Urban regions,Yes,0.91522,1291,1458,0.90091,0.92952
2015,Bavaria,Urban regions,No,0.08478,167,1458,0.07048,0.09909
2015,Bavaria,Rural regions,Yes,0.94446,1710,1844,0.93400,0.95492
2015,Bavaria,Rural regions,No,0.05554,134,1844,0.04508,0.06600
2015,Berlin,Urban regions,Yes,0.95068,746,791,0.93558,0.96578
2015,Berlin,Urban regions,No,0.04932,45,791,0.03422,0.06442
2015,Brandenburg,Urban regions,Yes,0.95576,71,71,0.90759,1.00393
2015,Brandenburg,Rural regions,Yes,0.97719,799,799,0.96683,0.98755
2015,Mecklenburg-Western Pomerania,Rural regions,Yes,0.96750,466,466,0.95139,0.98362
2015,Saxony,Urban regions,Yes,0.98107,756,756,0.97135,0.99079
2015,Saxony,Rural regions,Yes,0.95819,647,681,0.94315,0.97324
2015,Saxony,Rural regions,No,0.04181,34,681,0.02676,0.05685
2015,Saxony-Anhalt,Urban regions,Yes,0.97805,174,174,0.95622,0.99989
2015,Saxony-Anhalt,Rural regions,Yes,0.96629,638,638,0.95227,0.98031
2015,Thuringa,Urban regions,Yes,0.95753,257,257,0.93282,0.98223
2015,Thuringa,Rural regions,Yes,0.96544,609,609,0.95092,0.97996
2016,Schleswig-Holstein,Urban regions,Yes,0.96086,162,162,0.93091,0.99082
2016,Schleswig-Holstein,Rural regions,Yes,0.96411,463,463,0.94715,0.98107
2016,Hamburg,Urban regions,Yes,0.92174,282,316,0.89208,0.95140
2016,Hamburg,Urban regions,No,0.07826,34,316,0.04860,0.10792
2016,Lower Saxony,Urban regions,Yes,0.97127,698,735,0.95919,0.98336
2016,Lower Saxony,Urban regions,No,0.02873,37,735,0.01664,0.04081
2016,Lower Saxony,Rural regions,Yes,0.94544,1079,1149,0.93230,0.95857
2016,Lower Saxony,Rural regions,No,0.05456,70,1149,0.04143,0.06770
2016,Bremen,Urban regions,Yes,0.94932,109,109,0.90795,0.99069
2016,North Rhine-Westphalia,Urban regions,Yes,0.93949,3253,3571,0.93167,0.94731
2016,North Rhine-Westphalia,Urban regions,No,0.06051,318,3571,0.05269,0.06833
2016,North Rhine-Westphalia,Rural regions,Yes,0.93794,85,85,0.88634,0.98953
2016,Hesse,Urban regions,Yes,0.93382,877,952,0.91802,0.94962
2016,Hesse,Urban regions,No,0.06618,75,952,0.05038,0.08198
2016,Hesse,Rural regions,Yes,0.95151,204,204,0.92195,0.98106
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.93435,718,772,0.91687,0.95183
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.06565,54,772,0.04817,0.08313
2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.95550,278,278,0.93121,0.97978
2016,Baden-Wuerttemberg,Urban regions,Yes,0.90445,1634,1828,0.89097,0.91793
2016,Baden-Wuerttemberg,Urban regions,No,0.09555,194,1828,0.08207,0.10903
2016,Baden-Wuerttemberg,Rural regions,Yes,0.97320,234,234,0.95246,0.99394
2016,Bavaria,Urban regions,Yes,0.91725,1197,1331,0.90245,0.93206
2016,Bavaria,Urban regions,No,0.08275,134,1331,0.06794,0.09755
2016,Bavaria,Rural regions,Yes,0.94028,1539,1668,0.92890,0.95165
2016,Bavaria,Rural regions,No,0.05972,129,1668,0.04835,0.07110
2016,Berlin,Urban regions,Yes,0.93811,698,747,0.92082,0.95540
2016,Berlin,Urban regions,No,0.06189,49,747,0.04460,0.07918
2016,Brandenburg,Urban regions,Yes,0.85423,65,65,0.76777,0.94068
2016,Brandenburg,Rural regions,Yes,0.96821,751,751,0.95566,0.98077
2016,Mecklenburg-Western Pomerania,Urban regions,Yes,0.99523,52,52,0.97632,1.01414
2016,Mecklenburg-Western Pomerania,Rural regions,Yes,0.94504,420,420,0.92322,0.96686
2016,Saxony,Urban regions,Yes,0.97961,713,713,0.96923,0.98999
2016,Saxony,Rural regions,Yes,0.95532,619,656,0.93949,0.97114
2016,Saxony,Rural regions,No,0.04468,37,656,0.02886,0.06051
2016,Saxony-Anhalt,Urban regions,Yes,0.96480,159,159,0.93607,0.99354
2016,Saxony-Anhalt,Rural regions,Yes,0.96386,597,597,0.94888,0.97885
2016,Thuringa,Urban regions,Yes,0.97827,246,246,0.96001,0.99652
2016,Thuringa,Rural regions,Yes,0.98191,568,568,0.97094,0.99288
2017,Schleswig-Holstein,Urban regions,Yes,0.97484,229,229,0.95450,0.99517
2017,Schleswig-Holstein,Rural regions,Yes,0.96385,527,527,0.94790,0.97980
2017,Hamburg,Urban regions,Yes,0.93308,321,359,0.90719,0.95896
2017,Hamburg,Urban regions,No,0.06692,38,359,0.04104,0.09281
2017,Lower Saxony,Urban regions,Yes,0.96574,838,891,0.95379,0.97769
