year,bula_h,sampreg,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,Schleswig-Holstein,West,Yes,0.95798,843,890,0.94479,0.97117
2012,Schleswig-Holstein,West,No,0.04202,47,890,0.02883,0.05521
2012,Hamburg,West,Yes,0.95681,365,365,0.93593,0.97769
2012,Lower Saxony,West,Yes,0.95371,2208,2309,0.94513,0.96228
2012,Lower Saxony,West,No,0.04629,101,2309,0.03772,0.05487
2012,Bremen,West,Yes,0.92335,153,153,0.88105,0.96564
2012,North Rhine-Westphalia,West,Yes,0.93229,4270,4617,0.92504,0.93954
2012,North Rhine-Westphalia,West,No,0.06771,347,4617,0.06046,0.07496
2012,Hesse,West,Yes,0.92888,1458,1588,0.91623,0.94152
2012,Hesse,West,No,0.07112,130,1588,0.05848,0.08377
2012,"Rhineland-Palatinate, Saarland",West,Yes,0.93314,1289,1369,0.91990,0.94637
2012,"Rhineland-Palatinate, Saarland",West,No,0.06686,80,1369,0.05363,0.08010
2012,Baden-Wuerttemberg,West,Yes,0.89163,2523,2782,0.88008,0.90319
2012,Baden-Wuerttemberg,West,No,0.10837,259,2782,0.09681,0.11992
2012,Bavaria,West,Yes,0.91758,3476,3811,0.90885,0.92631
2012,Bavaria,West,No,0.08242,335,3811,0.07369,0.09115
2012,Berlin,West,Yes,0.93821,473,473,0.91649,0.95993
2012,Berlin,East,Yes,0.94393,426,426,0.92206,0.96581
2012,Brandenburg,East,Yes,0.95854,1028,1067,0.94657,0.97051
2012,Brandenburg,East,No,0.04146,39,1067,0.02949,0.05343
2012,Mecklenburg-Western Pomerania,East,Yes,0.93829,590,626,0.91942,0.95715
2012,Mecklenburg-Western Pomerania,East,No,0.06171,36,626,0.04285,0.08058
2012,Saxony,East,Yes,0.96696,1744,1804,0.95870,0.97521
2012,Saxony,East,No,0.03304,60,1804,0.02479,0.04130
2012,Saxony-Anhalt,East,Yes,0.96671,981,1021,0.95570,0.97772
2012,Saxony-Anhalt,East,No,0.03329,40,1021,0.02228,0.04430
2012,Thuringa,East,Yes,0.95390,1032,1068,0.94132,0.96648
2012,Thuringa,East,No,0.04610,36,1068,0.03352,0.05868
2013,Schleswig-Holstein,West,Yes,0.94802,796,866,0.93322,0.96281
2013,Schleswig-Holstein,West,No,0.05198,70,866,0.03719,0.06678
2013,Hamburg,West,Yes,0.92955,342,388,0.90405,0.95504
2013,Hamburg,West,No,0.07045,46,388,0.04496,0.09595
2013,Lower Saxony,West,Yes,0.94632,2168,2322,0.93715,0.95549
