year,age_gr,sex,plj0175,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2012,17-29 y.,male,Yes,0.72529,1494,1667,0.70386,0.74673
2012,17-29 y.,male,No,0.08773,173,1667,0.07414,0.10131
2012,17-29 y.,female,Yes,0.70324,1681,1854,0.68244,0.72404
2012,17-29 y.,female,No,0.08408,173,1854,0.07144,0.09671
2012,30-45 y.,male,Yes,0.76689,2931,3140,0.75210,0.78168
2012,30-45 y.,male,No,0.05467,209,3140,0.04672,0.06262
2012,30-45 y.,female,Yes,0.74137,4134,4418,0.72846,0.75428
2012,30-45 y.,female,No,0.04882,284,4418,0.04247,0.05518
2012,46-65 y.,male,Yes,0.82960,3768,3970,0.81790,0.84130
2012,46-65 y.,male,No,0.04607,202,3970,0.03955,0.05260
2012,46-65 y.,female,Yes,0.80180,4251,4534,0.79019,0.81340
2012,46-65 y.,female,No,0.05113,283,4534,0.04471,0.05754
2012,66 and older,male,Yes,0.84724,2224,2344,0.83267,0.86180
2012,66 and older,male,No,0.04213,120,2344,0.03400,0.05026
2012,66 and older,female,Yes,0.87436,2376,2527,0.86144,0.88729
2012,66 and older,female,No,0.05629,151,2527,0.04730,0.06528
2013,17-29 y.,male,Yes,0.68372,1405,1847,0.66251,0.70493
2013,17-29 y.,male,No,0.12528,442,1847,0.11018,0.14038
2013,17-29 y.,female,Yes,0.67238,1591,2014,0.65187,0.69288
2013,17-29 y.,female,No,0.11371,423,2014,0.09984,0.12757
2013,30-45 y.,male,Yes,0.71979,2677,3037,0.70381,0.73576
2013,30-45 y.,male,No,0.06777,360,3037,0.05883,0.07671
2013,30-45 y.,female,Yes,0.71540,3766,4230,0.70180,0.72900
2013,30-45 y.,female,No,0.06803,464,4230,0.06044,0.07562
2013,46-65 y.,male,Yes,0.83408,3701,3904,0.82241,0.84575
2013,46-65 y.,male,No,0.04453,203,3904,0.03806,0.05100
2013,46-65 y.,female,Yes,0.81420,4186,4434,0.80275,0.82565
2013,46-65 y.,female,No,0.04194,248,4434,0.03604,0.04784
2013,66 and older,male,Yes,0.88357,2179,2257,0.87034,0.89681
2013,66 and older,male,No,0.02832,78,2257,0.02148,0.03517
2013,66 and older,female,Yes,0.90111,2327,2415,0.88920,0.91302
2013,66 and older,female,No,0.03274,88,2415,0.02564,0.03984
2014,17-29 y.,male,Yes,0.68429,1327,1476,0.66057,0.70801
2014,17-29 y.,male,No,0.05427,149,1476,0.04271,0.06584
2014,17-29 y.,female,Yes,0.66105,1401,1597,0.63783,0.68427
2014,17-29 y.,female,No,0.06591,196,1597,0.05374,0.07809
2014,30-45 y.,male,Yes,0.69703,2218,2375,0.67854,0.71552
2014,30-45 y.,male,No,0.03877,157,2375,0.03100,0.04653
2014,30-45 y.,female,Yes,0.71997,3146,3344,0.70475,0.73519
2014,30-45 y.,female,No,0.03717,198,3344,0.03076,0.04359
2014,46-65 y.,male,Yes,0.83624,3401,3535,0.82404,0.84844
2014,46-65 y.,male,No,0.03126,134,3535,0.02552,0.03700
2014,46-65 y.,female,Yes,0.81724,3921,4119,0.80544,0.82905
2014,46-65 y.,female,No,0.03451,198,4119,0.02894,0.04009
2014,66 and older,male,Yes,0.88101,2138,2213,0.86752,0.89451
2014,66 and older,male,No,0.02611,75,2213,0.01947,0.03276
2014,66 and older,female,Yes,0.91009,2276,2360,0.89855,0.92164
2014,66 and older,female,No,0.03009,84,2360,0.02320,0.03699
2015,17-29 y.,male,Yes,0.67533,1282,1496,0.65159,0.69906
2015,17-29 y.,male,No,0.08003,214,1496,0.06627,0.09378
2015,17-29 y.,female,Yes,0.65432,1357,1619,0.63115,0.67750
2015,17-29 y.,female,No,0.08911,262,1619,0.07522,0.10299
2015,30-45 y.,male,Yes,0.69801,2021,2213,0.67887,0.71714
2015,30-45 y.,male,No,0.05345,192,2213,0.04408,0.06283
2015,30-45 y.,female,Yes,0.71171,2850,3112,0.69580,0.72763
2015,30-45 y.,female,No,0.05322,262,3112,0.04533,0.06111
2015,46-65 y.,male,Yes,0.82916,3314,3493,0.81667,0.84164
2015,46-65 y.,male,No,0.04038,179,3493,0.03385,0.04691
2015,46-65 y.,female,Yes,0.80461,3791,4031,0.79237,0.81685
2015,46-65 y.,female,No,0.04179,240,4031,0.03561,0.04797
2015,66 and older,male,Yes,0.87715,2124,2193,0.86340,0.89089
2015,66 and older,male,No,0.02723,69,2193,0.02042,0.03404
2015,66 and older,female,Yes,0.90299,2253,2333,0.89098,0.91500
2015,66 and older,female,No,0.03116,80,2333,0.02411,0.03822
2016,17-29 y.,male,Yes,0.67810,1195,1402,0.65363,0.70256
2016,17-29 y.,male,No,0.08758,207,1402,0.07278,0.10238
2016,17-29 y.,female,Yes,0.65707,1263,1508,0.63310,0.68104
2016,17-29 y.,female,No,0.09146,245,1508,0.07691,0.10602
2016,30-45 y.,male,Yes,0.70244,1805,1961,0.68220,0.72268
2016,30-45 y.,male,No,0.04839,156,1961,0.03889,0.05789
2016,30-45 y.,female,Yes,0.71400,2514,2741,0.69708,0.73092
2016,30-45 y.,female,No,0.05170,227,2741,0.04341,0.05999
2016,46-65 y.,male,Yes,0.81813,3097,3252,0.80487,0.83139
2016,46-65 y.,male,No,0.03956,155,3252,0.03286,0.04626
2016,46-65 y.,female,Yes,0.79093,3615,3854,0.77809,0.80377
2016,46-65 y.,female,No,0.04520,239,3854,0.03864,0.05176
2016,66 and older,male,Yes,0.86368,2047,2121,0.84907,0.87828
2016,66 and older,male,No,0.02750,74,2121,0.02054,0.03447
2016,66 and older,female,Yes,0.89485,2164,2234,0.88213,0.90758
2016,66 and older,female,No,0.02499,70,2234,0.01852,0.03147
2017,17-29 y.,male,Yes,0.68245,1517,1764,0.66072,0.70418
2017,17-29 y.,male,No,0.09264,247,1764,0.07911,0.10618
2017,17-29 y.,female,Yes,0.66569,1505,1766,0.64369,0.68770
2017,17-29 y.,female,No,0.09227,261,1766,0.07877,0.10577
2017,30-45 y.,male,Yes,0.70438,1957,2126,0.68498,0.72378
2017,30-45 y.,male,No,0.05300,169,2126,0.04348,0.06253
2017,30-45 y.,female,Yes,0.69467,2671,2907,0.67792,0.71141
2017,30-45 y.,female,No,0.04857,236,2907,0.04075,0.05638
