year,quintil_oecd,sampreg,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,West,Yes,0.1109264433250859,2562,22287,0.11084101112583951,0.1110118755243323
2012,1st Quintile,West,No,0.010253498165989429,285,22287,0.010226092951068905,0.010280903380909952
2012,1st Quintile,East,Yes,0.0500815695232132,1432,22287,0.050022233652735455,0.05014090539369095
2012,1st Quintile,East,No,0.002570297055004727,58,22287,0.0025565228036620665,0.0025840713063473874
2012,2nd Quintile,West,Yes,0.12792012746661036,2695,22287,0.12782926536684588,0.12801098956637483
2012,2nd Quintile,West,No,0.01042310244395313,258,22287,0.010395473869799486,0.010450731018106773
2012,2nd Quintile,East,Yes,0.045209643837753076,1223,22287,0.04515312349976253,0.04526616417574362
2012,2nd Quintile,East,No,0.0019488098820422634,55,22287,0.0019368122278384694,0.0019608075362460573
2012,3rd Quintile,West,Yes,0.1432777774307274,2960,22287,0.1431824660788265,0.14337308878262828
2012,3rd Quintile,West,No,0.013521653125707985,246,22287,0.01349023401638726,0.013553072235028711
2012,3rd Quintile,East,Yes,0.04498309266811726,1145,22287,0.04492670743491065,0.045039477901323864
2012,3rd Quintile,East,No,0.001623546913936938,39,22287,0.0016125943756114631,0.001634499452262413
2012,4th Quintile,West,Yes,0.16639139465277958,3266,22287,0.16629007779292732,0.16649271151263184
2012,4th Quintile,West,No,0.008578876764767446,191,22287,0.008553787987610759,0.008603965541924134
2012,4th Quintile,East,Yes,0.03625537820268209,919,22287,0.03620452686296644,0.03630622954239774
2012,4th Quintile,East,No,0.001632138120381382,40,22287,0.0016211566891597068,0.001643119551603057
2012,5th Quintile,West,Yes,0.18815326425563736,3980,22287,0.18804694104106576,0.18825958747020896
2012,5th Quintile,West,No,0.012301523035828333,221,22287,0.01227153646322824,0.012331509608428427
2012,5th Quintile,East,Yes,0.022801255704650608,681,22287,0.022760648225672395,0.02284186318362882
2012,5th Quintile,East,No,0.001146607425131487,31,22287,0.0011374009487158808,0.0011558139015470934
2013,1st Quintile,West,Yes,0.10421207007574491,2459,22847,0.10413194534503044,0.10429219480645939
2013,1st Quintile,West,No,0.007466974682948455,279,22847,0.0074443985376810885,0.007489550828215822
2013,1st Quintile,East,Yes,0.05174957869059387,1428,22847,0.05169148621292452,0.05180767116826322
2013,1st Quintile,East,No,0.0017461012124365596,45,22847,0.0017351525722659974,0.0017570498526071217
2013,2nd Quintile,West,Yes,0.12556560657928395,2766,22847,0.12547870974934647,0.12565250340922143
2013,2nd Quintile,West,No,0.006786693650583171,244,22847,0.006765163089092555,0.006808224212073788
2013,2nd Quintile,East,Yes,0.0500151804513277,1446,22847,0.04995801755557871,0.050072343347076685
2013,2nd Quintile,East,No,0.0011596650532208113,48,22847,0.001150739825840951,0.0011685902806006716
2013,3rd Quintile,West,Yes,0.14654033825119125,3109,22847,0.14644759654898068,0.14663307995340183
2013,3rd Quintile,West,No,0.00950361550093517,231,22847,0.009478172060003327,0.009529058941867013
2013,3rd Quintile,East,Yes,0.04326451963447916,1102,22847,0.043211165650825036,0.04331787361813328
2013,3rd Quintile,East,No,0.001462380061632454,37,22847,0.0014523589174040557,0.0014724012058608524
2013,4th Quintile,West,Yes,0.17691219468753455,3498,22847,0.17681212398767573,0.17701226538739337
2013,4th Quintile,West,No,0.008965769961726006,198,22847,0.008941050267645393,0.00899048965580662
2013,4th Quintile,East,Yes,0.034530224646789634,849,22847,0.0344823424561452,0.03457810683743407
2013,5th Quintile,West,Yes,0.19858105643816318,4239,22847,0.19847643909690896,0.1986856737794174
2013,5th Quintile,West,No,0.009955049729137072,245,22847,0.009929014935372054,0.00998108452290209
2013,5th Quintile,East,Yes,0.02158298069227203,624,22847,0.021544872119967022,0.021621089264577037
2014,1st Quintile,West,Yes,0.10267454474382844,2084,20965,0.10259524704354504,0.10275384244411183
2014,1st Quintile,West,No,0.00807426836870534,251,20965,0.008050888322025801,0.008097648415384878
2014,1st Quintile,East,Yes,0.046570959726404626,1205,20965,0.04651590989573217,0.04662600955707708
2014,1st Quintile,East,No,0.0015322455973940457,42,20965,0.0015220271381148679,0.0015424640566732235
2014,2nd Quintile,West,Yes,0.1279484994124308,2482,20965,0.12786123385426243,0.12803576497059918
2014,2nd Quintile,West,No,0.00795383703965376,230,20965,0.007930630601336575,0.007977043477970944
2014,2nd Quintile,East,Yes,0.04947926746017824,1308,20965,0.04942261136575066,0.04953592355460583
2014,2nd Quintile,East,No,0.0013726405303574256,34,20965,0.0013629681282084402,0.001382312932506411
2014,3rd Quintile,West,Yes,0.15024337440900093,2843,20965,0.15015002767019506,0.1503367211478068
2014,3rd Quintile,West,No,0.008582675602831831,186,20965,0.008558576892227518,0.008606774313436144
2014,3rd Quintile,East,Yes,0.04426288952535704,1090,20965,0.044209156250360725,0.04431662280035336
2014,3rd Quintile,East,No,0.001146178855739564,36,20965,0.001137339281054111,0.0011550184304250169
2014,4th Quintile,West,Yes,0.17758311229864734,3387,20965,0.1774832731090928,0.1776829514882019
2014,4th Quintile,West,No,0.007801866316683694,182,20965,0.007778880885201529,0.00782485174816586
2014,4th Quintile,East,Yes,0.03543305187791562,832,20965,0.03538475437540049,0.03548134938043075
2014,5th Quintile,West,Yes,0.19768771812688424,3973,20965,0.1975836744312249,0.19779176182254357
2014,5th Quintile,West,No,0.00799186645216039,180,20965,0.007968605047786837,0.008015127856533941
2014,5th Quintile,East,Yes,0.02366100365582676,620,20965,0.02362129628745528,0.023700711024198243
