year,quintil_oecd,plj0175,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2012,1st Quintile,Yes,0.92623,3994,22287,0.92606,0.92640
2012,1st Quintile,No,0.07377,343,22287,0.07360,0.07394
2012,2nd Quintile,Yes,0.93331,3918,22287,0.93315,0.93346
2012,2nd Quintile,No,0.06669,313,22287,0.06654,0.06685
2012,3rd Quintile,Yes,0.92554,4105,22287,0.92538,0.92570
2012,3rd Quintile,No,0.07446,285,22287,0.07430,0.07462
2012,4th Quintile,Yes,0.95203,4185,22287,0.95190,0.95215
2012,4th Quintile,No,0.04797,231,22287,0.04785,0.04810
2012,5th Quintile,Yes,0.94007,4661,22287,0.93994,0.94021
2012,5th Quintile,No,0.05993,252,22287,0.05979,0.06006
2013,1st Quintile,Yes,0.94422,3887,22886,0.94407,0.94437
2013,1st Quintile,No,0.05578,324,22886,0.05563,0.05593
2013,2nd Quintile,Yes,0.95670,4212,22886,0.95658,0.95683
2013,2nd Quintile,No,0.04330,292,22886,0.04317,0.04342
2013,3rd Quintile,Yes,0.94538,4211,22886,0.94525,0.94551
2013,3rd Quintile,No,0.05462,268,22886,0.05449,0.05475
2013,4th Quintile,Yes,0.95638,4347,22886,0.95626,0.95649
2013,4th Quintile,No,0.04362,218,22886,0.04351,0.04374
2013,5th Quintile,Yes,0.95377,4863,22886,0.95365,0.95388
2013,5th Quintile,No,0.04623,264,22886,0.04612,0.04635
2014,1st Quintile,Yes,0.93953,3289,21015,0.93937,0.93968
2014,1st Quintile,No,0.06047,293,21015,0.06032,0.06063
2014,2nd Quintile,Yes,0.95006,3790,21015,0.94993,0.95019
2014,2nd Quintile,No,0.04994,264,21015,0.04981,0.05007
2014,3rd Quintile,Yes,0.95236,3933,21015,0.95224,0.95249
2014,3rd Quintile,No,0.04764,222,21015,0.04751,0.04776
2014,4th Quintile,Yes,0.96117,4219,21015,0.96106,0.96127
2014,4th Quintile,No,0.03883,211,21015,0.03873,0.03894
2014,5th Quintile,Yes,0.96181,4593,21015,0.96171,0.96191
2014,5th Quintile,No,0.03819,201,21015,0.03809,0.03829
2015,1st Quintile,Yes,0.91786,3001,20358,0.91768,0.91803
2015,1st Quintile,No,0.08214,393,20358,0.08197,0.08232
2015,2nd Quintile,Yes,0.94853,3822,20358,0.94840,0.94866
2015,2nd Quintile,No,0.05147,282,20358,0.05134,0.05160
2015,3rd Quintile,Yes,0.94136,3748,20358,0.94123,0.94150
2015,3rd Quintile,No,0.05864,290,20358,0.05850,0.05877
2015,4th Quintile,Yes,0.94854,3960,20358,0.94841,0.94866
2015,4th Quintile,No,0.05146,247,20358,0.05134,0.05159
2015,5th Quintile,Yes,0.94690,4364,20358,0.94678,0.94703
2015,5th Quintile,No,0.05310,251,20358,0.05297,0.05322
2016,1st Quintile,Yes,0.91467,2816,19069,0.91449,0.91485
2016,1st Quintile,No,0.08533,348,19069,0.08515,0.08551
2016,2nd Quintile,Yes,0.93614,3506,19069,0.93600,0.93629
2016,2nd Quintile,No,0.06386,315,19069,0.06371,0.06400
2016,3rd Quintile,Yes,0.94848,3575,19069,0.94836,0.94861
2016,3rd Quintile,No,0.05152,239,19069,0.05139,0.05164
2016,4th Quintile,Yes,0.94640,3707,19069,0.94627,0.94652
2016,4th Quintile,No,0.05360,241,19069,0.05348,0.05373
2016,5th Quintile,Yes,0.94958,4092,19069,0.94947,0.94970
2016,5th Quintile,No,0.05042,230,19069,0.05030,0.05053
2017,1st Quintile,Yes,0.91197,2643,18208,0.91177,0.91217
2017,1st Quintile,No,0.08803,350,18208,0.08783,0.08823
2017,2nd Quintile,Yes,0.94647,3378,18208,0.94632,0.94661
2017,2nd Quintile,No,0.05353,293,18208,0.05339,0.05368
2017,3rd Quintile,Yes,0.94160,3426,18208,0.94146,0.94175
2017,3rd Quintile,No,0.05840,229,18208,0.05825,0.05854
2017,4th Quintile,Yes,0.94747,3564,18208,0.94733,0.94760
2017,4th Quintile,No,0.05253,220,18208,0.05240,0.05267
2017,5th Quintile,Yes,0.95051,3883,18208,0.95039,0.95064
2017,5th Quintile,No,0.04949,222,18208,0.04936,0.04961
2018,1st Quintile,Yes,0.91010,2804,20033,0.90990,0.91029
2018,1st Quintile,No,0.08990,361,20033,0.08971,0.09010
2018,2nd Quintile,Yes,0.93272,3754,20033,0.93257,0.93288
2018,2nd Quintile,No,0.06728,354,20033,0.06712,0.06743
2018,3rd Quintile,Yes,0.94100,3764,20033,0.94086,0.94113
2018,3rd Quintile,No,0.05900,270,20033,0.05887,0.05914
2018,4th Quintile,Yes,0.94258,3850,20033,0.94245,0.94271
2018,4th Quintile,No,0.05742,235,20033,0.05729,0.05755
2018,5th Quintile,Yes,0.95407,4403,20033,0.95396,0.95418
2018,5th Quintile,No,0.04593,238,20033,0.04582,0.04604
2020,1st Quintile,Yes,0.91040,2661,19940,0.91021,0.91058
2020,1st Quintile,No,0.08960,357,19940,0.08942,0.08979
2020,2nd Quintile,Yes,0.94059,3430,19940,0.94045,0.94073
2020,2nd Quintile,No,0.05941,274,19940,0.05927,0.05955
2020,3rd Quintile,Yes,0.94258,3517,19940,0.94244,0.94271
2020,3rd Quintile,No,0.05742,264,19940,0.05729,0.05756
