year,plh0188,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Agree completely,0.02895,779,4404,0.02400,0.03390
1990,Agree,0.07166,1960,4404,0.06404,0.07928
1990,Disagree,0.04850,1343,4404,0.04216,0.05485
1990,Disagree completely,0.01221,322,4404,0.00897,0.01546
1991,Agree completely,0.02541,627,4157,0.02063,0.03019
1991,Agree,0.06897,1723,4157,0.06127,0.07667
1991,Disagree,0.05692,1390,4157,0.04988,0.06397
1991,Disagree completely,0.01771,417,4157,0.01370,0.02172
1992,Agree completely,0.10653,1559,10944,0.10075,0.11232
1992,Agree,0.35325,5151,10944,0.34429,0.36220
1992,Disagree,0.24938,3443,10944,0.24127,0.25748
1992,Disagree completely,0.05821,791,10944,0.05383,0.06260
1993,Agree completely,0.08636,1436,13028,0.08153,0.09118
1993,Agree,0.33275,5568,13028,0.32466,0.34084
1993,Disagree,0.30706,4687,13028,0.29914,0.31499
1993,Disagree completely,0.09133,1337,13028,0.08639,0.09628
1995,Agree completely,0.11581,1917,13218,0.11035,0.12126
1995,Agree,0.41606,6940,13218,0.40765,0.42446
1995,Disagree,0.23801,3711,13218,0.23075,0.24527
1995,Disagree completely,0.04662,650,13218,0.04302,0.05021
1996,Agree completely,0.10522,1745,13003,0.09994,0.11049
1996,Agree,0.39474,6421,13003,0.38634,0.40314
1996,Disagree,0.26844,4086,13003,0.26082,0.27606
1996,Disagree completely,0.04988,751,13003,0.04614,0.05363
1997,Agree completely,0.06884,1102,12772,0.06445,0.07324
1997,Agree,0.33367,5340,12772,0.32549,0.34185
1997,Disagree,0.32540,5068,12772,0.31727,0.33352
1997,Disagree completely,0.09099,1262,12772,0.08601,0.09598
2008,Agree completely,0.08385,2077,19246,0.07994,0.08777
2008,Agree,0.38808,9054,19246,0.38119,0.39496
2008,Disagree,0.30166,6817,19246,0.29518,0.30815
2008,Disagree completely,0.06224,1298,19246,0.05883,0.06566
2013,Agree completely,0.10999,3003,18788,0.10552,0.11446
2013,Agree,0.40160,10936,18788,0.39459,0.40861
2013,Disagree,0.17073,4228,18788,0.16534,0.17611
2013,Disagree completely,0.02524,621,18788,0.02300,0.02748
2018,Agree completely,0.13305,4310,25458,0.12888,0.13722
2018,Agree,0.43287,13551,25458,0.42678,0.43896
2018,Disagree,0.22360,6376,25458,0.21848,0.22871
2018,Disagree completely,0.04167,1221,25458,0.03921,0.04412
