year,quintil_oecd_hh,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Tenant,Very Inexpensive,0.06407,50,913,0.04817,0.07996
1984,1st Quintile,Tenant,Inexpensive,0.22281,198,913,0.19580,0.24982
1984,1st Quintile,Tenant,Reasonable,0.46169,420,913,0.42934,0.49405
1984,1st Quintile,Tenant,Slightly Expensive,0.14753,171,913,0.12451,0.17054
1984,1st Quintile,Tenant,Too Expensive,0.05818,74,913,0.04299,0.07338
1984,2nd Quintile,Tenant,Very Inexpensive,0.07913,58,797,0.06038,0.09788
1984,2nd Quintile,Tenant,Inexpensive,0.24082,201,797,0.21112,0.27052
1984,2nd Quintile,Tenant,Reasonable,0.42061,326,797,0.38632,0.45490
1984,2nd Quintile,Tenant,Slightly Expensive,0.16501,159,797,0.13923,0.19080
1984,2nd Quintile,Tenant,Too Expensive,0.05276,53,797,0.03723,0.06829
1984,3rd Quintile,Tenant,Very Inexpensive,0.08291,63,744,0.06308,0.10274
1984,3rd Quintile,Tenant,Inexpensive,0.30624,215,744,0.27310,0.33939
1984,3rd Quintile,Tenant,Reasonable,0.37894,299,744,0.34406,0.41383
1984,3rd Quintile,Tenant,Slightly Expensive,0.15165,136,744,0.12586,0.17744
1984,3rd Quintile,Tenant,Too Expensive,0.03259,31,744,0.01982,0.04536
1984,4th Quintile,Tenant,Very Inexpensive,0.08848,54,718,0.06769,0.10927
1984,4th Quintile,Tenant,Inexpensive,0.27670,191,718,0.24396,0.30945
1984,4th Quintile,Tenant,Reasonable,0.41530,321,718,0.37923,0.45137
1984,4th Quintile,Tenant,Slightly Expensive,0.13172,118,718,0.10697,0.15647
1984,4th Quintile,Tenant,Too Expensive,0.04240,34,718,0.02765,0.05715
1984,5th Quintile,Tenant,Very Inexpensive,0.09755,55,495,0.07139,0.12372
1984,5th Quintile,Tenant,Inexpensive,0.23476,129,495,0.19738,0.27213
1984,5th Quintile,Tenant,Reasonable,0.45479,244,495,0.41088,0.49870
1984,5th Quintile,Tenant,Slightly Expensive,0.11602,67,495,0.08778,0.14426
1985,1st Quintile,Tenant,Very Inexpensive,0.11364,68,836,0.09211,0.13517
1985,1st Quintile,Tenant,Inexpensive,0.23112,182,836,0.20253,0.25971
1985,1st Quintile,Tenant,Reasonable,0.42435,355,836,0.39083,0.45788
1985,1st Quintile,Tenant,Slightly Expensive,0.17529,171,836,0.14950,0.20108
1985,1st Quintile,Tenant,Too Expensive,0.04687,60,836,0.03253,0.06120
1985,2nd Quintile,Tenant,Very Inexpensive,0.12760,80,745,0.10362,0.15157
