,Unnamed: 0,year,rentown,sampreg,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Tenant,West,Very Inexpensive,0.08534,282,3708,0.07994,0.08988
1,1,1984,Tenant,West,Inexpensive,0.26859,937,3708,0.25877,0.27761
2,2,1984,Tenant,West,Reasonable,0.44758,1617,3708,0.4348,0.46271
3,3,1984,Tenant,West,Slightly Expensive,0.15115,653,3708,0.14255,0.15896
4,4,1984,Tenant,West,Too Expensive,0.04734,219,3708,0.04215,0.05225
5,5,1985,Tenant,West,Very Inexpensive,0.11798,337,3374,0.1123,0.12535
6,6,1985,Tenant,West,Inexpensive,0.24994,809,3374,0.23931,0.26106
7,7,1985,Tenant,West,Reasonable,0.43997,1467,3374,0.4253,0.45471
8,8,1985,Tenant,West,Slightly Expensive,0.1521,577,3374,0.14373,0.16105
9,9,1985,Tenant,West,Too Expensive,0.04001,184,3374,0.03571,0.04518
10,10,1986,Tenant,West,Very Inexpensive,0.11363,308,3172,0.10642,0.12185
11,11,1986,Tenant,West,Inexpensive,0.28305,836,3172,0.27243,0.2972
12,12,1986,Tenant,West,Reasonable,0.41686,1337,3172,0.39923,0.43193
13,13,1986,Tenant,West,Slightly Expensive,0.1402,509,3172,0.13298,0.14873
14,14,1986,Tenant,West,Too Expensive,0.04625,182,3172,0.04077,0.05158
15,15,1987,Tenant,West,Very Inexpensive,0.117,301,3116,0.10983,0.12422
16,16,1987,Tenant,West,Inexpensive,0.27757,847,3116,0.26268,0.28983
17,17,1987,Tenant,West,Reasonable,0.42665,1310,3116,0.40981,0.44131
18,18,1987,Tenant,West,Slightly Expensive,0.13761,498,3116,0.12875,0.14584
19,19,1987,Tenant,West,Too Expensive,0.04116,160,3116,0.03527,0.04704
20,20,1988,Tenant,West,Very Inexpensive,0.12039,311,2985,0.11244,0.12854
21,21,1988,Tenant,West,Inexpensive,0.27849,794,2985,0.26374,0.29316
22,22,1988,Tenant,West,Reasonable,0.42214,1271,2985,0.40587,0.4382
23,23,1988,Tenant,West,Slightly Expensive,0.14612,476,2985,0.13458,0.1572
24,24,1988,Tenant,West,Too Expensive,0.03286,133,2985,0.02785,0.03731
25,25,1989,Tenant,West,Very Inexpensive,0.12866,323,2906,0.11998,0.13535
26,26,1989,Tenant,West,Inexpensive,0.29065,838,2906,0.27878,0.3057
27,27,1989,Tenant,West,Reasonable,0.41265,1166,2906,0.39804,0.42756
28,28,1989,Tenant,West,Slightly Expensive,0.13229,457,2906,0.12255,0.14175
29,29,1989,Tenant,West,Too Expensive,0.03575,122,2906,0.02939,0.04097
30,30,1990,Tenant,West,Very Inexpensive,0.1336,336,4304,0.12524,0.14112
31,31,1990,Tenant,West,Inexpensive,0.31147,873,4304,0.29798,0.32475
32,32,1990,Tenant,West,Reasonable,0.40301,1115,4304,0.38745,0.42029
33,33,1990,Tenant,West,Slightly Expensive,0.12186,379,4304,0.11078,0.13038
34,34,1990,Tenant,West,Too Expensive,0.03006,114,4304,0.02391,0.03512
35,35,1990,Tenant,East,Very Inexpensive,0.22822,350,4304,0.2163,0.24312
36,36,1990,Tenant,East,Inexpensive,0.33246,493,4304,0.3152,0.35203
37,37,1990,Tenant,East,Reasonable,0.38035,568,4304,0.36562,0.39867
38,38,1990,Tenant,East,Slightly Expensive,0.05897,76,4304,0.05135,0.06784
39,39,1991,Tenant,West,Very Inexpensive,0.15567,389,4211,0.14788,0.16557
40,40,1991,Tenant,West,Inexpensive,0.31598,894,4211,0.30045,0.33049
41,41,1991,Tenant,West,Reasonable,0.38475,1090,4211,0.37,0.39986
42,42,1991,Tenant,West,Slightly Expensive,0.11492,374,4211,0.10355,0.12385
43,43,1991,Tenant,West,Too Expensive,0.02868,110,4211,0.0235,0.0339
44,44,1991,Tenant,East,Very Inexpensive,0.2334,351,4211,0.21914,0.24578
45,45,1991,Tenant,East,Inexpensive,0.42594,543,4211,0.4056,0.44318
