year,quintil_oecd_hh,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,3rd Quintile,West,Reasonable,0.45421,302,691,0.41706,0.49136
1985,3rd Quintile,West,Slightly Expensive,0.14513,118,691,0.11885,0.17141
1985,3rd Quintile,West,Too Expensive,0.03912,42,691,0.02466,0.05359
1985,4th Quintile,West,Very Inexpensive,0.10421,61,589,0.07952,0.12891
1985,4th Quintile,West,Inexpensive,0.26125,153,589,0.22574,0.29676
1985,4th Quintile,West,Reasonable,0.44133,271,589,0.40119,0.48146
1985,4th Quintile,West,Slightly Expensive,0.15391,104,589,0.12474,0.18308
1985,5th Quintile,West,Very Inexpensive,0.14091,65,468,0.10936,0.17247
1985,5th Quintile,West,Inexpensive,0.22831,109,468,0.19024,0.26639
1985,5th Quintile,West,Reasonable,0.45699,222,468,0.41181,0.50217
1985,5th Quintile,West,Slightly Expensive,0.14695,72,468,0.11484,0.17906
1986,1st Quintile,West,Very Inexpensive,0.10350,56,768,0.08194,0.12506
1986,1st Quintile,West,Inexpensive,0.26625,184,768,0.23497,0.29753
1986,1st Quintile,West,Reasonable,0.39022,317,768,0.35570,0.42474
1986,1st Quintile,West,Slightly Expensive,0.18596,154,768,0.15842,0.21349
1986,1st Quintile,West,Too Expensive,0.05407,57,768,0.03807,0.07008
1986,2nd Quintile,West,Very Inexpensive,0.11109,61,679,0.08744,0.13475
1986,2nd Quintile,West,Inexpensive,0.32703,197,679,0.29172,0.36234
1986,2nd Quintile,West,Reasonable,0.38009,258,679,0.34355,0.41663
1986,2nd Quintile,West,Slightly Expensive,0.13863,123,679,0.11262,0.16465
1986,2nd Quintile,West,Too Expensive,0.04315,40,679,0.02786,0.05845
1986,3rd Quintile,West,Very Inexpensive,0.12211,72,675,0.09739,0.14683
1986,3rd Quintile,West,Inexpensive,0.29494,197,675,0.26051,0.32937
1986,3rd Quintile,West,Reasonable,0.41352,276,675,0.37634,0.45070
1986,3rd Quintile,West,Slightly Expensive,0.12633,94,675,0.10125,0.15141
1986,3rd Quintile,West,Too Expensive,0.04310,36,675,0.02776,0.05843
