,Unnamed: 0,year,bula_h,quintil_oecd_hh,hgreval,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,Lower Saxony,1st Quintile,Reasonable,1.0,45,1677,0.83312,1.16054
1,1,1984,North Rhine-Westphalia,1st Quintile,Inexpensive,0.26526,65,1677,0.23083,0.30538
2,2,1984,North Rhine-Westphalia,1st Quintile,Reasonable,0.55272,149,1677,0.49524,0.61659
3,3,1984,North Rhine-Westphalia,1st Quintile,Slightly Expensive,0.18202,61,1677,0.14336,0.22181
4,4,1984,North Rhine-Westphalia,2nd Quintile,Inexpensive,0.27755,59,1677,0.23489,0.32066
5,5,1984,North Rhine-Westphalia,2nd Quintile,Reasonable,0.51484,108,1677,0.45637,0.58212
6,6,1984,North Rhine-Westphalia,2nd Quintile,Slightly Expensive,0.20761,49,1677,0.16801,0.25159
7,7,1984,North Rhine-Westphalia,3rd Quintile,Inexpensive,0.40905,55,1677,0.35985,0.47008
8,8,1984,North Rhine-Westphalia,3rd Quintile,Reasonable,0.59095,85,1677,0.51406,0.66156
9,9,1984,North Rhine-Westphalia,4th Quintile,Inexpensive,0.43373,69,1677,0.3847,0.49292
10,10,1984,North Rhine-Westphalia,4th Quintile,Reasonable,0.56627,91,1677,0.50033,0.62909
11,11,1984,North Rhine-Westphalia,5th Quintile,Reasonable,1.0,77,1677,0.90355,1.09389
12,12,1984,Hesse,1st Quintile,Reasonable,1.0,42,1677,0.76297,1.28387
13,13,1984,Hesse,4th Quintile,Reasonable,1.0,38,1677,0.80256,1.18057
14,14,1984,Hesse,5th Quintile,Reasonable,1.0,32,1677,0.8562,1.1444
15,15,1984,Baden-Wuerttemberg,1st Quintile,Inexpensive,0.39029,34,1677,0.29208,0.4992
16,16,1984,Baden-Wuerttemberg,1st Quintile,Reasonable,0.60971,61,1677,0.45838,0.75923
17,17,1984,Baden-Wuerttemberg,2nd Quintile,Reasonable,1.0,59,1677,0.80596,1.22004
18,18,1984,Baden-Wuerttemberg,3rd Quintile,Inexpensive,0.52305,41,1677,0.41973,0.61025
19,19,1984,Baden-Wuerttemberg,3rd Quintile,Reasonable,0.47695,58,1677,0.36203,0.60298
20,20,1984,Baden-Wuerttemberg,4th Quintile,Inexpensive,0.47581,31,1677,0.3745,0.58816
21,21,1984,Baden-Wuerttemberg,4th Quintile,Reasonable,0.52419,54,1677,0.37083,0.66576
22,22,1984,Baden-Wuerttemberg,5th Quintile,Reasonable,1.0,43,1677,0.73476,1.21849
23,23,1984,Bavaria,1st Quintile,Inexpensive,0.39904,34,1677,0.29166,0.50001
24,24,1984,Bavaria,1st Quintile,Reasonable,0.60096,52,1677,0.49683,0.74219
25,25,1984,Bavaria,2nd Quintile,Reasonable,1.0,55,1677,0.83514,1.17645
26,26,1984,Bavaria,3rd Quintile,Inexpensive,0.53569,40,1677,0.44754,0.61347
27,27,1984,Bavaria,3rd Quintile,Reasonable,0.46431,40,1677,0.36726,0.54513
28,28,1984,Bavaria,4th Quintile,Reasonable,1.0,50,1677,0.81931,1.14874
29,29,1985,Lower Saxony,1st Quintile,Reasonable,1.0,35,1359,0.73569,1.20539
