year,bula_h,rentown,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Tenant,Reasonable,0.43581,39,39,0.27815,0.59347
1984,Hamburg,Tenant,Inexpensive,0.28811,38,98,0.19798,0.37823
1984,Hamburg,Tenant,Reasonable,0.37732,60,98,0.28086,0.47378
1984,Lower Saxony,Tenant,Inexpensive,0.26617,87,270,0.21336,0.31899
1984,Lower Saxony,Tenant,Reasonable,0.41322,131,270,0.35437,0.47206
1984,Lower Saxony,Tenant,Slightly Expensive,0.14138,52,270,0.09975,0.18302
1984,Bremen,Tenant,Reasonable,0.53868,32,32,0.36319,0.71416
1984,North Rhine-Westphalia,Tenant,Very Inexpensive,0.08062,86,1117,0.06465,0.09660
1984,North Rhine-Westphalia,Tenant,Inexpensive,0.25127,277,1117,0.22582,0.27671
1984,North Rhine-Westphalia,Tenant,Reasonable,0.45518,513,1117,0.42596,0.48440
1984,North Rhine-Westphalia,Tenant,Slightly Expensive,0.13301,180,1117,0.11308,0.15293
1984,North Rhine-Westphalia,Tenant,Too Expensive,0.04152,61,1117,0.02981,0.05322
1984,Hesse,Tenant,Inexpensive,0.25520,99,342,0.20893,0.30148
1984,Hesse,Tenant,Reasonable,0.42749,167,342,0.37498,0.48000
1984,Hesse,Tenant,Slightly Expensive,0.13572,76,342,0.09936,0.17207
1984,"Rhineland-Palatinate, Saarland",Tenant,Inexpensive,0.25268,51,135,0.17910,0.32625
1984,"Rhineland-Palatinate, Saarland",Tenant,Reasonable,0.44051,84,135,0.35645,0.52457
1984,Baden-Wuerttemberg,Tenant,Very Inexpensive,0.09942,52,651,0.07641,0.12242
1984,Baden-Wuerttemberg,Tenant,Inexpensive,0.28181,162,651,0.24722,0.31639
1984,Baden-Wuerttemberg,Tenant,Reasonable,0.38573,275,651,0.34831,0.42315
1984,Baden-Wuerttemberg,Tenant,Slightly Expensive,0.14108,122,651,0.11432,0.16784
1984,Baden-Wuerttemberg,Tenant,Too Expensive,0.04675,40,651,0.03052,0.06298
1984,Bavaria,Tenant,Very Inexpensive,0.09720,52,553,0.07249,0.12191
1984,Bavaria,Tenant,Inexpensive,0.24790,141,553,0.21188,0.28393
1984,Bavaria,Tenant,Reasonable,0.37152,224,553,0.33121,0.41183
1984,Bavaria,Tenant,Slightly Expensive,0.15857,99,553,0.12810,0.18904
1984,Bavaria,Tenant,Too Expensive,0.06192,37,553,0.04181,0.08202
1984,Berlin,Tenant,Inexpensive,0.20093,44,179,0.14207,0.25980
1984,Berlin,Tenant,Reasonable,0.50152,92,179,0.42807,0.57498
1984,Berlin,Tenant,Slightly Expensive,0.17904,43,179,0.12271,0.23536
1985,Schleswig-Holstein,Tenant,Reasonable,0.51069,50,50,0.37072,0.65066
1985,Hamburg,Tenant,Inexpensive,0.27355,33,97,0.18438,0.36273
1985,Hamburg,Tenant,Reasonable,0.48979,64,97,0.38979,0.58979
1985,Lower Saxony,Tenant,Inexpensive,0.22012,68,243,0.16791,0.27232
1985,Lower Saxony,Tenant,Reasonable,0.45287,124,243,0.39016,0.51559
1985,Lower Saxony,Tenant,Slightly Expensive,0.16367,51,243,0.11706,0.21028
1985,North Rhine-Westphalia,Tenant,Very Inexpensive,0.11255,97,1006,0.09301,0.13209
1985,North Rhine-Westphalia,Tenant,Inexpensive,0.25720,263,1006,0.23018,0.28422
1985,North Rhine-Westphalia,Tenant,Reasonable,0.44841,444,1006,0.41766,0.47916
1985,North Rhine-Westphalia,Tenant,Slightly Expensive,0.12964,151,1006,0.10887,0.15040
1985,North Rhine-Westphalia,Tenant,Too Expensive,0.03675,51,1006,0.02512,0.04838
1985,Hesse,Tenant,Very Inexpensive,0.14621,42,364,0.10986,0.18256
1985,Hesse,Tenant,Inexpensive,0.26413,85,364,0.21878,0.30948
1985,Hesse,Tenant,Reasonable,0.36943,141,364,0.31977,0.41908
1985,Hesse,Tenant,Slightly Expensive,0.15701,63,364,0.11958,0.19444
1985,Hesse,Tenant,Too Expensive,0.05191,33,364,0.02909,0.07473
1985,"Rhineland-Palatinate, Saarland",Tenant,Inexpensive,0.23277,40,114,0.15485,0.31069
1985,"Rhineland-Palatinate, Saarland",Tenant,Reasonable,0.40330,74,114,0.31285,0.49375
1985,Baden-Wuerttemberg,Tenant,Very Inexpensive,0.11898,52,582,0.09266,0.14531
1985,Baden-Wuerttemberg,Tenant,Inexpensive,0.27488,145,582,0.23857,0.31118
1985,Baden-Wuerttemberg,Tenant,Reasonable,0.38822,251,582,0.34859,0.42785
1985,Baden-Wuerttemberg,Tenant,Slightly Expensive,0.15467,100,582,0.12527,0.18408
1985,Baden-Wuerttemberg,Tenant,Too Expensive,0.03947,34,582,0.02363,0.05530
1985,Bavaria,Tenant,Very Inexpensive,0.14432,66,479,0.11282,0.17582
1985,Bavaria,Tenant,Inexpensive,0.24147,114,479,0.20310,0.27984
1985,Bavaria,Tenant,Reasonable,0.41025,208,479,0.36616,0.45435
1985,Bavaria,Tenant,Slightly Expensive,0.14963,91,479,0.11765,0.18161
1985,Berlin,Tenant,Inexpensive,0.16650,33,167,0.10983,0.22317
1985,Berlin,Tenant,Reasonable,0.53468,90,167,0.45880,0.61056
1985,Berlin,Tenant,Slightly Expensive,0.22661,44,167,0.16292,0.29029
1986,Schleswig-Holstein,Tenant,Reasonable,0.41070,35,35,0.24534,0.57607
