year,bula_h,sampreg,hgreval,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,West,Reasonable,0.21259,39,39,0.08250,0.34268
1984,Hamburg,West,Inexpensive,0.24970,38,98,0.16356,0.33584
1984,Hamburg,West,Reasonable,0.32702,60,98,0.23366,0.42038
1984,Lower Saxony,West,Inexpensive,0.14022,87,270,0.09873,0.18171
1984,Lower Saxony,West,Reasonable,0.21769,131,270,0.16837,0.26700
1984,Lower Saxony,West,Slightly Expensive,0.07448,52,270,0.04311,0.10586
1984,Bremen,West,Reasonable,0.40509,32,32,0.23228,0.57791
1984,North Rhine-Westphalia,West,Very Inexpensive,0.05462,86,1117,0.04128,0.06795
1984,North Rhine-Westphalia,West,Inexpensive,0.17021,277,1117,0.14816,0.19226
1984,North Rhine-Westphalia,West,Reasonable,0.30835,513,1117,0.28125,0.33544
1984,North Rhine-Westphalia,West,Slightly Expensive,0.09010,180,1117,0.07330,0.10690
1984,North Rhine-Westphalia,West,Too Expensive,0.02812,61,1117,0.01842,0.03782
1984,Hesse,West,Inexpensive,0.15637,99,342,0.11782,0.19492
1984,Hesse,West,Reasonable,0.26194,167,342,0.21527,0.30861
1984,Hesse,West,Slightly Expensive,0.08316,76,342,0.05385,0.11247
1984,"Rhineland-Palatinate, Saarland",West,Inexpensive,0.11263,51,135,0.05910,0.16616
1984,"Rhineland-Palatinate, Saarland",West,Reasonable,0.19636,84,135,0.12910,0.26362
1984,Baden-Wuerttemberg,West,Very Inexpensive,0.05110,52,651,0.03417,0.06803
1984,Baden-Wuerttemberg,West,Inexpensive,0.14484,162,651,0.11779,0.17190
1984,Baden-Wuerttemberg,West,Reasonable,0.19825,275,651,0.16760,0.22890
1984,Baden-Wuerttemberg,West,Slightly Expensive,0.07251,122,651,0.05257,0.09245
1984,Baden-Wuerttemberg,West,Too Expensive,0.02403,40,651,0.01225,0.03580
1984,Bavaria,West,Very Inexpensive,0.05265,52,553,0.03402,0.07128
