year,bula_h,hgreval,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Reasonable,1.00000,39,3416,0,0.86713,0,1.12938
1984,Hamburg,Inexpensive,0.43297,38,3416,0,0.36788,0,0.47756
1984,Hamburg,Reasonable,0.56703,60,3416,0,0.48963,0,0.64586
1984,Lower Saxony,Inexpensive,0.32429,87,3416,0,0.29117,0,0.35692
1984,Lower Saxony,Reasonable,0.50345,131,3416,0,0.46127,0,0.54496
1984,Lower Saxony,Slightly Expensive,0.17226,52,3416,0,0.14593,0,0.19944
1984,Bremen,Reasonable,1.00000,32,3416,0,0.81481,0,1.17328
1984,North Rhine-Westphalia,Very Inexpensive,0.08384,86,3416,0,0.07487,0,0.09174
1984,North Rhine-Westphalia,Inexpensive,0.26130,277,3416,0,0.24453,0,0.27837
1984,North Rhine-Westphalia,Reasonable,0.47336,513,3416,0,0.44715,0,0.50099
1984,North Rhine-Westphalia,Slightly Expensive,0.13832,180,3416,0,0.12428,0,0.15301
1984,North Rhine-Westphalia,Too Expensive,0.04317,61,3416,0,0.03444,0,0.05261
1984,Hesse,Inexpensive,0.31183,99,3416,0,0.26882,0,0.34935
1984,Hesse,Reasonable,0.52234,167,3416,0,0.46399,0,0.58927
1984,Hesse,Slightly Expensive,0.16583,76,3416,0,0.12822,0,0.19861
1984,"Rhineland-Palatinate, Saarland",Inexpensive,0.36451,51,3416,0,0.29498,0,0.41395
1984,"Rhineland-Palatinate, Saarland",Reasonable,0.63549,84,3416,0,0.57671,0,0.71010
1984,Baden-Wuerttemberg,Very Inexpensive,0.10413,52,3416,0,0.08352,0,0.12461
1984,Baden-Wuerttemberg,Inexpensive,0.29516,162,3416,0,0.26462,0,0.32038
1984,Baden-Wuerttemberg,Reasonable,0.40400,275,3416,0,0.37126,0,0.44436
1984,Baden-Wuerttemberg,Slightly Expensive,0.14776,122,3416,0,0.12166,0,0.17890
1984,Baden-Wuerttemberg,Too Expensive,0.04896,40,3416,0,0.03313,0,0.06646
1984,Bavaria,Very Inexpensive,0.10372,52,3416,0,0.09165,0,0.11924
1984,Bavaria,Inexpensive,0.26454,141,3416,0,0.24302,0,0.28549
1984,Bavaria,Reasonable,0.39645,224,3416,0,0.36885,0,0.42670
1984,Bavaria,Slightly Expensive,0.16921,99,3416,0,0.15237,0,0.18711
1984,Bavaria,Too Expensive,0.06607,37,3416,0,0.05255,0,0.07885
1984,Berlin,Inexpensive,0.22795,44,3416,0,0.20073,0,0.25624
1984,Berlin,Reasonable,0.56895,92,3416,0,0.52005,0,0.62123
1984,Berlin,Slightly Expensive,0.20311,43,3416,0,0.15738,0,0.24298
1985,Schleswig-Holstein,Reasonable,1.00000,50,3102,0,0.87413,0,1.11841
1985,Hamburg,Inexpensive,0.35836,33,3102,0,0.31498,0,0.40087
1985,Hamburg,Reasonable,0.64164,64,3102,0,0.55153,0,0.71352
1985,Lower Saxony,Inexpensive,0.26328,68,3102,0,0.22682,0,0.29917
1985,Lower Saxony,Reasonable,0.54114,124,3102,0,0.49248,0,0.58532
1985,Lower Saxony,Slightly Expensive,0.19558,51,3102,0,0.15759,0,0.23574
1985,North Rhine-Westphalia,Very Inexpensive,0.11447,97,3102,0,0.10276,0,0.12515
1985,North Rhine-Westphalia,Inexpensive,0.26132,263,3102,0,0.24287,0,0.28153
1985,North Rhine-Westphalia,Reasonable,0.45526,444,3102,0,0.42813,0,0.48297
1985,North Rhine-Westphalia,Slightly Expensive,0.13164,151,3102,0,0.11947,0,0.14467
1985,North Rhine-Westphalia,Too Expensive,0.03731,51,3102,0,0.02963,0,0.04585
1985,Hesse,Very Inexpensive,0.14785,42,3102,0,0.12811,0,0.17238
1985,Hesse,Inexpensive,0.26761,85,3102,0,0.22893,0,0.30025
1985,Hesse,Reasonable,0.37342,141,3102,0,0.32069,0,0.43285
1985,Hesse,Slightly Expensive,0.15862,63,3102,0,0.12692,0,0.19512
1985,Hesse,Too Expensive,0.05249,33,3102,0,0.03393,0,0.07863
1985,"Rhineland-Palatinate, Saarland",Inexpensive,0.36593,40,3102,0,0.30284,0,0.42002
1985,"Rhineland-Palatinate, Saarland",Reasonable,0.63407,74,3102,0,0.53223,0,0.71628
1985,Baden-Wuerttemberg,Very Inexpensive,0.12190,52,3102,0,0.10175,0,0.14189
1985,Baden-Wuerttemberg,Inexpensive,0.28164,145,3102,0,0.24864,0,0.31937
1985,Baden-Wuerttemberg,Reasonable,0.39762,251,3102,0,0.34399,0,0.44464
1985,Baden-Wuerttemberg,Slightly Expensive,0.15841,100,3102,0,0.13186,0,0.18715
1985,Baden-Wuerttemberg,Too Expensive,0.04044,34,3102,0,0.02574,0,0.05696
1985,Bavaria,Very Inexpensive,0.15266,66,3102,0,0.13414,0,0.17117
1985,Bavaria,Inexpensive,0.25525,114,3102,0,0.22214,0,0.27995
1985,Bavaria,Reasonable,0.43386,208,3102,0,0.39078,0,0.47091
1985,Bavaria,Slightly Expensive,0.15823,91,3102,0,0.13356,0,0.18063
1985,Berlin,Inexpensive,0.17943,33,3102,0,0.15165,0,0.21773
1985,Berlin,Reasonable,0.57632,90,3102,0,0.52279,0,0.63617
1985,Berlin,Slightly Expensive,0.24425,44,3102,0,0.19755,0,0.29358
1986,Schleswig-Holstein,Reasonable,1.00000,35,2836,0,0.83509,0,1.14079
1986,Hamburg,Inexpensive,0.43489,32,2836,0,0.36963,0,0.50293
1986,Hamburg,Reasonable,0.56511,58,2836,0,0.49371,0,0.66158
1986,Lower Saxony,Inexpensive,0.35503,78,2836,0,0.30377,0,0.39102
1986,Lower Saxony,Reasonable,0.43997,105,2836,0,0.39857,0,0.48720
1986,Lower Saxony,Slightly Expensive,0.20500,50,2836,0,0.17562,0,0.24003
1986,North Rhine-Westphalia,Very Inexpensive,0.11434,90,2836,0,0.10346,0,0.12618
1986,North Rhine-Westphalia,Inexpensive,0.25381,243,2836,0,0.23392,0,0.27430
1986,North Rhine-Westphalia,Reasonable,0.45997,426,2836,0,0.42823,0,0.48618
1986,North Rhine-Westphalia,Slightly Expensive,0.14148,156,2836,0,0.12732,0,0.15852
1986,North Rhine-Westphalia,Too Expensive,0.03039,32,2836,0,0.02349,0,0.03749
1986,Hesse,Very Inexpensive,0.16711,39,2836,0,0.13648,0,0.19612
1986,Hesse,Inexpensive,0.30233,93,2836,0,0.26416,0,0.34894
1986,Hesse,Reasonable,0.36129,115,2836,0,0.30449,0,0.42096
1986,Hesse,Slightly Expensive,0.16927,65,2836,0,0.13817,0,0.19814
1986,"Rhineland-Palatinate, Saarland",Inexpensive,0.48111,51,2836,0,0.41047,0,0.56314
1986,"Rhineland-Palatinate, Saarland",Reasonable,0.51889,61,2836,0,0.43684,0,0.57212
1986,Baden-Wuerttemberg,Very Inexpensive,0.12188,46,2836,0,0.09788,0,0.14572
1986,Baden-Wuerttemberg,Inexpensive,0.27447,128,2836,0,0.24371,0,0.31010
1986,Baden-Wuerttemberg,Reasonable,0.45148,254,2836,0,0.39927,0,0.50056
1986,Baden-Wuerttemberg,Slightly Expensive,0.11761,83,2836,0,0.08927,0,0.14431
1986,Baden-Wuerttemberg,Too Expensive,0.03456,34,2836,0,0.02212,0,0.04726
1986,Bavaria,Very Inexpensive,0.14809,61,2836,0,0.12763,0,0.16991
1986,Bavaria,Inexpensive,0.36790,143,2836,0,0.33276,0,0.40227
1986,Bavaria,Reasonable,0.35845,167,2836,0,0.32809,0,0.39873
1986,Bavaria,Slightly Expensive,0.12556,63,2836,0,0.09992,0,0.14792
1986,Berlin,Inexpensive,0.22332,34,2836,0,0.17886,0,0.26048
1986,Berlin,Reasonable,0.77668,94,2836,0,0.68288,0,0.86310
1987,Schleswig-Holstein,Reasonable,1.00000,39,2850,0,0.82504,0,1.15440
1987,Hamburg,Inexpensive,0.47636,32,2850,0,0.40340,0,0.54891
1987,Hamburg,Reasonable,0.52364,42,2850,0,0.42626,0,0.61392
1987,Lower Saxony,Inexpensive,0.32396,76,2850,0,0.27661,0,0.36903
1987,Lower Saxony,Reasonable,0.46682,109,2850,0,0.42273,0,0.51350
1987,Lower Saxony,Slightly Expensive,0.20922,56,2850,0,0.17906,0,0.23950
1987,North Rhine-Westphalia,Very Inexpensive,0.10723,81,2850,0,0.09563,0,0.11759
1987,North Rhine-Westphalia,Inexpensive,0.27575,250,2850,0,0.25531,0,0.29617
1987,North Rhine-Westphalia,Reasonable,0.43901,413,2850,0,0.40806,0,0.46594
