year,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Very often,0.00753,265,25383,0.00647,0.00859
2013,Often,0.04218,1317,25383,0.03971,0.04465
2013,Sometimes,0.15834,5074,25383,0.15384,0.16283
2013,Seldom,0.33262,11241,25383,0.32682,0.33841
2013,Never,0.21863,7486,25383,0.21354,0.22371
2019,Sometimes,0.00012,49,226,-0.00133,0.00158
2019,Seldom,0.00011,57,226,-0.00129,0.00151
2019,Never,0.00028,120,226,-0.00190,0.00245
2021,Very often,0.01290,405,19148,0.01130,0.01450
2021,Often,0.04884,1263,19148,0.04579,0.05189
2021,Sometimes,0.16969,4081,19148,0.16437,0.17501
2021,Seldom,0.37489,7829,19148,0.36804,0.38175
2021,Never,0.21746,5570,19148,0.21161,0.22330
