year,age_gr,quintil_oecd,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,1st Quintile,Often,0.07308,87,1091,0.05763,0.08853
2013,17-29 y.,1st Quintile,Sometimes,0.19470,256,1091,0.17119,0.21821
2013,17-29 y.,1st Quintile,Seldom,0.37956,466,1091,0.35075,0.40837
2013,17-29 y.,1st Quintile,Never,0.21899,282,1091,0.19443,0.24354
2013,17-29 y.,2nd Quintile,Often,0.04398,46,777,0.02955,0.05841
2013,17-29 y.,2nd Quintile,Sometimes,0.19750,186,777,0.16949,0.22551
2013,17-29 y.,2nd Quintile,Seldom,0.41076,342,777,0.37615,0.44538
2013,17-29 y.,2nd Quintile,Never,0.21098,203,777,0.18228,0.23969
2013,17-29 y.,3rd Quintile,Sometimes,0.22844,133,643,0.19597,0.26092
2013,17-29 y.,3rd Quintile,Seldom,0.40879,323,643,0.37076,0.44682
2013,17-29 y.,3rd Quintile,Never,0.24726,187,643,0.21389,0.28063
2013,17-29 y.,4th Quintile,Sometimes,0.16734,110,552,0.13617,0.19851
2013,17-29 y.,4th Quintile,Seldom,0.46293,283,552,0.42130,0.50457
2013,17-29 y.,4th Quintile,Never,0.25576,159,552,0.21933,0.29219
2013,17-29 y.,5th Quintile,Sometimes,0.22004,87,422,0.18047,0.25962
2013,17-29 y.,5th Quintile,Seldom,0.45318,232,422,0.40563,0.50073
2013,17-29 y.,5th Quintile,Never,0.18044,103,422,0.14371,0.21717
2013,30-45 y.,1st Quintile,Very often,0.02085,43,1763,0.01418,0.02752
2013,30-45 y.,1st Quintile,Often,0.11376,163,1763,0.09893,0.12858
2013,30-45 y.,1st Quintile,Sometimes,0.23138,433,1763,0.21169,0.25107
2013,30-45 y.,1st Quintile,Seldom,0.40113,706,1763,0.37825,0.42402
2013,30-45 y.,1st Quintile,Never,0.21182,418,1763,0.19274,0.23090
2013,30-45 y.,2nd Quintile,Often,0.06776,88,1758,0.05600,0.07951
