year,migback,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,No migration background,Very often,0.00782,209,21531,0.00665,0.00900
2013,No migration background,Often,0.04628,1080,21531,0.04347,0.04908
2013,No migration background,Sometimes,0.17216,4177,21531,0.16712,0.17721
2013,No migration background,Seldom,0.37730,9755,21531,0.37082,0.38377
2013,No migration background,Never,0.23908,6310,21531,0.23339,0.24478
2013,Direct migration background,Very often,0.01001,49,2728,0.00627,0.01375
2013,Direct migration background,Often,0.03600,187,2728,0.02900,0.04299
2013,Direct migration background,Sometimes,0.13398,669,2728,0.12120,0.14677
2013,Direct migration background,Seldom,0.18159,990,2728,0.16712,0.19606
2013,Direct migration background,Never,0.17898,833,2728,0.16460,0.19337
2013,Indirect migration background,Often,0.01136,50,1117,0.00514,0.01758
2013,Indirect migration background,Sometimes,0.05973,228,1117,0.04582,0.07363
2013,Indirect migration background,Seldom,0.12428,496,1117,0.10493,0.14364
2013,Indirect migration background,Never,0.07824,343,1117,0.06248,0.09399
2019,Direct migration background,Sometimes,0.00088,49,226,-0.00300,0.00476
2019,Direct migration background,Seldom,0.00081,57,226,-0.00291,0.00454
2019,Direct migration background,Never,0.00196,120,226,-0.00382,0.00774
2021,No migration background,Very often,0.01234,169,13165,0.01046,0.01423
2021,No migration background,Often,0.04571,708,13165,0.04214,0.04928
2021,No migration background,Sometimes,0.16902,2523,13165,0.16262,0.17542
2021,No migration background,Seldom,0.39441,6008,13165,0.38606,0.40276
2021,No migration background,Never,0.23096,3757,13165,0.22376,0.23816
2021,Direct migration background,Very often,0.02069,221,5053,0.01677,0.02462
2021,Direct migration background,Often,0.08425,510,5053,0.07659,0.09191
2021,Direct migration background,Sometimes,0.22796,1364,5053,0.21639,0.23952
2021,Direct migration background,Seldom,0.36862,1397,5053,0.35532,0.38193
2021,Direct migration background,Never,0.20325,1561,5053,0.19215,0.21434
2021,Indirect migration background,Often,0.02288,45,915,0.01318,0.03257
2021,Indirect migration background,Sometimes,0.09044,194,915,0.07184,0.10903
2021,Indirect migration background,Seldom,0.22476,424,915,0.19770,0.25182
2021,Indirect migration background,Never,0.12790,252,915,0.10625,0.14956
