year,quintil_oecd,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,1st Quintile,Very often,0.01831,117,5099,0.01463,0.02200
2013,1st Quintile,Often,0.08160,473,5099,0.07409,0.08912
2013,1st Quintile,Sometimes,0.19434,1225,5099,0.18348,0.20520
2013,1st Quintile,Seldom,0.28968,1922,5099,0.27723,0.30214
2013,1st Quintile,Never,0.21308,1362,5099,0.20184,0.22432
2013,2nd Quintile,Very often,0.00978,58,5127,0.00708,0.01247
2013,2nd Quintile,Often,0.04493,278,5127,0.03926,0.05060
2013,2nd Quintile,Sometimes,0.17732,1080,5127,0.16687,0.18778
2013,2nd Quintile,Seldom,0.34324,2213,5127,0.33024,0.35623
2013,2nd Quintile,Never,0.24338,1498,5127,0.23163,0.25513
2013,3rd Quintile,Very often,0.00892,45,4877,0.00628,0.01156
2013,3rd Quintile,Often,0.04265,227,4877,0.03698,0.04833
2013,3rd Quintile,Sometimes,0.18846,1008,4877,0.17748,0.19943
2013,3rd Quintile,Seldom,0.35255,2178,4877,0.33914,0.36596
2013,3rd Quintile,Never,0.23750,1419,4877,0.22556,0.24945
2013,4th Quintile,Often,0.03611,172,4819,0.03084,0.04138
2013,4th Quintile,Sometimes,0.16872,900,4819,0.15814,0.17929
2013,4th Quintile,Seldom,0.39819,2284,4819,0.38437,0.41201
2013,4th Quintile,Never,0.24952,1463,4819,0.23730,0.26174
2013,5th Quintile,Often,0.03220,167,5412,0.02750,0.03691
2013,5th Quintile,Sometimes,0.15017,860,5412,0.14065,0.15969
2013,5th Quintile,Seldom,0.44304,2642,5412,0.42980,0.45627
2013,5th Quintile,Never,0.26212,1743,5412,0.25040,0.27384
2021,1st Quintile,Very often,0.02547,215,4677,0.02095,0.02999
2021,1st Quintile,Often,0.07059,474,4677,0.06325,0.07793
2021,1st Quintile,Sometimes,0.18407,1201,4677,0.17296,0.19518
2021,1st Quintile,Seldom,0.29870,1382,4677,0.28558,0.31182
2021,1st Quintile,Never,0.19777,1405,4677,0.18635,0.20919
2021,2nd Quintile,Very often,0.01311,69,3569,0.00938,0.01684
2021,2nd Quintile,Often,0.05753,254,3569,0.04989,0.06517
2021,2nd Quintile,Sometimes,0.16656,779,3569,0.15433,0.17878
2021,2nd Quintile,Seldom,0.37815,1479,3569,0.36223,0.39406
2021,2nd Quintile,Never,0.19187,988,3569,0.17895,0.20479
2021,3rd Quintile,Very often,0.00948,41,3046,0.00604,0.01292
2021,3rd Quintile,Often,0.04126,186,3046,0.03420,0.04833
2021,3rd Quintile,Sometimes,0.17766,679,3046,0.16408,0.19124
2021,3rd Quintile,Seldom,0.37702,1318,3046,0.35981,0.39424
2021,3rd Quintile,Never,0.21289,822,3046,0.19835,0.22743
2021,4th Quintile,Often,0.04228,168,3220,0.03533,0.04924
2021,4th Quintile,Sometimes,0.17374,617,3220,0.16065,0.18683
2021,4th Quintile,Seldom,0.39611,1544,3220,0.37922,0.41301
2021,4th Quintile,Never,0.23333,891,3220,0.21872,0.24794
2021,5th Quintile,Very often,0.00608,33,4305,0.00376,0.00840
2021,5th Quintile,Often,0.03306,146,4305,0.02771,0.03840
2021,5th Quintile,Sometimes,0.14982,719,4305,0.13915,0.16048
2021,5th Quintile,Seldom,0.43250,2061,4305,0.41769,0.44730
2021,5th Quintile,Never,0.25355,1346,4305,0.24055,0.26655
