year,sex,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,male,Very often,0.00542,82,11487,0.00408,0.00676
2013,male,Often,0.03698,492,11487,0.03353,0.04043
2013,male,Sometimes,0.14468,2061,11487,0.13824,0.15111
2013,male,Seldom,0.34230,5316,11487,0.33362,0.35097
2013,male,Never,0.21933,3536,11487,0.21176,0.22690
2013,female,Very often,0.00957,183,13896,0.00795,0.01118
2013,female,Often,0.04719,825,13896,0.04367,0.05072
2013,female,Sometimes,0.17150,3013,13896,0.16524,0.17777
2013,female,Seldom,0.32329,5925,13896,0.31552,0.33107
2013,female,Never,0.21795,3950,13896,0.21109,0.22481
2019,male,Never,0.00023,57,57,-0.00374,0.00420
2019,female,Never,0.00032,63,63,-0.00415,0.00480
2021,male,Very often,0.00995,163,9286,0.00793,0.01197
2021,male,Often,0.04513,555,9286,0.04090,0.04935
2021,male,Sometimes,0.15299,1858,9286,0.14567,0.16031
2021,male,Seldom,0.39013,3841,9286,0.38021,0.40005
2021,male,Never,0.21951,2869,9286,0.21109,0.22792
2021,female,Very often,0.01577,241,9855,0.01331,0.01823
2021,female,Often,0.05248,707,9855,0.04808,0.05689
2021,female,Sometimes,0.18590,2219,9855,0.17822,0.19358
2021,female,Seldom,0.35999,3987,9855,0.35052,0.36947
2021,female,Never,0.21557,2701,9855,0.20745,0.22369
