year,bula_h,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Schleswig-Holstein,Often,0.03863,47,900,0.02603,0.05122
2013,Schleswig-Holstein,Sometimes,0.14818,170,900,0.12496,0.17141
2013,Schleswig-Holstein,Seldom,0.38428,452,900,0.35249,0.41608
2013,Schleswig-Holstein,Never,0.20580,231,900,0.17937,0.23223
2013,Hamburg,Sometimes,0.11133,63,394,0.08023,0.14243
2013,Hamburg,Seldom,0.32766,162,394,0.28126,0.37407
2013,Hamburg,Never,0.29082,169,394,0.24592,0.33572
2013,Lower Saxony,Very often,0.00900,36,2444,0.00525,0.01274
2013,Lower Saxony,Often,0.04095,127,2444,0.03309,0.04881
2013,Lower Saxony,Sometimes,0.14311,458,2444,0.12922,0.15699
2013,Lower Saxony,Seldom,0.37812,1163,2444,0.35889,0.39735
2013,Lower Saxony,Never,0.19728,660,2444,0.18150,0.21307
2013,Bremen,Sometimes,0.13590,32,171,0.08438,0.18741
2013,Bremen,Seldom,0.32810,79,171,0.25752,0.39868
2013,Bremen,Never,0.21753,60,171,0.15551,0.27955
2013,North Rhine-Westphalia,Very often,0.00681,50,5079,0.00455,0.00907
2013,North Rhine-Westphalia,Often,0.04093,245,5079,0.03548,0.04638
2013,North Rhine-Westphalia,Sometimes,0.13706,957,5079,0.12760,0.14652
2013,North Rhine-Westphalia,Seldom,0.30828,2141,5079,0.29558,0.32098
2013,North Rhine-Westphalia,Never,0.24229,1686,5079,0.23050,0.25407
2013,Hesse,Often,0.04663,95,1720,0.03666,0.05660
2013,Hesse,Sometimes,0.16744,371,1720,0.14979,0.18509
2013,Hesse,Seldom,0.32077,804,1720,0.29871,0.34284
2013,Hesse,Never,0.18797,450,1720,0.16950,0.20644
2013,"Rhineland-Palatinate, Saarland",Often,0.03900,73,1393,0.02883,0.04918
2013,"Rhineland-Palatinate, Saarland",Sometimes,0.14817,251,1393,0.12951,0.16684
2013,"Rhineland-Palatinate, Saarland",Seldom,0.32302,566,1393,0.29846,0.34759
2013,"Rhineland-Palatinate, Saarland",Never,0.23770,503,1393,0.21534,0.26006
