year,sampreg,plj0588,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,West,Very often,0.00736,205,19695,0.00617,0.00856
2013,West,Often,0.03894,960,19695,0.03624,0.04165
2013,West,Sometimes,0.15033,3835,19695,0.14534,0.15533
2013,West,Seldom,0.32656,8710,19695,0.32001,0.33311
2013,West,Never,0.22037,5985,19695,0.21458,0.22616
2013,East,Very often,0.00832,60,5688,0.00596,0.01068
2013,East,Often,0.05743,357,5688,0.05138,0.06347
2013,East,Sometimes,0.19606,1239,5688,0.18574,0.20638
2013,East,Seldom,0.36119,2531,5688,0.34871,0.37368
2013,East,Never,0.21039,1501,5688,0.19980,0.22099
2019,West,Sometimes,0.00013,42,206,-0.00142,0.00167
2019,West,Seldom,0.00012,52,206,-0.00137,0.00161
2019,West,Never,0.00031,112,206,-0.00210,0.00272
2021,West,Very often,0.01192,331,15287,0.01020,0.01364
2021,West,Often,0.04563,1005,15287,0.04232,0.04894
2021,West,Sometimes,0.17010,3342,15287,0.16414,0.17605
2021,West,Seldom,0.37596,6178,15287,0.36828,0.38364
2021,West,Never,0.21846,4431,15287,0.21191,0.22501
2021,East,Very often,0.01771,74,3861,0.01354,0.02187
2021,East,Often,0.06457,258,3861,0.05682,0.07232
2021,East,Sometimes,0.16770,739,3861,0.15591,0.17949
2021,East,Seldom,0.36965,1651,3861,0.35442,0.38488
2021,East,Never,0.21254,1139,3861,0.19963,0.22545
