,Unnamed: 0,year,sex,ple0008,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1992,male,Very good,0.15628,1169,13290,0.14983,0.16262
1,1,1992,male,Good,0.41947,2790,13290,0.40858,0.43075
2,2,1992,male,Satisfactory,0.28604,1701,13290,0.27768,0.29516
3,3,1992,male,Poor,0.09879,584,13290,0.09418,0.10424
4,4,1992,male,Bad,0.03942,208,13290,0.03597,0.0428
5,5,1992,female,Very good,0.12164,956,13290,0.11632,0.12717
6,6,1992,female,Good,0.36087,2728,13290,0.35096,0.36946
7,7,1992,female,Satisfactory,0.32243,2026,13290,0.31244,0.33099
8,8,1992,female,Poor,0.14253,845,13290,0.13581,0.14859
9,9,1992,female,Bad,0.05253,283,13290,0.04893,0.05707
10,10,1994,male,Very good,0.10169,725,12847,0.09601,0.1072
11,11,1994,male,Good,0.41206,2675,12847,0.39905,0.42297
12,12,1994,male,Satisfactory,0.32399,1896,12847,0.31379,0.33503
13,13,1994,male,Poor,0.12633,703,12847,0.11987,0.13198
14,14,1994,male,Bad,0.03592,201,12847,0.03203,0.03914
15,15,1994,female,Very good,0.07631,615,12847,0.07218,0.08044
16,16,1994,female,Good,0.34867,2547,12847,0.33836,0.35867
17,17,1994,female,Satisfactory,0.34913,2174,12847,0.33849,0.3605
18,18,1994,female,Poor,0.17421,1047,12847,0.16649,0.18144
19,19,1994,female,Bad,0.05168,264,12847,0.04798,0.05569
20,20,1995,male,Very good,0.09507,712,13243,0.0904,0.10051
21,21,1995,male,Good,0.41208,2763,13243,0.40162,0.42211
22,22,1995,male,Satisfactory,0.33434,1989,13243,0.32452,0.34515
23,23,1995,male,Poor,0.12506,734,13243,0.11836,0.13261
24,24,1995,male,Bad,0.03346,187,13243,0.02936,0.03772
25,25,1995,female,Very good,0.07047,591,13243,0.06537,0.07529
26,26,1995,female,Good,0.36108,2696,13243,0.35163,0.37233
27,27,1995,female,Satisfactory,0.34416,2231,13243,0.33461,0.35525
28,28,1995,female,Poor,0.17304,1055,13243,0.16384,0.18175
29,29,1995,female,Bad,0.05125,285,13243,0.04797,0.0555
30,30,1996,male,Very good,0.08662,662,13021,0.08163,0.09278
31,31,1996,male,Good,0.4091,2670,13021,0.39748,0.42245
32,32,1996,male,Satisfactory,0.34736,2059,13021,0.33551,0.35982
33,33,1996,male,Poor,0.11921,684,13021,0.1126,0.12697
34,34,1996,male,Bad,0.03771,204,13021,0.03365,0.04286
35,35,1996,female,Very good,0.08164,626,13021,0.07651,0.08694
36,36,1996,female,Good,0.34609,2566,13021,0.33534,0.3547
37,37,1996,female,Satisfactory,0.35683,2293,13021,0.34619,0.37144
38,38,1996,female,Poor,0.16877,1007,13021,0.16143,0.17625
39,39,1996,female,Bad,0.04667,250,13021,0.04237,0.05077
40,40,1997,male,Very good,0.09259,653,12810,0.08661,0.09859
41,41,1997,male,Good,0.41404,2773,12810,0.40282,0.42724
42,42,1997,male,Satisfactory,0.33984,1919,12810,0.32856,0.35036
43,43,1997,male,Poor,0.11617,663,12810,0.10864,0.12417
44,44,1997,male,Bad,0.03736,191,12810,0.03268,0.04151
45,45,1997,female,Very good,0.07518,519,12810,0.06912,0.08113
46,46,1997,female,Good,0.35485,2657,12810,0.34262,0.36519
47,47,1997,female,Satisfactory,0.35906,2241,12810,0.34654,0.3713
48,48,1997,female,Poor,0.16316,932,12810,0.1548,0.17103
49,49,1997,female,Bad,0.04776,262,12810,0.04307,0.05308
50,50,1998,male,Very good,0.10944,797,14206,0.10341,0.11533
51,51,1998,male,Good,0.42572,3078,14206,0.41508,0.43622
52,52,1998,male,Satisfactory,0.31063,2048,14206,0.30199,0.31763
53,53,1998,male,Poor,0.12009,746,14206,0.11457,0.1257
54,54,1998,male,Bad,0.03412,208,14206,0.0303,0.03741
55,55,1998,female,Very good,0.08878,677,14206,0.08381,0.09362
56,56,1998,female,Good,0.37347,3019,14206,0.36491,0.38335
57,57,1998,female,Satisfactory,0.33531,2344,14206,0.32491,0.34539
58,58,1998,female,Poor,0.14952,983,14206,0.14195,0.15603
59,59,1998,female,Bad,0.05292,306,14206,0.05015,0.05671
60,60,1999,male,Very good,0.09415,672,13644,0.08944,0.09918
61,61,1999,male,Good,0.421,2882,13644,0.40976,0.43213
62,62,1999,male,Satisfactory,0.33068,2113,13644,0.31879,0.34498
63,63,1999,male,Poor,0.11703,711,13644,0.11145,0.12337
64,64,1999,male,Bad,0.03714,216,13644,0.03351,0.04088
65,65,1999,female,Very good,0.08565,625,13644,0.0803,0.09129
66,66,1999,female,Good,0.35962,2805,13644,0.34985,0.37028
67,67,1999,female,Satisfactory,0.34215,2347,13644,0.33229,0.35244
68,68,1999,female,Poor,0.16228,997,13644,0.1552,0.16876
69,69,1999,female,Bad,0.0503,276,13644,0.04648,0.05425
70,70,2000,male,Very good,0.11938,1368,24066,0.11591,0.12244
71,71,2000,male,Good,0.40706,4890,24066,0.39976,0.41294
72,72,2000,male,Satisfactory,0.32465,3651,24066,0.31887,0.33143
73,73,2000,male,Poor,0.115,1286,24066,0.1119,0.11856
74,74,2000,male,Bad,0.0339,364,24066,0.03222,0.03579
75,75,2000,female,Very good,0.10045,1305,24066,0.09704,0.10349
76,76,2000,female,Good,0.35866,4862,24066,0.35292,0.36475
77,77,2000,female,Satisfactory,0.34737,4156,24066,0.34065,0.35488
78,78,2000,female,Poor,0.14793,1702,24066,0.14401,0.15207
79,79,2000,female,Bad,0.04559,482,24066,0.04354,0.04757
80,80,2001,male,Very good,0.12185,1255,21890,0.11785,0.12619
81,81,2001,male,Good,0.39971,4369,21890,0.39311,0.40643
82,82,2001,male,Satisfactory,0.32481,3341,21890,0.31706,0.33164
83,83,2001,male,Poor,0.11995,1192,21890,0.11604,0.12395
84,84,2001,male,Bad,0.03369,348,21890,0.0316,0.03583
85,85,2001,female,Very good,0.09648,1164,21890,0.09298,0.09982
86,86,2001,female,Good,0.36215,4431,21890,0.35537,0.36801
87,87,2001,female,Satisfactory,0.34304,3797,21890,0.33594,0.35065
88,88,2001,female,Poor,0.1526,1567,21890,0.14793,0.15734
89,89,2001,female,Bad,0.04573,426,21890,0.04354,0.04826
90,90,2002,male,Very good,0.10234,1208,22984,0.09789,0.10728
91,91,2002,male,Good,0.40418,4755,22984,0.3951,0.41445
92,92,2002,male,Satisfactory,0.33521,3559,22984,0.32779,0.34381
93,93,2002,male,Poor,0.12179,1236,22984,0.11688,0.12665
94,94,2002,male,Bad,0.03648,351,22984,0.03461,0.03905
95,95,2002,female,Very good,0.08348,1138,22984,0.08014,0.0869
96,96,2002,female,Good,0.35934,4707,22984,0.35161,0.36786
97,97,2002,female,Satisfactory,0.35582,3968,22984,0.34738,0.36293
98,98,2002,female,Poor,0.15546,1653,22984,0.15041,0.16074
99,99,2002,female,Bad,0.04589,409,22984,0.0434,0.04908
100,100,2003,male,Very good,0.10583,1195,22127,0.10169,0.11085
101,101,2003,male,Good,0.41313,4589,22127,0.40253,0.42253
102,102,2003,male,Satisfactory,0.32347,3325,22127,0.31658,0.33271
103,103,2003,male,Poor,0.12004,1205,22127,0.11487,0.12505
104,104,2003,male,Bad,0.03753,341,22127,0.03487,0.04011
105,105,2003,female,Very good,0.07959,1048,22127,0.07581,0.0839
106,106,2003,female,Good,0.37608,4682,22127,0.36789,0.38595
107,107,2003,female,Satisfactory,0.33509,3694,22127,0.32635,0.34308
108,108,2003,female,Poor,0.16081,1626,22127,0.1556,0.16649
109,109,2003,female,Bad,0.04844,422,22127,0.04578,0.05103
110,110,2004,male,Very good,0.11017,1162,21571,0.10479,0.11628
111,111,2004,male,Good,0.39972,4419,21571,0.38926,0.40797
112,112,2004,male,Satisfactory,0.31699,3235,21571,0.30643,0.32449
113,113,2004,male,Poor,0.13009,1179,21571,0.1251,0.13676
114,114,2004,male,Bad,0.04302,370,21571,0.03955,0.04613
115,115,2004,female,Very good,0.08599,1035,21571,0.08177,0.0905
116,116,2004,female,Good,0.36249,4533,21571,0.35375,0.37092
117,117,2004,female,Satisfactory,0.3277,3550,21571,0.31696,0.33554
118,118,2004,female,Poor,0.17301,1653,21571,0.16719,0.17814
119,119,2004,female,Bad,0.0508,435,21571,0.04735,0.05353
120,120,2005,male,Very good,0.09528,982,20628,0.08966,0.10037
121,121,2005,male,Good,0.39001,4010,20628,0.37868,0.40005
122,122,2005,male,Satisfactory,0.33293,3279,20628,0.32454,0.34209
123,123,2005,male,Poor,0.1396,1236,20628,0.1342,0.14615
124,124,2005,male,Bad,0.04219,358,20628,0.03943,0.04579
125,125,2005,female,Very good,0.08218,963,20628,0.07709,0.08645
126,126,2005,female,Good,0.365,4295,20628,0.35387,0.37322
127,127,2005,female,Satisfactory,0.33831,3485,20628,0.33044,0.34864
128,128,2005,female,Poor,0.16638,1598,20628,0.15995,0.17149
129,129,2005,female,Bad,0.04814,422,20628,0.04558,0.05132
130,130,2006,male,Very good,0.09788,1010,21934,0.09337,0.1034
131,131,2006,male,Good,0.40238,4371,21934,0.39266,0.41149
132,132,2006,male,Satisfactory,0.33128,3429,21934,0.32168,0.33957
133,133,2006,male,Poor,0.12349,1247,21934,0.11836,0.129
134,134,2006,male,Bad,0.04498,397,21934,0.04191,0.04791
135,135,2006,female,Very good,0.08352,977,21934,0.07895,0.08765
136,136,2006,female,Good,0.35549,4468,21934,0.34625,0.36473
137,137,2006,female,Satisfactory,0.34427,3839,21934,0.33631,0.35174
138,138,2006,female,Poor,0.16462,1701,21934,0.15948,0.16994
139,139,2006,female,Bad,0.0521,495,21934,0.04973,0.05558
140,140,2007,male,Very good,0.08606,851,20458,0.08072,0.09265
141,141,2007,male,Good,0.40526,4097,20458,0.3935,0.41622
142,142,2007,male,Satisfactory,0.33242,3174,20458,0.32219,0.34172
143,143,2007,male,Poor,0.13655,1265,20458,0.13099,0.14201
144,144,2007,male,Bad,0.0397,357,20458,0.03626,0.04256
145,145,2007,female,Very good,0.07804,867,20458,0.07367,0.08341
146,146,2007,female,Good,0.35845,4192,20458,0.34757,0.36723
147,147,2007,female,Satisfactory,0.35237,3661,20458,0.34311,0.36212
148,148,2007,female,Poor,0.1645,1574,20458,0.15822,0.16968
149,149,2007,female,Bad,0.04664,420,20458,0.04351,0.04973
150,150,2008,male,Very good,0.09606,856,19288,0.08956,0.10145
151,151,2008,male,Good,0.40093,3782,19288,0.38992,0.41337
152,152,2008,male,Satisfactory,0.32831,3030,19288,0.3189,0.33779
153,153,2008,male,Poor,0.13596,1182,19288,0.13045,0.14185
154,154,2008,male,Bad,0.03873,347,19288,0.0358,0.042
155,155,2008,female,Very good,0.08028,836,19288,0.07498,0.08514
156,156,2008,female,Good,0.36235,3927,19288,0.35298,0.37328
157,157,2008,female,Satisfactory,0.347,3357,19288,0.33835,0.35533
158,158,2008,female,Poor,0.1655,1591,19288,0.15893,0.17104
159,159,2008,female,Bad,0.04487,380,19288,0.04153,0.04789
160,160,2009,male,Very good,0.08591,719,17976,0.07847,0.0919
161,161,2009,male,Good,0.39719,3474,17976,0.38337,0.41074
162,162,2009,male,Satisfactory,0.34569,2973,17976,0.33237,0.35764
163,163,2009,male,Poor,0.13471,1098,17976,0.12679,0.14373
164,164,2009,male,Bad,0.03651,313,17976,0.0333,0.04032
165,165,2009,female,Very good,0.07854,733,17976,0.07246,0.08479
166,166,2009,female,Good,0.34759,3572,17976,0.33355,0.35808
167,167,2009,female,Satisfactory,0.36412,3264,17976,0.3526,0.37608
168,168,2009,female,Poor,0.16208,1452,17976,0.15403,0.16998
169,169,2009,female,Bad,0.04768,378,17976,0.04425,0.05126
170,170,2010,male,Very good,0.09842,1276,23945,0.08953,0.10681
171,171,2010,male,Good,0.39236,4569,23945,0.3805,0.40618
172,172,2010,male,Satisfactory,0.32966,3376,23945,0.31988,0.34218
173,173,2010,male,Poor,0.14004,1322,23945,0.13265,0.14778
174,174,2010,male,Bad,0.03953,358,23945,0.0353,0.04384
175,175,2010,female,Very good,0.0894,1523,23945,0.08346,0.09514
176,176,2010,female,Good,0.35152,5236,23945,0.33947,0.3632
177,177,2010,female,Satisfactory,0.34415,4025,23945,0.33217,0.35667
178,178,2010,female,Poor,0.16422,1790,23945,0.15652,0.17096
179,179,2010,female,Bad,0.05072,470,23945,0.04701,0.05474
180,180,2011,male,Very good,0.11161,1465,28345,0.10508,0.11837
181,181,2011,male,Good,0.38745,5298,28345,0.37548,0.39828
182,182,2011,male,Satisfactory,0.32997,4060,28345,0.32029,0.33884
183,183,2011,male,Poor,0.1319,1563,28345,0.12544,0.13873
184,184,2011,male,Bad,0.03907,451,28345,0.03621,0.04201
185,185,2011,female,Very good,0.08872,1624,28345,0.08366,0.09382
186,186,2011,female,Good,0.36843,6259,28345,0.35837,0.38269
187,187,2011,female,Satisfactory,0.32417,4759,28345,0.31335,0.33407
188,188,2011,female,Poor,0.17147,2280,28345,0.16438,0.17767
189,189,2011,female,Bad,0.04722,586,28345,0.04368,0.05051
190,190,2012,male,Very good,0.10665,1356,27609,0.09978,0.11284
191,191,2012,male,Good,0.39778,5276,27609,0.38508,0.40907
192,192,2012,male,Satisfactory,0.33293,3977,27609,0.32138,0.34442
193,193,2012,male,Poor,0.12733,1509,27609,0.12149,0.13399
194,194,2012,male,Bad,0.03532,421,27609,0.03217,0.03852
195,195,2012,female,Very good,0.09026,1469,27609,0.08534,0.09657
196,196,2012,female,Good,0.367,6143,27609,0.35718,0.37829
197,197,2012,female,Satisfactory,0.33936,4817,27609,0.32994,0.34864
198,198,2012,female,Poor,0.16034,2108,27609,0.15441,0.16669
199,199,2012,female,Bad,0.04304,533,27609,0.03971,0.04664
200,200,2013,male,Very good,0.11576,1847,30602,0.11013,0.1224
201,201,2013,male,Good,0.38929,5667,30602,0.37676,0.40297
202,202,2013,male,Satisfactory,0.32393,4303,30602,0.31398,0.3358
203,203,2013,male,Poor,0.1307,1669,30602,0.12469,0.13787
204,204,2013,male,Bad,0.04032,483,30602,0.0367,0.04431
205,205,2013,female,Very good,0.09212,1879,30602,0.08643,0.09745
206,206,2013,female,Good,0.35539,6608,30602,0.34573,0.36465
207,207,2013,female,Satisfactory,0.33851,5088,30602,0.32622,0.34855
208,208,2013,female,Poor,0.16725,2452,30602,0.16051,0.17408
209,209,2013,female,Bad,0.04672,606,30602,0.04294,0.05084
210,210,2014,male,Very good,0.11066,1400,27055,0.10421,0.11858
211,211,2014,male,Good,0.39461,5173,27055,0.38098,0.40646
212,212,2014,male,Satisfactory,0.32156,3887,27055,0.3114,0.33349
