"year","alter_gr","bildungsniveau","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","(Fach-)Abitur","7.9","8","570","7.73","8.07"
"1984","16-34 Jahre alt","(noch) kein Abschluss","8.08","9","528","7.87","8.29"
"1984","16-34 Jahre alt","AkademikerInnen","","","","",""
"1984","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1984","16-34 Jahre alt","Realschulabschluss","","","","",""
"1984","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1984","35-65 Jahre alt","(noch) kein Abschluss","6.01","6","766","5.81","6.21"
"1984","35-65 Jahre alt","AkademikerInnen","7.32","8","481","7.11","7.53"
"1984","35-65 Jahre alt","Hauptschulabschluss","6.41","7","4075","6.33","6.49"
"1984","35-65 Jahre alt","Realschulabschluss","6.99","8","701","6.8","7.18"
"1984","66 und Ã¤lter","(Fach-)Abitur","5.65","5","48","4.83","6.47"
"1984","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1984","66 und Ã¤lter","AkademikerInnen","6.66","7","63","5.95","7.37"
"1984","66 und Ã¤lter","Hauptschulabschluss","5.13","5","968","4.95","5.31"
"1984","66 und Ã¤lter","Realschulabschluss","","","","",""
"1985","16-34 Jahre alt","(Fach-)Abitur","7.75","8","517","7.58","7.92"
"1985","16-34 Jahre alt","(noch) kein Abschluss","7.67","8","434","7.45","7.89"
"1985","16-34 Jahre alt","AkademikerInnen","","","","",""
"1985","16-34 Jahre alt","Hauptschulabschluss","","","","",""
"1985","16-34 Jahre alt","Realschulabschluss","8.01","8","972","7.89","8.13"
"1985","35-65 Jahre alt","(Fach-)Abitur","","","","",""
"1985","35-65 Jahre alt","(noch) kein Abschluss","6.2","7","645","6","6.4"
"1985","35-65 Jahre alt","AkademikerInnen","7.32","8","462","7.14","7.5"
"1985","35-65 Jahre alt","Hauptschulabschluss","6.38","7","3694","6.3","6.46"
"1985","35-65 Jahre alt","Realschulabschluss","6.85","7","678","6.67","7.03"
"1985","66 und Ã¤lter","(Fach-)Abitur","5.71","6","44","4.98","6.44"
"1985","66 und Ã¤lter","(noch) kein Abschluss","","","","",""
"1985","66 und Ã¤lter","AkademikerInnen","6.88","7","55","6.22","7.54"
"1985","66 und Ã¤lter","Hauptschulabschluss","5.4","5","826","5.22","5.58"
"1985","66 und Ã¤lter","Realschulabschluss","","","","",""
