syear,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,6.815971096550334,6.792695978355916,6.839246214744752,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,12143.0
1985,6.765901027941751,6.743248883019689,6.788553172863812,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,10971.0
1986,6.719656520199444,6.696839652095861,6.7424733883030274,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,10556.0
1987,6.662538902935173,6.640110371337462,6.684967434532885,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,10434.0
1988,6.566269778191031,6.543151874503694,6.589387681878367,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9950.0
1989,6.537049771883511,6.513351261570409,6.560748282196614,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,9635.0
1990,6.588236165541335,6.568692669405904,6.607779661676766,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13854.0
1991,6.561033713525958,6.541629011478308,6.580438415573608,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13560.0
1992,6.6444639814406035,6.624906819999087,6.66402114288212,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13270.0
1993,6.514185823583407,6.494720226958256,6.5336514202085585,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13069.0
1994,6.417611952531286,6.397871031609037,6.437352873453535,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12839.0
1995,6.471361106100805,6.452394860284895,6.490327351916716,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13231.0
1996,6.444178936547491,6.425159423779054,6.463198449315928,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13035.0
1997,6.437788355727098,6.418835751876439,6.456740959577757,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,12796.0
1998,6.550277266377525,6.532107737328219,6.568446795426831,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,14185.0
1999,6.502836813456805,6.484139165433959,6.521534461479652,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,13635.0
2000,6.697548776457528,6.6833948646176315,6.711702688297424,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,24065.0
2001,6.701152944031539,6.686471881099277,6.7158340069638,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,21842.0
2002,6.5931740533940335,6.57895701764308,6.607391089144987,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,22973.0
2003,6.594844903047097,6.580475798914795,6.609214007179399,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,22126.0
2004,6.45740618090814,6.4423655273301526,6.472446834486127,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,21533.0
2005,6.503865947271809,6.488637544857024,6.519094349686593,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,20634.0
2006,6.515410960249748,6.500605467234634,6.530216453264862,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,21917.0
2007,6.486345837815731,6.471410355219319,6.501281320412142,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,20466.0
2008,6.474124433490268,6.458896888270701,6.489351978709836,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,19288.0
2009,6.411704281545804,6.395665378093243,6.427743184998365,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,17987.0
2010,6.482752600523637,6.468675580852165,6.496829620195109,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,23926.0
2011,6.496135754398272,6.482539645746842,6.509731863049701,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,25772.0
2012,6.574470413679618,6.561265161298747,6.587675666060489,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,26406.0
2013,6.601004055053127,6.588546274642745,6.613461835463509,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,30589.0
2014,6.589421352337339,6.576346581852691,6.602496122821986,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,27056.0
2015,6.589768549236935,6.576301545519272,6.603235552954598,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,25000.0
2016,6.609612789806114,6.5968651210920095,6.622360458520219,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,27090.0
2017,6.570289415295199,6.558088166762141,6.582490663828257,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,30370.0
2018,6.53998602503695,6.52759468820943,6.552377361864471,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,29123.0
2019,6.637967665349812,6.625590943071316,6.650344387628309,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,29066.0
2020,6.62033517134969,6.608066545057627,6.632603797641753,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,29368.0
2021,6.8957019114583264,6.881662905400102,6.909740917516551,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,19556.0
