"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","7.95","8","4614","7.89","8.01"
"1984","35-65 Jahre alt","6.57","7","6333","6.5","6.64"
"1984","66 und Ã¤lter","","","","",""
"1985","16-34 Jahre alt","7.75","8","4160","7.69","7.81"
"1985","35-65 Jahre alt","6.54","7","5763","6.48","6.6"
"1985","66 und Ã¤lter","","","","",""
"1986","16-34 Jahre alt","7.71","8","4092","7.65","7.77"
"1986","35-65 Jahre alt","6.45","7","5486","6.39","6.51"
"1986","66 und Ã¤lter","","","","",""
"1987","16-34 Jahre alt","7.58","8","4037","7.52","7.64"
"1987","35-65 Jahre alt","6.45","7","5376","6.39","6.51"
"1987","66 und Ã¤lter","","","","",""
"1988","16-34 Jahre alt","7.54","8","3844","7.48","7.6"
"1988","35-65 Jahre alt","6.34","7","5106","6.27","6.41"
"1988","66 und Ã¤lter","","","","",""
"1989","16-34 Jahre alt","7.52","8","3764","7.45","7.59"
"1989","35-65 Jahre alt","6.29","7","4892","6.22","6.36"
"1989","66 und Ã¤lter","","","","",""
"1990","16-34 Jahre alt","7.57","8","5348","7.51","7.63"
"1990","35-65 Jahre alt","6.34","7","7097","6.28","6.4"
"1990","66 und Ã¤lter","","","","",""
"1991","16-34 Jahre alt","7.52","8","5162","7.47","7.57"
"1991","35-65 Jahre alt","6.36","7","7001","6.31","6.41"
"1991","66 und Ã¤lter","","","","",""
"1992","16-34 Jahre alt","7.68","8","4986","7.63","7.73"
"1992","35-65 Jahre alt","6.45","7","6894","6.4","6.5"
"1992","66 und Ã¤lter","","","","",""
"1993","16-34 Jahre alt","7.51","8","4908","7.45","7.57"
"1993","35-65 Jahre alt","6.31","7","6747","6.26","6.36"
"1993","66 und Ã¤lter","","","","",""
"1994","16-34 Jahre alt","7.41","8","4804","7.35","7.47"
"1994","35-65 Jahre alt","6.22","7","6589","6.17","6.27"
"1994","66 und Ã¤lter","","","","",""
"1995","16-34 Jahre alt","7.48","8","4940","7.43","7.53"
"1995","35-65 Jahre alt","6.27","7","6828","6.22","6.32"
"1995","66 und Ã¤lter","","","","",""
"1996","16-34 Jahre alt","7.41","8","4776","7.35","7.47"
"1996","35-65 Jahre alt","6.29","7","6761","6.24","6.34"
"1996","66 und Ã¤lter","","","","",""
"1997","16-34 Jahre alt","7.41","8","4629","7.35","7.47"
"1997","35-65 Jahre alt","6.24","7","6649","6.19","6.29"
"1997","66 und Ã¤lter","","","","",""
"1998","16-34 Jahre alt","7.52","8","4875","7.47","7.57"
"1998","35-65 Jahre alt","6.43","7","7522","6.38","6.48"
"1998","66 und Ã¤lter","","","","",""
"1999","16-34 Jahre alt","7.51","8","4607","7.45","7.57"
"1999","35-65 Jahre alt","6.37","7","7298","6.32","6.42"
"1999","66 und Ã¤lter","","","","",""
"2000","16-34 Jahre alt","7.71","8","7143","7.67","7.75"
"2000","35-65 Jahre alt","","","","",""
"2000","66 und Ã¤lter","5.51","5","3631","5.43","5.59"
"2001","16-34 Jahre alt","7.7","8","6280","7.65","7.75"
"2001","35-65 Jahre alt","","","","",""
"2001","66 und Ã¤lter","5.62","6","3427","5.54","5.7"
"2002","16-34 Jahre alt","7.6","8","6176","7.55","7.65"
"2002","35-65 Jahre alt","","","","",""
"2002","66 und Ã¤lter","5.58","6","3623","5.5","5.66"
"2003","16-34 Jahre alt","7.57","8","5879","7.52","7.62"
"2003","35-65 Jahre alt","","","","",""
"2003","66 und Ã¤lter","5.56","6","3689","5.49","5.63"
"2004","16-34 Jahre alt","7.52","8","5627","7.47","7.57"
"2004","35-65 Jahre alt","","","","",""
"2004","66 und Ã¤lter","5.35","5","3800","5.27","5.43"
"2005","16-34 Jahre alt","7.55","8","5331","7.5","7.6"
"2005","35-65 Jahre alt","","","","",""
"2005","66 und Ã¤lter","5.46","5","3804","5.39","5.53"
"2006","16-34 Jahre alt","7.53","8","5140","7.48","7.58"
"2006","35-65 Jahre alt","","","","",""
"2006","66 und Ã¤lter","5.49","5","4473","5.42","5.56"
"2007","16-34 Jahre alt","7.58","8","4724","7.53","7.63"
"2007","35-65 Jahre alt","","","","",""
"2007","66 und Ã¤lter","5.52","6","4387","5.45","5.59"
"2008","16-34 Jahre alt","7.49","8","4371","7.43","7.55"
"2008","35-65 Jahre alt","","","","",""
